dataset_name,dataset_dir,task_type,n_train,n_val,n_test,n_features,n_classes,accuracy,f1,balanced_accuracy,roc_auc,log_loss,fit_seconds,predict_seconds,status,error,n_train_a,n_train_b,n_holdout_c,n_test_d,ttt_loss,ttt_steps,ttt_lr,ttt_applied,ttt_update_seconds,ttt_split_strategy,ttt_split_reason,ttt_epochs,ttt_chunks_per_epoch,ttt_batch_mode,ttt_val_eval_metric,ttt_val_baseline_metric,ttt_val_best_metric,ttt_val_baseline_accuracy,ttt_val_best_accuracy,ttt_best_epoch,ttt_stopped_early,ttt_oom_fallback,ttt_fallback_reason,ttt_c_selection,ttt_c_source,ttt_c_metric,ttt_c_f_distance_mean,ttt_c_f_distance_std,ttt_c_fallback_reason,ttt_c_label_coverage_ok
dabetes_130-us_hospitals,/home/crc00006699/zh/tabiclv2/decrease_dataset/dabetes_130-us_hospitals,binclass,81412,16283,20354,20,2,0.6442959614817726,0.6411122384250639,0.6371961362693185,0.7018010979124822,0.6199603878993377,200.26471400260925,156.0394012928009,ok,,81412,65129,0,20354,0.6455420255661011,84,1e-05,True,196.877436876297,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,7,epoch_chunk,accuracy,0.6479764171221519,0.6515998280415157,0.6479764171221519,0.6515998280415157,4,True,False,,random,none,tabicl_encoded_l2,,,,True
dna,/home/crc00006699/zh/tabiclv2/decrease_dataset/dna,multiclass,2548,510,638,180,3,0.9702194357366772,0.9703712732874086,0.9692349459543346,0.9979533245248912,0.08110079508376,72.0622444152832,5.649045705795288,ok,,2548,2038,0,638,0.0806717984378337,20,1e-05,True,70.70963716506958,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.9705882352941176,0.9784313725490196,0.9705882352941176,0.9784313725490196,12,True,False,,random,none,tabicl_encoded_l2,,,,True
dry_bean_dataset,/home/crc00006699/zh/tabiclv2/decrease_dataset/dry_bean_dataset,multiclass,10888,2178,2723,16,7,0.9287550495776716,0.928720099082258,0.9385785723005606,0.9960380206644256,0.1855975842611691,65.14541459083557,5.277867794036865,ok,,10888,8710,0,2723,0.1597608476877212,30,1e-05,True,64.53144478797913,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.9297520661157024,0.9348025711662076,0.9297520661157024,0.9348025711662076,30,False,False,,random,none,tabicl_encoded_l2,,,,True
first-order-theorem-proving,/home/crc00006699/zh/tabiclv2/decrease_dataset/first-order-theorem-proving,multiclass,4894,979,1224,51,6,0.6486928104575164,0.6323448330303577,0.5236370676841487,0.8605650467725154,1.0130334211627945,28.939599752426147,4.44274115562439,ok,,4894,3915,0,1224,1.0867093205451963,14,1e-05,True,28.3733434677124,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.6312563840653729,0.6394279877425945,0.6312563840653729,0.6394279877425945,6,True,False,,random,none,tabicl_encoded_l2,,,,True
htru,/home/crc00006699/zh/tabiclv2/decrease_dataset/htru,binclass,14318,2864,3580,8,2,0.9804469273743016,0.98025473088243,0.9316705667056672,0.9876155011550116,0.0608574658260606,33.63835835456848,6.384287595748901,ok,,14318,11454,0,3580,0.0560860577970743,28,1e-05,True,33.51006817817688,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,2,epoch_chunk,accuracy,0.9783519553072626,0.9797486033519552,0.9783519553072626,0.9797486033519552,6,True,False,,random,none,tabicl_encoded_l2,,,,True
led7,/home/crc00006699/zh/tabiclv2/decrease_dataset/led7,multiclass,2560,512,640,7,10,0.740625,0.7363906987718676,0.7386482164741988,0.9595159182998774,0.7785962299686763,8.82832384109497,0.9762299060821532,ok,,2560,2048,0,640,0.8050076961517334,11,1e-05,True,8.712223052978516,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.73046875,0.732421875,0.73046875,0.732421875,3,True,False,,random,none,tabicl_encoded_l2,,,,True
madeline,/home/crc00006699/zh/tabiclv2/decrease_dataset/madeline,binclass,2512,503,628,259,2,0.9235668789808916,0.9235645531228877,0.9235434923726062,0.9768033917559236,0.1907436470134321,36.65637135505676,8.025693655014038,ok,,2512,2009,0,628,0.2786486148834228,8,1e-05,True,35.38801288604736,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.9224652087475148,0.9224652087475148,0.9224652087475148,0.9224652087475148,0,True,False,,random,none,tabicl_encoded_l2,,,,True
mfeat-fourier,/home/crc00006699/zh/tabiclv2/decrease_dataset/mfeat-fourier,multiclass,1600,320,400,76,10,0.9225,0.9218915524806744,0.9225,0.9951527777777776,0.2057743783284738,15.659899711608888,1.5553064346313477,ok,,1600,1280,0,400,0.2105383202433586,10,1e-05,True,15.47026824951172,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.90625,0.909375,0.90625,0.909375,2,True,False,,random,none,tabicl_encoded_l2,,,,True
mobile_c36_oversampling,/home/crc00006699/zh/tabiclv2/decrease_dataset/mobile_c36_oversampling,binclass,41408,8282,10352,6,2,0.9941074188562596,0.9941015439891006,0.9928492051421192,0.9993764110065236,0.0230297577614046,57.89929819107056,24.67291593551636,ok,,41408,33126,0,10352,0.0693343095481395,44,1e-05,True,57.4733099937439,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,4,epoch_chunk,accuracy,0.9942042984786283,0.9949287611687998,0.9942042984786283,0.9949287611687998,3,True,False,,random,none,tabicl_encoded_l2,,,,True
pc4,/home/crc00006699/zh/tabiclv2/decrease_dataset/pc4,binclass,1166,234,292,37,2,0.9075342465753424,0.9045311583625552,0.7562934027777778,0.9629991319444444,0.2004033352643224,13.272926330566406,0.985576868057251,ok,,1166,932,0,292,0.1262926906347274,16,1e-05,True,13.176906824111938,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.9188034188034188,0.9273504273504274,0.9188034188034188,0.9273504273504274,8,True,False,,random,none,tabicl_encoded_l2,,,,True
