dataset_name,dataset_dir,task_type,n_train,n_val,n_test,n_features,n_classes,accuracy,f1,balanced_accuracy,roc_auc,log_loss,fit_seconds,predict_seconds,status,error,n_train_a,n_train_b,n_holdout_c,n_test_d,ttt_loss,ttt_steps,ttt_lr,ttt_applied,ttt_update_seconds,ttt_split_strategy,ttt_split_reason,ttt_epochs,ttt_chunks_per_epoch,ttt_batch_mode,ttt_val_eval_metric,ttt_val_baseline_metric,ttt_val_best_metric,ttt_val_baseline_accuracy,ttt_val_best_accuracy,ttt_best_epoch,ttt_stopped_early,ttt_oom_fallback,ttt_fallback_reason,ttt_c_selection,ttt_c_source,ttt_c_metric,ttt_c_reserve_ratio,ttt_c_f_distance_mean,ttt_c_f_distance_std,ttt_c_fallback_reason,ttt_c_label_coverage_ok
stage2_graph_scm_0066_seed42,/home/crc00006699/zh/tabiclv2/results/tabiclv2_prior_data/graph_scm_3stage_512_seed42/stage2_graph_scm_0066_seed42,binclass,406,0,105,77,2,1.0,1.0,1.0,1.0,0.0003684563865209,8.044979333877563,0.4462978839874267,ok,,406,406,0,105,,30,1e-05,True,8.04461121559143,tabpfn_finetune_epoch_chunks_f_mmd,internal validation_split_ratio=0.1 | c_selection=f_mmd | c_source=test | c_metric=standardized_l2 | c_reserve_ratio=0.05,30,1,tabpfn_finetuning_api_f_mmd,acc,1.0,1.0,,,0,True,False,,f_mmd,test,standardized_l2,0.05,3.7788371403655465,0.6740046915596105,,True
stage2_graph_scm_0067_seed42,/home/crc00006699/zh/tabiclv2/results/tabiclv2_prior_data/graph_scm_3stage_512_seed42/stage2_graph_scm_0067_seed42,multiclass,848,0,199,12,6,0.5175879396984925,0.4886659384626607,0.4354601470880541,0.8203035879440796,1.0938550488538985,7.683865785598755,0.4301769733428955,ok,,848,848,0,199,,30,1e-05,True,7.6835036277771,tabpfn_finetune_epoch_chunks_f_mmd,internal validation_split_ratio=0.1 | c_selection=f_mmd | c_source=test | c_metric=standardized_l2 | c_reserve_ratio=0.05,30,1,tabpfn_finetuning_api_f_mmd,acc,0.5952380952380952,0.5952380952380952,,,0,True,False,,f_mmd,test,standardized_l2,0.05,4.744841164331622,0.9075274580220642,,True
stage2_graph_scm_0068_seed42,/home/crc00006699/zh/tabiclv2/results/tabiclv2_prior_data/graph_scm_3stage_512_seed42/stage2_graph_scm_0068_seed42,multiclass,5698,0,1391,70,5,0.7483824586628325,0.7070081610148491,0.6283131802693005,0.9402999308663408,0.5869477148021913,45.07757186889648,2.306746006011963,ok,,5698,5698,0,1391,,30,1e-05,True,45.07714009284973,tabpfn_finetune_epoch_chunks_f_mmd,internal validation_split_ratio=0.1 | c_selection=f_mmd | c_source=test | c_metric=standardized_l2 | c_reserve_ratio=0.05,30,1,tabpfn_finetuning_api_f_mmd,acc,0.7240773286467487,0.7574692442882249,,,12,True,False,,f_mmd,test,standardized_l2,0.05,2.0862366588026124,0.2137185539302052,,True
stage2_graph_scm_0069_seed42,/home/crc00006699/zh/tabiclv2/results/tabiclv2_prior_data/graph_scm_3stage_512_seed42/stage2_graph_scm_0069_seed42,multiclass,5401,0,1410,4,7,1.0,1.0,1.0,1.0,0.0070144111952527,9.04274559020996,0.8432033061981201,ok,,5401,5401,0,1410,,30,1e-05,True,9.04233980178833,tabpfn_finetune_epoch_chunks_f_mmd,internal validation_split_ratio=0.1 | c_selection=f_mmd | c_source=test | c_metric=standardized_l2 | c_reserve_ratio=0.05,30,1,tabpfn_finetuning_api_f_mmd,acc,1.0,1.0,,,0,True,False,,f_mmd,test,standardized_l2,0.05,2.782727967297544,0.5009162345266265,,True
stage2_graph_scm_0070_seed42,/home/crc00006699/zh/tabiclv2/results/tabiclv2_prior_data/graph_scm_3stage_512_seed42/stage2_graph_scm_0070_seed42,multiclass,3250,0,795,46,9,1.0,1.0,1.0,1.0,0.000103870424023,11.231605291366575,1.1480953693389893,ok,,3250,3250,0,795,,30,1e-05,True,11.231167078018188,tabpfn_finetune_epoch_chunks_f_mmd,internal validation_split_ratio=0.1 | c_selection=f_mmd | c_source=test | c_metric=standardized_l2 | c_reserve_ratio=0.05,30,1,tabpfn_finetuning_api_f_mmd,acc,1.0,1.0,,,0,True,False,,f_mmd,test,standardized_l2,0.05,2.941871833905761,0.4947330219271443,,True
stage2_graph_scm_0071_seed42,/home/crc00006699/zh/tabiclv2/results/tabiclv2_prior_data/graph_scm_3stage_512_seed42/stage2_graph_scm_0071_seed42,multiclass,3927,0,976,36,7,0.9979508196721312,0.997949566191055,0.9972363945578232,0.9999842007753867,0.0077814183477011,11.978389501571655,1.17033052444458,ok,,3927,3927,0,976,,30,1e-05,True,11.9779531955719,tabpfn_finetune_epoch_chunks_f_mmd,internal validation_split_ratio=0.1 | c_selection=f_mmd | c_source=test | c_metric=standardized_l2 | c_reserve_ratio=0.05,30,1,tabpfn_finetuning_api_f_mmd,acc,1.0,1.0,,,0,True,False,,f_mmd,test,standardized_l2,0.05,1.520579334621243,0.0099303489088042,,True
stage2_graph_scm_0072_seed42,/home/crc00006699/zh/tabiclv2/results/tabiclv2_prior_data/graph_scm_3stage_512_seed42/stage2_graph_scm_0072_seed42,binclass,340,0,85,39,2,0.9058823529411764,0.9058823529411764,0.8934837092731829,0.974937343358396,0.1764891762611625,8.628462791442871,0.4665975570678711,ok,,340,340,0,85,,30,1e-05,True,8.628102540969849,tabpfn_finetune_epoch_chunks_f_mmd,internal validation_split_ratio=0.1 | c_selection=f_mmd | c_source=test | c_metric=standardized_l2 | c_reserve_ratio=0.05,30,1,tabpfn_finetuning_api_f_mmd,acc,1.0,1.0,,,0,True,False,,f_mmd,test,standardized_l2,0.05,2.411207896502547,0.8395714100191407,,True
stage2_graph_scm_0073_seed42,/home/crc00006699/zh/tabiclv2/results/tabiclv2_prior_data/graph_scm_3stage_512_seed42/stage2_graph_scm_0073_seed42,multiclass,2179,0,523,88,7,0.9120458891013384,0.9127259839262436,0.86095415512308,0.992378360648958,0.2446809907714404,21.15205383300781,1.5750236511230469,ok,,2179,2179,0,523,,30,1e-05,True,21.151620626449585,tabpfn_finetune_epoch_chunks_f_mmd,internal validation_split_ratio=0.1 | c_selection=f_mmd | c_source=test | c_metric=standardized_l2 | c_reserve_ratio=0.05,30,1,tabpfn_finetuning_api_f_mmd,acc,0.9078341013824884,0.9170506912442395,,,4,True,False,,f_mmd,test,standardized_l2,0.05,3.5824243869928605,1.7437687562695146,,True
stage2_graph_scm_0074_seed42,/home/crc00006699/zh/tabiclv2/results/tabiclv2_prior_data/graph_scm_3stage_512_seed42/stage2_graph_scm_0074_seed42,binclass,522,0,126,58,2,0.8809523809523809,0.8809448818897637,0.8809523809523809,0.947845804988662,0.295989179511984,12.29932188987732,0.5002105236053467,ok,,522,522,0,126,,30,1e-05,True,12.298917531967165,tabpfn_finetune_epoch_chunks_f_mmd,internal validation_split_ratio=0.1 | c_selection=f_mmd | c_source=test | c_metric=standardized_l2 | c_reserve_ratio=0.05,30,1,tabpfn_finetuning_api_f_mmd,acc,0.8076923076923077,0.8461538461538461,,,3,True,False,,f_mmd,test,standardized_l2,0.05,2.3606174443321493,0.5443215503965421,,True
stage2_graph_scm_0075_seed42,/home/crc00006699/zh/tabiclv2/results/tabiclv2_prior_data/graph_scm_3stage_512_seed42/stage2_graph_scm_0075_seed42,binclass,7295,0,1782,8,2,0.8726150392817059,0.8706334326016555,0.8550918473629391,0.941269108565056,0.2962241066527546,12.026167631149292,1.1766088008880615,ok,,7295,7295,0,1782,,30,1e-05,True,12.02579927444458,tabpfn_finetune_epoch_chunks_f_mmd,internal validation_split_ratio=0.1 | c_selection=f_mmd | c_source=test | c_metric=standardized_l2 | c_reserve_ratio=0.05,30,1,tabpfn_finetuning_api_f_mmd,acc,0.897119341563786,0.897119341563786,,,0,True,False,,f_mmd,test,standardized_l2,0.05,1.7058182809918414,0.0976318186691705,,True
stage2_graph_scm_0076_seed42,/home/crc00006699/zh/tabiclv2/results/tabiclv2_prior_data/graph_scm_3stage_512_seed42/stage2_graph_scm_0076_seed42,multiclass,633,0,151,87,6,0.7152317880794702,0.6782501655818809,0.5805692176536167,0.9539411109353432,0.6493216822263569,14.250160932540894,0.4650096893310547,ok,,633,633,0,151,,30,1e-05,True,14.249791145324709,tabpfn_finetune_epoch_chunks_f_mmd,internal validation_split_ratio=0.1 | c_selection=f_mmd | c_source=test | c_metric=standardized_l2 | c_reserve_ratio=0.05,30,1,tabpfn_finetuning_api_f_mmd,acc,0.7142857142857143,0.7301587301587301,,,6,True,False,,f_mmd,test,standardized_l2,0.05,3.1867275587702544,1.257409038886792,,True
