dataset_name,dataset_dir,task_type,n_train,n_val,n_test,n_features,n_classes,accuracy,f1,balanced_accuracy,roc_auc,log_loss,fit_seconds,predict_seconds,status,error,n_train_a,n_train_b,n_holdout_c,n_test_d,ttt_loss,ttt_steps,ttt_lr,ttt_applied,ttt_update_seconds,ttt_split_strategy,ttt_split_reason,ttt_epochs,ttt_chunks_per_epoch,ttt_batch_mode,ttt_val_eval_metric,ttt_val_baseline_metric,ttt_val_best_metric,ttt_val_baseline_accuracy,ttt_val_best_accuracy,ttt_best_epoch,ttt_stopped_early,ttt_oom_fallback,ttt_fallback_reason,ttt_c_selection,ttt_c_source,ttt_c_metric,ttt_c_reserve_ratio,ttt_c_f_distance_mean,ttt_c_f_distance_std,ttt_c_fallback_reason,ttt_c_label_coverage_ok
stage2_graph_scm_0151_seed42,/home/crc00006699/zh/tabiclv2/results/tabiclv2_prior_data/graph_scm_3stage_512_seed42/stage2_graph_scm_0151_seed42,multiclass,1106,0,294,16,4,1.0,1.0,1.0,1.0,7.753897311990606e-05,7.520770788192749,0.4268772602081299,ok,,1106,1106,0,294,,30,1e-05,True,7.520375728607178,tabpfn_finetune_epoch_chunks_random,internal validation_split_ratio=0.1 | c_selection=random | c_source=none,30,1,tabpfn_finetuning_api_random,acc,1.0,1.0,,,0,True,False,,random,none,,,,,,True
stage2_graph_scm_0152_seed42,/home/crc00006699/zh/tabiclv2/results/tabiclv2_prior_data/graph_scm_3stage_512_seed42/stage2_graph_scm_0152_seed42,multiclass,1113,0,273,80,3,0.9487179487179487,0.9486318929580262,0.9497659068232404,0.9956747042693325,0.11264444876863751,17.952721118927002,0.4639289379119873,ok,,1113,1113,0,273,,30,1e-05,True,17.9522762298584,tabpfn_finetune_epoch_chunks_random,internal validation_split_ratio=0.1 | c_selection=random | c_source=none,30,1,tabpfn_finetuning_api_random,acc,0.9369369369369369,0.963963963963964,,,9,True,False,,random,none,,,,,,True
stage2_graph_scm_0153_seed42,/home/crc00006699/zh/tabiclv2/results/tabiclv2_prior_data/graph_scm_3stage_512_seed42/stage2_graph_scm_0153_seed42,multiclass,1591,0,421,92,3,0.5439429928741093,0.45779423726667134,0.3907513852208586,0.6359949093659635,0.9126659562143665,13.366822242736816,0.5995664596557617,ok,,1591,1591,0,421,,30,1e-05,True,13.366456747055054,tabpfn_finetune_epoch_chunks_random,internal validation_split_ratio=0.1 | c_selection=random | c_source=none,30,1,tabpfn_finetuning_api_random,acc,0.5534591194968553,0.5660377358490566,,,3,True,False,,random,none,,,,,,True
stage2_graph_scm_0154_seed42,/home/crc00006699/zh/tabiclv2/results/tabiclv2_prior_data/graph_scm_3stage_512_seed42/stage2_graph_scm_0154_seed42,multiclass,3825,0,932,30,6,0.5633047210300429,0.49221615806003954,0.43188216816292996,0.8245230772555189,1.1638800789647268,17.27597689628601,0.9862804412841797,ok,,3825,3825,0,932,,30,1e-05,True,17.27561116218567,tabpfn_finetune_epoch_chunks_random,internal validation_split_ratio=0.1 | c_selection=random | c_source=none,30,1,tabpfn_finetuning_api_random,acc,0.5314136125654451,0.5366492146596858,,,6,True,False,,random,none,,,,,,True
stage2_graph_scm_0155_seed42,/home/crc00006699/zh/tabiclv2/results/tabiclv2_prior_data/graph_scm_3stage_512_seed42/stage2_graph_scm_0155_seed42,multiclass,5030,0,1300,63,10,0.833076923076923,0.8312356156885167,0.7969871556302531,0.9904338249690671,0.38679933167038316,45.10037660598755,1.8823111057281494,ok,,5030,5030,0,1300,,30,1e-05,True,45.099998474121094,tabpfn_finetune_epoch_chunks_random,internal validation_split_ratio=0.1 | c_selection=random | c_source=none,30,1,tabpfn_finetuning_api_random,acc,0.8230616302186878,0.8608349900596421,,,17,True,False,,random,none,,,,,,True
stage2_graph_scm_0156_seed42,/home/crc00006699/zh/tabiclv2/results/tabiclv2_prior_data/graph_scm_3stage_512_seed42/stage2_graph_scm_0156_seed42,multiclass,8199,0,2033,66,9,0.9931136251844564,0.9931075437519394,0.9916934778069731,0.9997187590465073,0.03113274814547756,45.765791177749634,2.9132370948791504,ok,,8199,8199,0,2033,,30,1e-05,True,45.7654082775116,tabpfn_finetune_epoch_chunks_random,internal validation_split_ratio=0.1 | c_selection=random | c_source=none,30,1,tabpfn_finetuning_api_random,acc,0.9865689865689866,0.989010989010989,,,3,True,False,,random,none,,,,,,True
stage2_graph_scm_0157_seed42,/home/crc00006699/zh/tabiclv2/results/tabiclv2_prior_data/graph_scm_3stage_512_seed42/stage2_graph_scm_0157_seed42,binclass,1018,0,255,82,2,1.0,1.0,1.0,1.0,0.00015030493548584753,8.73471474647522,0.4367973804473877,ok,,1018,1018,0,255,,30,1e-05,True,8.734281301498413,tabpfn_finetune_epoch_chunks_random,internal validation_split_ratio=0.1 | c_selection=random | c_source=none,30,1,tabpfn_finetuning_api_random,acc,1.0,1.0,,,0,True,False,,random,none,,,,,,True
stage2_graph_scm_0158_seed42,/home/crc00006699/zh/tabiclv2/results/tabiclv2_prior_data/graph_scm_3stage_512_seed42/stage2_graph_scm_0158_seed42,multiclass,802,0,192,26,4,0.5885416666666666,0.5184044611434317,0.3542208684984242,0.7385713675482015,0.9921277531937731,8.13028335571289,0.4465506076812744,ok,,802,802,0,192,,30,1e-05,True,8.129923343658447,tabpfn_finetune_epoch_chunks_random,internal validation_split_ratio=0.1 | c_selection=random | c_source=none,30,1,tabpfn_finetuning_api_random,acc,0.6,0.6,,,0,True,False,,random,none,,,,,,True
stage2_graph_scm_0159_seed42,/home/crc00006699/zh/tabiclv2/results/tabiclv2_prior_data/graph_scm_3stage_512_seed42/stage2_graph_scm_0159_seed42,multiclass,3537,0,862,73,4,0.3839907192575406,0.22068615238562606,0.250719295090811,0.5930489523363673,1.3118158995614888,25.272478580474854,1.6723692417144775,ok,,3537,3537,0,862,,30,1e-05,True,25.272115468978882,tabpfn_finetune_epoch_chunks_random,internal validation_split_ratio=0.1 | c_selection=random | c_source=none,30,1,tabpfn_finetuning_api_random,acc,0.37110481586402266,0.37393767705382436,,,7,True,False,,random,none,,,,,,True
stage2_graph_scm_0160_seed42,/home/crc00006699/zh/tabiclv2/results/tabiclv2_prior_data/graph_scm_3stage_512_seed42/stage2_graph_scm_0160_seed42,multiclass,1095,0,270,75,3,1.0,1.0,1.0,1.0,0.0025971258012902044,9.948913812637329,0.5249369144439697,ok,,1095,1095,0,270,,30,1e-05,True,9.94853925704956,tabpfn_finetune_epoch_chunks_random,internal validation_split_ratio=0.1 | c_selection=random | c_source=none,30,1,tabpfn_finetuning_api_random,acc,1.0,1.0,,,0,True,False,,random,none,,,,,,True
stage2_graph_scm_0161_seed42,/home/crc00006699/zh/tabiclv2/results/tabiclv2_prior_data/graph_scm_3stage_512_seed42/stage2_graph_scm_0161_seed42,binclass,785,0,187,13,2,0.6898395721925134,0.6924135913106501,0.768,0.7604516129032257,0.44422003504389995,10.283130168914795,0.45424890518188477,ok,,785,785,0,187,,30,1e-05,True,10.282686233520508,tabpfn_finetune_epoch_chunks_random,internal validation_split_ratio=0.1 | c_selection=random | c_source=none,30,1,tabpfn_finetuning_api_random,acc,0.7435897435897436,0.782051282051282,,,3,True,False,,random,none,,,,,,True
stage2_graph_scm_0162_seed42,/home/crc00006699/zh/tabiclv2/results/tabiclv2_prior_data/graph_scm_3stage_512_seed42/stage2_graph_scm_0162_seed42,multiclass,8116,0,2051,62,10,0.9980497318381277,0.9980509913572102,0.9953476655415493,0.9999939786357575,0.007834037929243944,27.696253061294556,2.7661914825439453,ok,,8116,8116,0,2051,,30,1e-05,True,27.695884943008423,tabpfn_finetune_epoch_chunks_random,internal validation_split_ratio=0.1 | c_selection=random | c_source=none,30,1,tabpfn_finetuning_api_random,acc,0.9975339087546239,0.9975339087546239,,,0,True,False,,random,none,,,,,,True
stage2_graph_scm_0163_seed42,/home/crc00006699/zh/tabiclv2/results/tabiclv2_prior_data/graph_scm_3stage_512_seed42/stage2_graph_scm_0163_seed42,multiclass,2752,0,715,70,6,1.0,1.0,1.0,1.0,0.006352023679733101,12.486244678497314,1.419006586074829,ok,,2752,2752,0,715,,30,1e-05,True,12.485879898071289,tabpfn_finetune_epoch_chunks_random,internal validation_split_ratio=0.1 | c_selection=random | c_source=none,30,1,tabpfn_finetuning_api_random,acc,1.0,1.0,,,0,True,False,,random,none,,,,,,True
stage2_graph_scm_0164_seed42,/home/crc00006699/zh/tabiclv2/results/tabiclv2_prior_data/graph_scm_3stage_512_seed42/stage2_graph_scm_0164_seed42,multiclass,480,0,118,9,9,0.3474576271186441,0.26963044360828925,0.2968228031953522,0.6973993762667624,1.8234056899923357,13.398113250732422,0.4436211585998535,ok,,480,480,0,118,,30,1e-05,True,13.397749423980713,tabpfn_finetune_epoch_chunks_random,internal validation_split_ratio=0.1 | c_selection=random | c_source=none,30,1,tabpfn_finetuning_api_random,acc,0.3333333333333333,0.3958333333333333,,,7,True,False,,random,none,,,,,,True
stage2_graph_scm_0165_seed42,/home/crc00006699/zh/tabiclv2/results/tabiclv2_prior_data/graph_scm_3stage_512_seed42/stage2_graph_scm_0165_seed42,binclass,586,0,140,64,2,0.7214285714285714,0.7064805125194619,0.6682692307692308,0.7731643356643356,0.5379942809202621,9.705078601837158,0.4495987892150879,ok,,586,586,0,140,,30,1e-05,True,9.704713582992554,tabpfn_finetune_epoch_chunks_random,internal validation_split_ratio=0.1 | c_selection=random | c_source=none,30,1,tabpfn_finetuning_api_random,acc,0.6896551724137931,0.7068965517241379,,,2,True,False,,random,none,,,,,,True
stage2_graph_scm_0166_seed42,/home/crc00006699/zh/tabiclv2/results/tabiclv2_prior_data/graph_scm_3stage_512_seed42/stage2_graph_scm_0166_seed42,binclass,2983,0,724,61,2,1.0,1.0,1.0,1.0,1.30574554332113e-05,13.069177627563477,1.3823575973510742,ok,,2983,2983,0,724,,30,1e-05,True,13.068816661834717,tabpfn_finetune_epoch_chunks_random,internal validation_split_ratio=0.1 | c_selection=random | c_source=none,30,1,tabpfn_finetuning_api_random,acc,1.0,1.0,,,0,True,False,,random,none,,,,,,True
stage2_graph_scm_0167_seed42,/home/crc00006699/zh/tabiclv2/results/tabiclv2_prior_data/graph_scm_3stage_512_seed42/stage2_graph_scm_0167_seed42,multiclass,435,0,116,77,3,1.0,1.0,1.0,1.0,2.5987962806250468e-05,8.056100130081177,0.43372321128845215,ok,,435,435,0,116,,30,1e-05,True,8.055725574493408,tabpfn_finetune_epoch_chunks_random,internal validation_split_ratio=0.1 | c_selection=random | c_source=none,30,1,tabpfn_finetuning_api_random,acc,1.0,1.0,,,0,True,False,,random,none,,,,,,True
stage2_graph_scm_0168_seed42,/home/crc00006699/zh/tabiclv2/results/tabiclv2_prior_data/graph_scm_3stage_512_seed42/stage2_graph_scm_0168_seed42,multiclass,4107,0,1051,100,3,0.7878211227402474,0.7675206874893664,0.6824001053130143,0.9039414096953298,0.5126662475203475,47.82980132102966,2.414348840713501,ok,,4107,4107,0,1051,,30,1e-05,True,47.82942295074463,tabpfn_finetune_epoch_chunks_random,internal validation_split_ratio=0.1 | c_selection=random | c_source=none,30,1,tabpfn_finetuning_api_random,acc,0.7195121951219512,0.7439024390243902,,,12,True,False,,random,none,,,,,,True
stage2_graph_scm_0169_seed42,/home/crc00006699/zh/tabiclv2/results/tabiclv2_prior_data/graph_scm_3stage_512_seed42/stage2_graph_scm_0169_seed42,multiclass,1607,0,415,14,3,0.9879518072289156,0.9879575057095338,0.9866714888782636,0.9997437817674416,0.02663339020480434,7.53597092628479,0.42699360847473145,ok,,1607,1607,0,415,,30,1e-05,True,7.535604476928711,tabpfn_finetune_epoch_chunks_random,internal validation_split_ratio=0.1 | c_selection=random | c_source=none,30,1,tabpfn_finetuning_api_random,acc,0.98125,0.98125,,,0,True,False,,random,none,,,,,,True
stage2_graph_scm_0170_seed42,/home/crc00006699/zh/tabiclv2/results/tabiclv2_prior_data/graph_scm_3stage_512_seed42/stage2_graph_scm_0170_seed42,multiclass,614,0,151,47,7,1.0,1.0,1.0,1.0,7.798446864036292e-05,7.805673360824585,0.43016982078552246,ok,,614,614,0,151,,30,1e-05,True,7.805225133895874,tabpfn_finetune_epoch_chunks_random,internal validation_split_ratio=0.1 | c_selection=random | c_source=none,30,1,tabpfn_finetuning_api_random,acc,1.0,1.0,,,0,True,False,,random,none,,,,,,True
stage3_graph_scm_0000_seed42,/home/crc00006699/zh/tabiclv2/results/tabiclv2_prior_data/graph_scm_3stage_512_seed42/stage3_graph_scm_0000_seed42,binclass,856,0,228,9,2,1.0,1.0,1.0,1.0,0.0011521308943652753,7.5070600509643555,0.4278275966644287,ok,,856,856,0,228,,30,1e-05,True,7.506700754165649,tabpfn_finetune_epoch_chunks_random,internal validation_split_ratio=0.1 | c_selection=random | c_source=none,30,1,tabpfn_finetuning_api_random,acc,1.0,1.0,,,0,True,False,,random,none,,,,,,True
