dataset_name,dataset_dir,task_type,n_train,n_val,n_test,n_features,n_classes,accuracy,f1,balanced_accuracy,roc_auc,log_loss,fit_seconds,predict_seconds,status,error,n_train_a,n_train_b,n_holdout_c,n_test_d,ttt_loss,ttt_steps,ttt_lr,ttt_applied,ttt_update_seconds,ttt_split_strategy,ttt_split_reason,ttt_epochs,ttt_chunks_per_epoch,ttt_batch_mode,ttt_val_eval_metric,ttt_val_baseline_metric,ttt_val_best_metric,ttt_val_baseline_accuracy,ttt_val_best_accuracy,ttt_best_epoch,ttt_stopped_early,ttt_oom_fallback,ttt_fallback_reason,ttt_c_selection,ttt_c_source,ttt_c_metric,ttt_c_reserve_ratio,ttt_c_f_distance_mean,ttt_c_f_distance_std,ttt_c_fallback_reason,ttt_c_label_coverage_ok
statlog,/home/crc00006699/zh/tabiclv2/data184/statlog,binclass,800,160,200,20,2,0.72,0.7013333333333334,0.6190476190476191,0.7666666666666666,0.514808917865328,8.94416856765747,0.2365968227386474,ok,,800,640,0,200,,30,1e-05,True,8.943775415420532,tabpfn_finetune_epoch_chunks_f_mmd,dataset_val_split | c_selection=f_mmd | c_source=test | c_metric=standardized_l2 | c_reserve_ratio=0.05,30,1,tabpfn_finetuning_api_f_mmd_grad_accum10,acc,0.78125,0.79375,,,10,True,False,,f_mmd,test,standardized_l2,0.05,2.655811727331582,0.4089732914725956,,True
svmguide3,/home/crc00006699/zh/tabiclv2/data184/svmguide3,binclass,994,199,249,22,2,0.8634538152610441,0.8537096145777138,0.7510964912280702,0.8908077485380116,0.3308674496463605,3.806875467300415,0.2736141681671142,ok,,994,795,0,249,,30,1e-05,True,3.8063502311706543,tabpfn_finetune_epoch_chunks_f_mmd,dataset_val_split | c_selection=f_mmd | c_source=test | c_metric=standardized_l2 | c_reserve_ratio=0.05,30,1,tabpfn_finetuning_api_f_mmd_grad_accum10,acc,0.8442211055276382,0.8442211055276382,,,0,True,False,,f_mmd,test,standardized_l2,0.05,6.847694175573601,3.0258432213239086,,True
taiwanese_bankruptcy_prediction,/home/crc00006699/zh/tabiclv2/data184/taiwanese_bankruptcy_prediction,binclass,5455,1091,1364,95,2,0.9714076246334312,0.9621537988976172,0.5787878787878789,0.924922520661157,0.0908128130808602,96.87379455566406,6.048272609710693,ok,,5455,4364,0,1364,,30,1e-05,True,96.87337803840636,tabpfn_finetune_epoch_chunks_f_mmd,dataset_val_split | c_selection=f_mmd | c_source=test | c_metric=standardized_l2 | c_reserve_ratio=0.05,30,5,tabpfn_finetuning_api_f_mmd_grad_accum10,acc,0.9688359303391384,0.9688359303391384,,,0,True,False,,f_mmd,test,standardized_l2,0.05,1.015960851074566e+39,3.787648454293628e+39,,True
thyroid,/home/crc00006699/zh/tabiclv2/data184/thyroid,multiclass,5760,1152,1440,21,3,0.9944444444444444,0.994434621912046,0.9641922151299496,0.9998335977153532,0.0123219175944821,25.046217918396,1.5539944171905518,ok,,5760,4608,0,1440,,30,1e-05,True,25.045716047286987,tabpfn_finetune_epoch_chunks_f_mmd,dataset_val_split | c_selection=f_mmd | c_source=test | c_metric=standardized_l2 | c_reserve_ratio=0.05,30,5,tabpfn_finetuning_api_f_mmd_grad_accum10,acc,0.9939236111111112,0.9956597222222222,,,5,True,False,,f_mmd,test,standardized_l2,0.05,6.631454816974647,3.2973269249772565,,True
thyroid-dis,/home/crc00006699/zh/tabiclv2/data184/thyroid-dis,multiclass,2240,448,560,26,5,0.6946428571428571,0.6726817786692054,0.4056539179474959,0.8894805087724971,0.6998225088653046,15.624183893203735,0.4896004199981689,ok,,2240,1792,0,560,,30,1e-05,True,15.623762369155884,tabpfn_finetune_epoch_chunks_f_mmd,dataset_val_split | c_selection=f_mmd | c_source=test | c_metric=standardized_l2 | c_reserve_ratio=0.05,30,2,tabpfn_finetuning_api_f_mmd_grad_accum10,acc,0.7209821428571429,0.7299107142857143,,,12,True,False,,f_mmd,test,standardized_l2,0.05,6.195405562608839,7.622980425488727,,True
twonorm,/home/crc00006699/zh/tabiclv2/data184/twonorm,binclass,5920,1184,1480,20,2,0.979054054054054,0.9790539106142804,0.9790585811880592,0.9984998146453884,0.0507753000034603,27.77486538887024,1.6331427097320557,ok,,5920,4736,0,1480,,30,1e-05,True,27.77449345588684,tabpfn_finetune_epoch_chunks_f_mmd,dataset_val_split | c_selection=f_mmd | c_source=test | c_metric=standardized_l2 | c_reserve_ratio=0.05,30,5,tabpfn_finetuning_api_f_mmd_grad_accum10,acc,0.9746621621621622,0.9763513513513512,,,6,True,False,,f_mmd,test,standardized_l2,0.05,2.008740435093449,0.1776398286632637,,True
wall-robot-navigation,/home/crc00006699/zh/tabiclv2/data184/wall-robot-navigation,multiclass,4364,873,1092,24,4,0.9935897435897436,0.9936199848748772,0.9960034013605442,0.9999589387942298,0.0187649138177177,12.860047340393066,1.2756454944610596,ok,,4364,3491,0,1092,,30,1e-05,True,12.859646081924438,tabpfn_finetune_epoch_chunks_f_mmd,dataset_val_split | c_selection=f_mmd | c_source=test | c_metric=standardized_l2 | c_reserve_ratio=0.05,30,4,tabpfn_finetuning_api_f_mmd_grad_accum10,acc,0.9919816723940436,0.9919816723940436,,,0,True,False,,f_mmd,test,standardized_l2,0.05,2.665011473072892,0.2985726105927348,,True
waveform-5000,/home/crc00006699/zh/tabiclv2/data184/waveform-5000,multiclass,4000,800,1000,40,3,0.86,0.859893380796031,0.8601810305273005,0.9776318602369672,0.2616587093724157,20.738810777664185,1.6857995986938477,ok,,4000,3200,0,1000,,30,1e-05,True,20.738397359848022,tabpfn_finetune_epoch_chunks_f_mmd,dataset_val_split | c_selection=f_mmd | c_source=test | c_metric=standardized_l2 | c_reserve_ratio=0.05,30,4,tabpfn_finetuning_api_f_mmd_grad_accum10,acc,0.86875,0.87,,,2,True,False,,f_mmd,test,standardized_l2,0.05,1.845062990849501,0.1061152022938178,,True
website_phishing,/home/crc00006699/zh/tabiclv2/data184/website_phishing,multiclass,1082,217,271,9,3,0.9077490774907748,0.907696910050561,0.8658730158730159,0.9781958966651964,0.2570134646233781,3.718169689178467,0.228224515914917,ok,,1082,865,0,271,,30,1e-05,True,3.7177791595458975,tabpfn_finetune_epoch_chunks_f_mmd,dataset_val_split | c_selection=f_mmd | c_source=test | c_metric=standardized_l2 | c_reserve_ratio=0.05,30,1,tabpfn_finetuning_api_f_mmd_grad_accum10,acc,0.9216589861751152,0.9216589861751152,,,0,True,False,,f_mmd,test,standardized_l2,0.05,2.228709432720395,0.1456178526679961,,True
wine-quality-red,/home/crc00006699/zh/tabiclv2/data184/wine-quality-red,multiclass,1279,256,320,4,6,0.625,0.6009088774631736,0.2896905637254902,0.7638968981193596,0.9264146069361352,6.073215007781982,0.2263402938842773,ok,,1279,1023,0,320,,30,1e-05,True,6.072835683822632,tabpfn_finetune_epoch_chunks_f_mmd,dataset_val_split | c_selection=f_mmd | c_source=test | c_metric=standardized_l2 | c_reserve_ratio=0.05,30,2,tabpfn_finetuning_api_f_mmd_grad_accum10,acc,0.57421875,0.62109375,,,6,True,False,,f_mmd,test,standardized_l2,0.05,5.6754549366480544,3.454121389757765,,True
yeast,/home/crc00006699/zh/tabiclv2/data184/yeast,multiclass,1187,238,297,8,10,0.6094276094276094,0.6049650680154168,0.5590069466771455,0.8824424447451328,0.9976070179822574,9.7946674823761,0.2183496952056884,ok,,1187,949,0,297,,30,1e-05,True,9.79428243637085,tabpfn_finetune_epoch_chunks_f_mmd,dataset_val_split | c_selection=f_mmd | c_source=test | c_metric=standardized_l2 | c_reserve_ratio=0.05,30,1,tabpfn_finetuning_api_f_mmd_grad_accum10,acc,0.5630252100840336,0.592436974789916,,,15,True,False,,f_mmd,test,standardized_l2,0.05,7.800245991400499,5.639655367910234,,True
