dataset_name,dataset_dir,task_type,n_train,n_val,n_test,n_features,n_classes,accuracy,f1,balanced_accuracy,roc_auc,log_loss,fit_seconds,predict_seconds,status,error,n_train_a,n_train_b,n_holdout_c,n_test_d,ttt_loss,ttt_steps,ttt_lr,ttt_applied,ttt_update_seconds,ttt_split_strategy,ttt_split_reason,ttt_epochs,ttt_chunks_per_epoch,ttt_batch_mode,ttt_val_eval_metric,ttt_val_baseline_metric,ttt_val_best_metric,ttt_val_baseline_accuracy,ttt_val_best_accuracy,ttt_best_epoch,ttt_stopped_early,ttt_oom_fallback,ttt_fallback_reason,ttt_gate_decision,ttt_gate_reason,ttt_gate_confidence_mean,ttt_gate_confidence_p10,ttt_gate_entropy_mean,ttt_gate_entropy_norm_mean,ttt_gate_stability_mean,ttt_gate_probe_seconds
Basketball_c,/home/crc00006699/zh/tabiclv2/data200_by_rows/small_lt2000/Basketball_c,binclass,1072,215,268,11,2,0.7089552238805971,0.7071286922033191,0.6856839121190645,0.7443302622253721,0.5769501650221012,9.546849489212036,0.434131383895874,ok,,1072,857,0,268,0.5636492371559143,11,1e-05,True,7.8774330615997314,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | risk_gate=apply_uncertain: uncertain baseline; entropy_norm_mean=0.794694>threshold=0.450000,30,1,epoch_chunk,accuracy,0.7581395348837209,0.7627906976744186,0.7581395348837209,0.7627906976744186,3,True,False,,apply_uncertain,uncertain baseline; entropy_norm_mean=0.794694>threshold=0.450000,0.7145934540834,0.5459043264389039,0.5508397203757904,0.7946937329108162,0.988339552238806,1.6113688945770264
baseball,/home/crc00006699/zh/tabiclv2/data200_by_rows/small_lt2000/baseball,multiclass,1072,215,268,16,3,0.9440298507462687,0.9342657264063037,0.6038961038961039,0.9758630294910114,0.13207613179464697,1.577420711517334,0.5089023113250732,ok,,1072,857,0,268,,0,1e-05,False,0.0,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | risk_gate=skip_low_risk: low-risk baseline; confidence_mean=0.947538>=0.700000; entropy_norm_mean=0.124291<=0.450000; stability_mean=0.994403>=0.800000,0,0,,,,,,,0,False,False,,skip_low_risk,low-risk baseline; confidence_mean=0.947538>=0.700000; entropy_norm_mean=0.124291<=0.450000; stability_mean=0.994403>=0.800000,0.9475378746639437,0.7888859927654267,0.13654765501915478,0.12429103190234365,0.9944029850746269,0.94986891746521
cmc,/home/crc00006699/zh/tabiclv2/data200_by_rows/small_lt2000/cmc,multiclass,1178,236,295,9,3,0.6033898305084746,0.603394360896538,0.5784569217405039,0.769222731769628,0.8665615793431031,4.767000436782837,0.40886616706848145,ok,,1178,942,0,295,0.8283500373363495,8,1e-05,True,3.858715057373047,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | risk_gate=apply_uncertain: uncertain baseline; confidence_mean=0.592985<threshold=0.700000; entropy_norm_mean=0.776133>threshold=0.450000,30,1,epoch_chunk,accuracy,0.5508474576271186,0.5508474576271186,0.5508474576271186,0.5508474576271186,0,True,False,,apply_uncertain,uncertain baseline; confidence_mean=0.592985<threshold=0.700000; entropy_norm_mean=0.776133>threshold=0.450000,0.5929847270755445,0.41340540051460267,0.852668782537487,0.776132573185769,0.9665254237288136,0.8641021251678467
credit-g,/home/crc00006699/zh/tabiclv2/data200_by_rows/small_lt2000/credit-g,binclass,800,160,200,20,2,0.785,0.7676703752849511,0.6892857142857143,0.846547619047619,0.43853414321625533,7.869945526123047,0.842059850692749,ok,,800,640,0,200,0.46974438428878784,14,1e-05,True,6.65218710899353,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | risk_gate=apply_uncertain: uncertain baseline; entropy_norm_mean=0.673034>threshold=0.450000,30,1,epoch_chunk,accuracy,0.75,0.7625,0.75,0.7625,6,True,False,,apply_uncertain,uncertain baseline; entropy_norm_mean=0.673034>threshold=0.450000,0.7818583828210831,0.5805636346340179,0.46651156542340033,0.6730339219536868,0.98375,1.1437020301818848
eucalyptus,/home/crc00006699/zh/tabiclv2/data200_by_rows/small_lt2000/eucalyptus,multiclass,588,118,148,19,5,0.7364864864864865,0.7402095066246009,0.7268924873576037,0.9435029694274476,0.586919518921523,1.5656449794769287,0.6619517803192139,ok,,588,470,0,148,,0,1e-05,False,0.0,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | risk_gate=skip_low_risk: low-risk baseline; confidence_mean=0.734779>=0.700000; entropy_norm_mean=0.369819<=0.450000; stability_mean=0.957770>=0.800000,0,0,,,,,,,0,False,False,,skip_low_risk,low-risk baseline; confidence_mean=0.734779>=0.700000; entropy_norm_mean=0.369819<=0.450000; stability_mean=0.957770>=0.800000,0.7347788039494205,0.5401113092899322,0.5952003468998576,0.36981876859088125,0.9577702702702703,1.0183305740356445
hill-valley,/home/crc00006699/zh/tabiclv2/data200_by_rows/small_lt2000/hill-valley,binclass,969,194,243,100,2,0.9711934156378601,0.9711660668419919,0.9710743801652892,0.9995258095109063,0.09126335383516226,2.0534706115722656,1.1772196292877197,ok,,969,775,0,243,,0,1e-05,False,0.0,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | risk_gate=skip_low_risk: low-risk baseline; confidence_mean=0.918190>=0.700000; entropy_norm_mean=0.269472<=0.450000; stability_mean=0.935700>=0.800000,0,0,,,,,,,0,False,False,,skip_low_risk,low-risk baseline; confidence_mean=0.918190>=0.700000; entropy_norm_mean=0.269472<=0.450000; stability_mean=0.935700>=0.800000,0.9181898704772133,0.6634970784187317,0.1867839847526231,0.2694723285200891,0.9356995884773662,1.3819804191589355
maternal_health_risk,/home/crc00006699/zh/tabiclv2/data200_by_rows/small_lt2000/maternal_health_risk,multiclass,811,163,203,6,3,0.8719211822660099,0.8701077326808658,0.8734096074062906,0.9621390033883976,0.3317811481827289,1.027313232421875,0.5937321186065674,ok,,811,648,0,203,,0,1e-05,False,0.0,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | risk_gate=skip_low_risk: low-risk baseline; confidence_mean=0.890724>=0.700000; entropy_norm_mean=0.271879<=0.450000; stability_mean=0.995074>=0.800000,0,0,,,,,,,0,False,False,,skip_low_risk,low-risk baseline; confidence_mean=0.890724>=0.700000; entropy_norm_mean=0.271879<=0.450000; stability_mean=0.995074>=0.800000,0.8907235963591214,0.6456884264945985,0.2986893209576864,0.2718787365102197,0.9950738916256158,0.6783344745635986
one-hundred-plants-margin,/home/crc00006699/zh/tabiclv2/data200_by_rows/small_lt2000/one-hundred-plants-margin,multiclass,1280,256,320,64,100,0.903125,0.9008283730158727,0.9041666666666667,0.9990319982962638,0.3318854545008676,4.757449626922607,7.012741804122925,ok,,1280,1024,0,320,,0,1e-05,False,0.0,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | risk_gate=skip_low_risk: low-risk baseline; confidence_mean=0.875453>=0.700000; entropy_norm_mean=0.084134<=0.450000; stability_mean=0.916016>=0.800000,0,0,,,,,,,0,False,False,,skip_low_risk,low-risk baseline; confidence_mean=0.875453>=0.700000; entropy_norm_mean=0.084134<=0.450000; stability_mean=0.916016>=0.800000,0.8754525354132057,0.521605396270752,0.387450222005851,0.08413374671466547,0.916015625,3.8828012943267822
one-hundred-plants-texture,/home/crc00006699/zh/tabiclv2/data200_by_rows/small_lt2000/one-hundred-plants-texture,multiclass,1279,256,320,64,100,0.928125,0.9280704365079364,0.93,0.9995710794100813,0.22606493646959716,4.975873708724976,7.107762575149536,ok,,1279,1023,0,320,,0,1e-05,False,0.0,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | risk_gate=skip_low_risk: low-risk baseline; confidence_mean=0.914634>=0.700000; entropy_norm_mean=0.070875<=0.450000; stability_mean=0.958594>=0.800000,0,0,,,,,,,0,False,False,,skip_low_risk,low-risk baseline; confidence_mean=0.914634>=0.700000; entropy_norm_mean=0.070875<=0.450000; stability_mean=0.958594>=0.800000,0.9146339170634746,0.6728807687759399,0.3263933387313502,0.07087541297050214,0.95859375,4.320630073547363
pc3,/home/crc00006699/zh/tabiclv2/data200_by_rows/small_lt2000/pc3,binclass,1250,250,313,37,2,0.9009584664536742,0.8713234468060816,0.5571619217081851,0.8390791814946619,0.2603742499232982,1.6906611919403076,0.7288696765899658,ok,,1250,1000,0,313,,0,1e-05,False,0.0,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | risk_gate=skip_low_risk: low-risk baseline; confidence_mean=0.923527>=0.700000; entropy_norm_mean=0.282444<=0.450000; stability_mean=0.994808>=0.800000,0,0,,,,,,,0,False,False,,skip_low_risk,low-risk baseline; confidence_mean=0.923527>=0.700000; entropy_norm_mean=0.282444<=0.450000; stability_mean=0.994808>=0.800000,0.9235274888836918,0.7322195768356323,0.19577541962347392,0.28244422701874167,0.9948083067092651,1.1024610996246338
semeion,/home/crc00006699/zh/tabiclv2/data200_by_rows/small_lt2000/semeion,multiclass,1274,255,319,256,10,0.9686520376175548,0.9686948325435535,0.9686491935483872,0.999346065465263,0.1002595384313155,4.3677449226379395,3.725318670272827,ok,,1274,1019,0,319,,0,1e-05,False,0.0,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | risk_gate=skip_low_risk: low-risk baseline; confidence_mean=0.966656>=0.700000; entropy_norm_mean=0.045403<=0.450000; stability_mean=0.982367>=0.800000,0,0,,,,,,,0,False,False,,skip_low_risk,low-risk baseline; confidence_mean=0.966656>=0.700000; entropy_norm_mean=0.045403<=0.450000; stability_mean=0.982367>=0.800000,0.9666560836907091,0.9077781796455383,0.1045435798746217,0.045402699857960055,0.9823667711598746,2.9790422916412354
