dataset_name,dataset_dir,task_type,n_train,n_val,n_test,n_features,n_classes,accuracy,f1,balanced_accuracy,roc_auc,log_loss,fit_seconds,predict_seconds,status,error,n_train_a,n_train_b,n_holdout_c,n_test_d,ttt_loss,ttt_steps,ttt_lr,ttt_applied,ttt_update_seconds,ttt_split_strategy,ttt_split_reason,ttt_epochs,ttt_chunks_per_epoch,ttt_batch_mode,ttt_val_eval_metric,ttt_val_baseline_metric,ttt_val_best_metric,ttt_val_baseline_accuracy,ttt_val_best_accuracy,ttt_best_epoch,ttt_stopped_early,ttt_oom_fallback,ttt_fallback_reason,ttt_c_selection,ttt_c_source,ttt_c_metric,ttt_c_reserve_ratio,ttt_c_f_distance_mean,ttt_c_f_distance_std,ttt_c_fallback_reason,ttt_c_label_coverage_ok
mice_protein_expression,/home/crc00006699/zh/tabiclv2/data184/mice_protein_expression,multiclass,864,173,216,75,8,1.0,1.0,1.0,1.0,0.0001637758300601859,8.653674602508545,0.4615459442138672,ok,,864,691,0,216,,30,1e-05,True,8.653196573257446,tabpfn_finetune_epoch_chunks_f_mmd,dataset_val_split | c_selection=f_mmd | c_source=test | c_metric=standardized_l2 | c_reserve_ratio=0.05,30,1,tabpfn_finetuning_api_f_mmd_grad_accum10,acc,1.0,1.0,,,0,True,False,,f_mmd,test,standardized_l2,0.05,3.8332374332200425,3.0500950205315274,,True
mobile_c36_oversampling,/home/crc00006699/zh/tabiclv2/data184/mobile_c36_oversampling,binclass,41408,8282,10352,6,2,0.9935278207109737,0.9935207807333366,0.9921550853817377,0.9993007557080241,0.02332259003195502,293.53169894218445,11.077876329421997,ok,,41408,33126,0,10352,,120,1e-05,True,293.5313138961792,tabpfn_finetune_epoch_chunks_f_mmd,dataset_val_split | c_selection=f_mmd | c_source=test | c_metric=standardized_l2 | c_reserve_ratio=0.05,30,34,tabpfn_finetuning_api_f_mmd_grad_accum10,acc,0.9948080173871046,0.9952909925138855,,,4,True,False,,f_mmd,test,standardized_l2,0.05,3.849469492819212,1.0209358922038858,,True
national-longitudinal-survey-binary,/home/crc00006699/zh/tabiclv2/data184/national-longitudinal-survey-binary,binclass,3926,786,982,16,2,1.0,1.0,1.0,1.0,0.0003129787375416291,19.99594020843506,0.7528767585754395,ok,,3926,3140,0,982,,30,1e-05,True,19.9955472946167,tabpfn_finetune_epoch_chunks_f_mmd,dataset_val_split | c_selection=f_mmd | c_source=test | c_metric=standardized_l2 | c_reserve_ratio=0.05,30,4,tabpfn_finetuning_api_f_mmd_grad_accum10,acc,1.0,1.0,,,0,True,False,,f_mmd,test,standardized_l2,0.05,2.8630658890778693,0.44569022306788003,,True
online_shoppers,/home/crc00006699/zh/tabiclv2/data184/online_shoppers,binclass,9864,1973,2466,14,2,0.9059205190592052,0.901436108029301,0.7786463305564209,0.9315955020048035,0.22565826593304764,55.011945962905884,1.5249850749969482,ok,,9864,7891,0,2466,,30,1e-05,True,55.01154565811157,tabpfn_finetune_epoch_chunks_f_mmd,dataset_val_split | c_selection=f_mmd | c_source=test | c_metric=standardized_l2 | c_reserve_ratio=0.05,30,8,tabpfn_finetuning_api_f_mmd_grad_accum10,acc,0.9011657374556513,0.9016725798276736,,,2,True,False,,f_mmd,test,standardized_l2,0.05,3.5124934546571067,2.006083921378922,,True
ozone-level-8hr,/home/crc00006699/zh/tabiclv2/data184/ozone-level-8hr,binclass,2027,406,507,72,2,0.9566074950690335,0.9485210998588925,0.6853947368421053,0.9467105263157896,0.12432686803316009,9.80231237411499,1.2839484214782715,ok,,2027,1621,0,507,,30,1e-05,True,9.801927328109741,tabpfn_finetune_epoch_chunks_f_mmd,dataset_val_split | c_selection=f_mmd | c_source=test | c_metric=standardized_l2 | c_reserve_ratio=0.05,30,2,tabpfn_finetuning_api_f_mmd_grad_accum10,acc,0.9532019704433498,0.9532019704433498,,,0,True,False,,f_mmd,test,standardized_l2,0.05,3.760222356214882,0.9378070589744134,,True
page-blocks,/home/crc00006699/zh/tabiclv2/data184/page-blocks,multiclass,4378,876,1095,10,5,0.9771689497716894,0.9769755430864684,0.8995303112955375,0.9936996562620328,0.09081937257721028,50.08072853088379,0.6576287746429443,ok,,4378,3502,0,1095,,30,1e-05,True,50.08036518096924,tabpfn_finetune_epoch_chunks_f_mmd,dataset_val_split | c_selection=f_mmd | c_source=test | c_metric=standardized_l2 | c_reserve_ratio=0.05,30,4,tabpfn_finetuning_api_f_mmd_grad_accum10,acc,0.9714611872146118,0.976027397260274,,,14,True,False,,f_mmd,test,standardized_l2,0.05,294.8165822438006,238.4071546208231,,True
pc3,/home/crc00006699/zh/tabiclv2/data184/pc3,binclass,1250,250,313,37,2,0.8977635782747604,0.8793472273447941,0.5969194839857651,0.8300711743772242,0.29282092502372814,25.292011499404907,0.4519217014312744,ok,,1250,1000,0,313,,30,1e-05,True,25.291645765304565,tabpfn_finetune_epoch_chunks_f_mmd,dataset_val_split | c_selection=f_mmd | c_source=test | c_metric=standardized_l2 | c_reserve_ratio=0.05,30,1,tabpfn_finetuning_api_f_mmd_grad_accum10,acc,0.892,0.912,,,19,True,False,,f_mmd,test,standardized_l2,0.05,11.670120732183825,18.55218605799735,,True
pendigits,/home/crc00006699/zh/tabiclv2/data184/pendigits,multiclass,8793,1759,2199,16,10,0.9972714870395635,0.997273276642423,0.9972681553840104,0.9997271967809824,0.011940285192385712,71.94171810150146,1.3958325386047363,ok,,8793,7034,0,2199,,30,1e-05,True,71.94135975837708,tabpfn_finetune_epoch_chunks_f_mmd,dataset_val_split | c_selection=f_mmd | c_source=test | c_metric=standardized_l2 | c_reserve_ratio=0.05,30,8,tabpfn_finetuning_api_f_mmd_grad_accum10,acc,0.9971574758385446,0.9977259806708357,,,6,True,False,,f_mmd,test,standardized_l2,0.05,2.4420880174723236,0.5005051990799664,,True
pol,/home/crc00006699/zh/tabiclv2/data184/pol,binclass,8065,1613,2017,26,2,0.9905800694100149,0.9905800694100149,0.9905803128982019,0.9997581292179905,0.020825834243598636,53.84779644012451,1.5171115398406982,ok,,8065,6452,0,2017,,30,1e-05,True,53.847387075424194,tabpfn_finetune_epoch_chunks_f_mmd,dataset_val_split | c_selection=f_mmd | c_source=test | c_metric=standardized_l2 | c_reserve_ratio=0.05,30,7,tabpfn_finetuning_api_f_mmd_grad_accum10,acc,0.990700557966522,0.9931804091754495,,,3,True,False,,f_mmd,test,standardized_l2,0.05,7.323339307671925,2.980544567998937,,True
rice_cammeo_and_osmancik,/home/crc00006699/zh/tabiclv2/data184/rice_cammeo_and_osmancik,binclass,3048,610,762,7,2,0.931758530183727,0.9314798849732625,0.9268236055608712,0.9779436595936286,0.1872922217932433,21.830429077148438,0.6490108966827393,ok,,3048,2438,0,762,,30,1e-05,True,21.83005690574646,tabpfn_finetune_epoch_chunks_f_mmd,dataset_val_split | c_selection=f_mmd | c_source=test | c_metric=standardized_l2 | c_reserve_ratio=0.05,30,3,tabpfn_finetuning_api_f_mmd_grad_accum10,acc,0.9327868852459016,0.9360655737704918,,,3,True,False,,f_mmd,test,standardized_l2,0.05,3.8010536771181846,0.9407872434143009,,True
