dataset_name,accuracy_summary,accuracy_random,delta_accuracy,f1_summary,f1_random,balanced_accuracy_summary,balanced_accuracy_random,delta_balanced_accuracy,roc_auc_summary,roc_auc_random,delta_roc_auc,log_loss_summary,log_loss_random,delta_log_loss,fit_seconds_summary,fit_seconds_random,predict_seconds_summary,predict_seconds_random,task_type_summary,n_train_summary,n_val_summary,n_test_summary,n_features_summary,n_classes_summary
FICO-HELOC-cleaned,0.7478481012658228,0.7427848101265823,-0.005063291139240533,0.7476502050826498,0.7417968862947971,0.7468408326108662,0.7405209570258733,-0.006319875584992918,0.8245986712082801,0.8216814104750204,-0.002917260733259708,0.5147355473065034,0.5203755334769739,0.005639986170470457,0.5991725921630859,23.32220697402954,1.858705997467041,1.4236326217651367,binclass,7896,1580,1975,23,2
FOREX_audcad-hour-High,0.7151169423844838,0.7148887621220764,-0.00022818026240734035,0.7151269846755828,0.7149500539824737,0.714908638414774,0.7150753416112752,0.00016670319650113896,0.7888689425222595,0.789245184184885,0.0003762416626255094,0.5547981558088069,0.5547165553686841,-8.160044012273104e-05,0.5934126377105713,56.99611973762512,12.62379550933838,9.48857879638672,binclass,35060,7012,8765,10,2
FOREX_audjpy-day-High,0.773841961852861,0.7929155313351499,0.019073569482288888,0.7731838045481415,0.7924895078307409,0.7724124606147078,0.7917484097259377,0.019335949111229933,0.8518518518518517,0.8539028595208371,0.0020510076689853607,0.4794142945502971,0.4868904061680786,0.0074761116177815,0.6958770751953125,11.820612668991089,0.5001611709594727,0.4794297218322754,binclass,1465,293,367,10,2
FOREX_audsgd-hour-High,0.7005134055904164,0.7064460924130063,0.00593268682258985,0.69951660075165,0.7065101101552864,0.702448303075176,0.7066113271316201,0.004163024056444087,0.768914475055572,0.7771585514105186,0.008244076354946617,0.5774531634811079,0.5719959264200599,-0.005457237061047948,0.5845966339111328,162.50005435943604,12.678776502609251,8.723124504089355,binclass,35060,7012,8765,10,2
FOREX_cadjpy-day-High,0.7356948228882834,0.7111716621253406,-0.02452316076294281,0.7353883707151857,0.7039070053616947,0.7357893799002138,0.7116001425516749,-0.02418923734853884,0.7915775718698027,0.7810643858398669,-0.010513186029935784,0.5547467864516467,0.5958858769525862,0.04113909050093956,0.5213072299957275,7.920401334762573,0.4991862773895263,0.4687860012054443,binclass,1467,294,367,10,2
Firm-Teacher_Clave-Direction_Classification,0.8837962962962963,0.8731481481481481,-0.010648148148148184,0.8819237739970741,0.8707146705930869,0.8085371811799024,0.7910120854921663,-0.01752509568773608,0.973213808374568,0.9704393633201536,-0.002774445054414376,0.3019769126299133,0.3193081879623482,0.017331275332434948,0.7659912109375,37.29038310050965,1.874260187149048,1.405182123184204,multiclass,8640,1728,2160,16,4
GAMETES_Epistasis_2-Way_20atts_0.1H_EDM-1_1,0.678125,0.675,-0.0031249999999999334,0.6732719396504724,0.6693032314479908,0.6781250000000001,0.675,-0.0031250000000000444,0.7366796875,0.7472656249999999,0.01058593749999992,0.5880500909116693,0.5947689303410832,0.006718839429413981,0.705669641494751,8.878027200698853,0.5390233993530273,0.4901998043060303,binclass,1280,256,320,20,2
Gender_Gap_in_Spanish_WP,0.6021052631578947,0.6073684210526316,0.0052631578947368585,0.5543913727638692,0.5508862643555095,0.4204621400136057,0.4157822119059017,-0.004679928107704012,0.6988720599484267,0.7022620959704057,0.0033900360219789594,0.7977652880447951,0.7969275763409027,-0.0008377117038923521,0.6349608898162842,11.127746343612673,0.7899901866912842,0.6473388671875,multiclass,3796,760,950,13,3
HR_Analytics_Job_Change_of_Data_Scientists,0.8034968684759917,0.8024530271398748,-0.0010438413361169019,0.8062098585249203,0.804575257903581,0.752311981467024,0.7474195961106955,-0.004892385356328521,0.8108460856731581,0.8105782091947873,-0.00026787647837078765,0.4297638037933818,0.4308719889491304,0.00110818515574862,0.824465274810791,27.65243411064148,3.595534563064575,2.5703065395355225,binclass,15326,3066,3832,13,2
INNHotelsGroup,0.9018607856650586,0.903790489317712,0.0019297036526534361,0.9011744080275164,0.9029275668715078,0.8820465897128471,0.882510970671339,0.00046438095849188343,0.9635678498139628,0.9616163199915548,-0.0019515298224079825,0.2200890576979379,0.2250514689388694,0.004962411240931497,0.8551855087280273,64.0415050983429,10.136996984481812,7.042298078536987,binclass,29020,5804,7255,17,2
Intersectional-Bias-Assessment,0.9459090909090908,0.9472727272727272,0.0013636363636363447,0.9459094597199642,0.9472731630367524,0.9459155783994558,0.9472995187408416,0.001383940341385781,0.9905359803826768,0.9904285380151758,-0.00010744236750093172,0.1282935509259604,0.128876931491068,0.0005833805651075941,0.6226456165313721,23.39620041847229,1.9586315155029297,1.4998109340667725,binclass,8800,1760,2200,19,2
JapaneseVowels,0.9994982438534872,0.9989964877069744,-0.0005017561465128217,0.999498083906782,0.9989960803818158,0.9993540051679586,0.9987928379401247,-0.0005611672278338364,1.0,0.999998157779988,-1.8422200119827536e-06,0.0010800111030294,0.0048273669656399,0.0037473558626105003,0.6406657695770264,29.26097798347473,1.6421678066253662,1.203678846359253,multiclass,7968,1594,1993,14,9
KDDCup09_upselling,0.8128654970760234,0.8148148148148148,0.0019493177387913674,0.8117208078939019,0.8138983400350551,0.8128654970760234,0.8148148148148148,0.0019493177387913674,0.9127936801066996,0.912736682511998,-5.699759470156884e-05,0.3544383456513748,0.3519923255290391,-0.0024460201223356903,0.761005163192749,33.97381329536438,1.5992085933685305,1.3045055866241455,binclass,4102,821,1026,49,2
MIC,0.9030303030303032,0.9030303030303032,0.0,0.89153605015674,0.8941558441558441,0.7263335441703563,0.7423571579169301,0.016023613746573795,0.8855154965211891,0.8840396373603205,-0.0014758591608685645,0.2626932184419975,0.2665500938865575,0.0038568754445599818,0.9051039218902588,12.71725082397461,0.707557201385498,0.7385702133178711,binclass,1319,264,330,104,2
Marketing_Campaign,0.8995535714285714,0.8861607142857143,-0.013392857142857095,0.8933521949808856,0.8699259093699128,0.750284013005837,0.6747561405570572,-0.07552787244877979,0.9335605437380028,0.9307008265757823,-0.002859717162220443,0.2257363253083464,0.2345622793186054,0.008825954010259013,0.5684330463409424,8.81807279586792,0.8287215232849121,0.4841899871826172,binclass,1792,359,448,27,2
National_Health_and_Nutrition_Health_Survey,0.8355263157894737,0.8355263157894737,0.0,0.7913318971559885,0.7885534022230477,0.541739690260739,0.5361958582209664,-0.0055438320397726,0.7716656532780143,0.7694838871204264,-0.0021817661575879166,0.3808431662361319,0.3828058391395953,0.001962672903463414,0.520153284072876,14.83202052116394,0.6240849494934082,0.5727264881134033,binclass,1822,365,456,7,2
PhishingWebsites,0.9796472184531886,0.9773857982813208,-0.0022614201718678117,0.979630362587788,0.9773575845045794,0.9786012699149522,0.9759462192675608,-0.002655050647391466,0.9986550672259156,0.998050365556458,-0.0006047016694575857,0.0474991610621031,0.0552336094530958,0.007734448390992701,0.7821168899536133,33.366337060928345,2.3534512519836426,1.7845337390899658,binclass,8844,1769,2211,30,2
Pima_Indians_Diabetes_Database,0.7467532467532467,0.7597402597402597,0.012987012987012991,0.7371540246262263,0.7539924190641895,0.6942592592592592,0.717037037037037,0.022777777777777786,0.875925925925926,0.8681481481481481,-0.007777777777777883,0.4475877550794772,0.4501965919687013,0.002608836889224142,0.5170810222625732,11.50687551498413,0.4933927059173584,0.4600379467010498,binclass,614,123,154,8,2
Pumpkin_Seeds,0.886,0.866,-0.020000000000000018,0.8858805822787859,0.8648546915716654,0.8850961538461539,0.8628205128205129,-0.022275641025641058,0.9462980769230768,0.9448878205128204,-0.001410256410256383,0.2964318626463558,0.3767257361504,0.08029387350404421,0.5176534652709961,8.05547833442688,0.6814243793487549,0.6376228332519531,binclass,2000,400,500,12,2
Rain_in_Australia,0.8615083184380585,0.8596177643338375,-0.0018905541042210094,0.854826432280574,0.8533517699241645,0.7171830455512745,0.7232006057390744,0.006017560187799864,0.9226146241530576,0.9219524988930612,-0.0006621252599964267,0.3410465858234109,0.3437694668604421,0.0027228810370311662,1.9657645225524905,319.6074318885803,116.24803447723389,33.01152205467224,multiclass,116368,23274,29092,18,3
Shipping,0.6895454545454546,0.6909090909090909,0.0013636363636363447,0.6801288242132769,0.6812510258107868,0.7313018622410887,0.7331257066063697,0.0018238443652809355,0.7379214573689712,0.7361914716610849,-0.0017299857078862946,0.4986877744465905,0.4987569619835652,6.918753697465752e-05,0.7547352313995361,18.51113986968994,1.6757745742797852,1.2245714664459229,binclass,8799,1760,2200,9,2
VulNoneVul,0.9894644424934153,0.9894644424934153,0.0,0.9842245601854184,0.9842245601854184,0.5,0.5,0.0,0.8556270334220645,0.821354628808045,-0.03427240461401948,0.0486209616221006,0.0492539806861057,0.0006330190640051053,0.5216972827911377,9.465019464492798,1.002232551574707,0.7588624954223633,binclass,4553,911,1139,16,2
Waterstress,0.7815126050420168,0.7815126050420168,0.0,0.7814354555381475,0.7810183246151058,0.7826793920113114,0.7835277483209615,0.0008483563096500779,0.8700600919052669,0.8599505125486037,-0.010109579356663234,0.4465526987846978,0.4591542751223279,0.01260157633763015,0.6623325347900391,10.10526704788208,0.4895088672637939,0.4683718681335449,binclass,950,190,238,22,2
abalone,0.6423444976076556,0.6411483253588517,-0.0011961722488038617,0.6456383330126182,0.6455169969334182,0.6401762457252539,0.6396814518276348,-0.0004947938976190835,0.8328166744803882,0.8295697495300965,-0.003246924950291663,0.7400480054193321,0.745337646874146,0.00528964145481392,0.6448209285736084,9.011738777160645,0.7134835720062256,0.5974974632263184,multiclass,3341,669,836,8,3
ada,0.8602409638554217,0.8662650602409638,0.0060240963855421326,0.8555096105240209,0.8610022876800131,0.7834826985312422,0.7874891087876525,0.004006410256410353,0.9165655339805824,0.9169545058501368,0.0003889718695544442,0.3081865165492102,0.3115614627847219,0.003374946235511711,0.7145934104919434,12.158353328704834,1.303537368774414,1.1294043064117432,binclass,3317,664,830,48,2
ada_prior,0.8532311062431545,0.8510405257393209,-0.0021905805038335835,0.845130577091515,0.8410790115448555,0.7593756823056472,0.749075275169854,-0.010300407135793277,0.8954161903905677,0.8878385841435378,-0.0075776062470299665,0.3384187805846442,0.3493802736396695,0.010961493055025306,0.566533088684082,17.536696672439575,0.7842087745666504,0.6704921722412109,binclass,3649,730,913,14,2
airlines_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,0.6225,0.595,-0.02750000000000008,0.6053696710220732,0.5815916808149405,0.6003391031480919,0.5755643283733172,-0.024774774774774744,0.6678687114080373,0.6515715153355602,-0.016297196072477038,0.6342773372702637,0.6462746340849744,0.011997296814710734,0.5344092845916748,21.58408141136169,0.5092449188232422,0.4631907939910888,binclass,1600,320,400,7,2
allrep,0.9827814569536424,0.981456953642384,-0.0013245033112584403,0.9820487314653762,0.9810612979454876,0.7254158512720157,0.7250733855185909,-0.00034246575342478103,0.996170409040133,0.9963539727462476,0.00018356370611460893,0.0399784142443855,0.0438527936554354,0.0038743794110498997,0.7185103893280029,27.412903547286987,0.9090628623962402,0.792691707611084,multiclass,3017,604,755,29,4
artificial-characters,0.9153620352250488,0.905577299412916,-0.009784735812132794,0.915357396455982,0.9055219206950968,0.9112691480565728,0.9000729313937137,-0.011196216662859082,0.997822261381858,0.9966748673545188,-0.0011473940273392103,0.1774127371267938,0.2109651425794065,0.03355240545261268,0.5233457088470459,40.37778043746948,1.5182087421417236,1.085608720779419,multiclass,8174,1635,2044,7,10
autoUniv-au7-1100,0.4363636363636363,0.4136363636363636,-0.022727272727272707,0.417061161483152,0.3793039582821249,0.4165152487519671,0.3957321172046106,-0.020783131547356504,0.7461221733973696,0.7287411864523616,-0.017380986945008003,1.335546867621219,1.359826422413272,0.024279554792052904,0.5404458045959473,8.37763500213623,0.5018754005432129,0.4831190109252929,multiclass,880,176,220,12,5
banknote_authentication,0.5454545454545454,0.5454545454545454,0.0,0.4049286992445585,0.4366675652114969,0.4918568520304296,0.496839172827601,0.004982320797171369,0.51183970856102,0.5045001607200257,-0.0073395478409943316,0.6888109738252358,0.7019105406662124,0.013099566840976573,0.6466865539550781,10.8003191947937,0.4865877628326416,0.4575202465057373,binclass,1097,220,275,4,2
car-evaluation,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0101887919926194,0.0102502187336994,6.142674107999929e-05,0.6801478862762451,11.96039605140686,0.5210916996002197,0.4894623756408691,multiclass,1382,277,346,21,4
cmc,0.5898305084745763,0.5796610169491525,-0.01016949152542379,0.5889259395286689,0.5758060148940605,0.5632156676932797,0.5487525026594385,-0.014463165033841152,0.7641391269428205,0.7616530005592658,-0.002486126383554721,0.8711270147773404,0.8751492686784674,0.004022253901126982,0.6579818725585938,8.32838249206543,0.5032596588134766,0.472994327545166,multiclass,1178,236,295,9,3
compass,0.863923100030039,0.8486031841393812,-0.015319915890657843,0.8639227316640866,0.848602200525109,0.8639226365788866,0.8486024486024486,-0.015320187976437971,0.9343805945368444,0.9256810897435898,-0.008699504793254653,0.3241917229664793,0.341559195024499,0.017367472058019695,0.7855687141418457,29.20378613471985,3.172307014465332,2.2946410179138184,binclass,13315,2663,3329,17,2
contraceptive_method_choice,0.6237288135593221,0.6135593220338983,-0.01016949152542379,0.6228917606751242,0.6124320735101368,0.5964992962359074,0.590732146921787,-0.005767149314120368,0.795110269819967,0.7878538719784506,-0.007256397841516438,0.8235676170810268,0.8362518376949766,0.012684220613949804,0.6693935394287109,13.37317180633545,0.5184547901153564,0.487401008605957,multiclass,1178,236,295,9,3
credit-g,0.78,0.79,0.010000000000000009,0.7653333333333333,0.774077578051088,0.6904761904761905,0.6976190476190476,0.0071428571428571175,0.8492857142857144,0.8547619047619047,0.005476190476190301,0.4386637856117444,0.435871746105815,-0.0027920395059294334,0.6734585762023926,12.895226001739502,0.4998507499694824,0.4764816761016845,binclass,800,160,200,20,2
dabetes_130-us_hospitals,0.6457698732435885,0.6441977006976516,-0.0015721725459368896,0.6427007838187897,0.6409097394060362,0.6387873800926585,0.6369890110148455,-0.0017983690778129446,0.703220791392558,0.6986781802700435,-0.004542611122514528,0.6190037473594296,0.6226559461754473,0.0036521988160176377,1.6081488132476809,167.5112919807434,61.51466035842896,27.02142357826233,binclass,81412,16283,20354,20,2
delta_ailerons,0.9488078541374474,0.9537166900420756,0.004908835904628206,0.94881429657582,0.9537166900420756,0.9487424792618177,0.953539757480259,0.0047972782184413365,0.983042179320858,0.982876313352408,-0.00016586596845002965,0.1567919330308575,0.1571672758527128,0.00037534282185530676,0.5840332508087158,9.269721031188965,1.002138614654541,0.7204999923706055,binclass,5703,1141,1426,5,2
dna,0.9733542319749215,0.974921630094044,0.0015673981191224318,0.9734742464782928,0.9750157414217072,0.9724064974642548,0.9745568525557864,0.0021503550915316083,0.9979098128546194,0.99786610807502,-4.370477959947383e-05,0.0801749785453853,0.0815947150535172,0.0014197365081319024,1.2701177597045898,46.33084297180176,3.398192405700684,3.1904313564300537,multiclass,2548,510,638,180,3
dry_bean_dataset,0.927653323540213,0.9272860815277268,-0.0003672420124861686,0.927728352449278,0.9273269806267233,0.9380339500347646,0.93730990090097,-0.0007240491337946464,0.9960916095769318,0.9959410056314508,-0.0001506039454809427,0.1841381651473717,0.1882367227653775,0.004098557618005816,0.6851744651794434,17.512503623962402,2.485868453979492,1.7955000400543213,multiclass,10888,2178,2723,16,7
electricity,0.9075361359373276,0.9234249144874764,0.015888778550148808,0.9073774123744734,0.9233287186680156,0.9037827173733214,0.9204501149132022,0.01666739753988078,0.9710905591778074,0.980398777714214,0.00930821853640662,0.2159302643202768,0.1786339085696292,-0.037296355750647575,0.7863049507141113,205.22028613090515,13.238555431365969,9.151057243347168,binclass,36249,7250,9063,8,2
eucalyptus,0.6959459459459459,0.7027027027027027,0.006756756756756799,0.6982020452012838,0.7072166310879462,0.6854223296083761,0.6887361992013155,0.0033138695929393336,0.9387611114625752,0.938101793046633,-0.0006593184159422449,0.6187390177571781,0.6237668851858644,0.005027867428686328,0.677962064743042,26.34578585624695,0.5017492771148682,0.4728085994720459,multiclass,588,118,148,19,5
eye_movements_bin,0.6662286465177398,0.8232588699080158,0.15703022339027595,0.6656374276289273,0.8232252164575528,0.6662286465177398,0.8232588699080158,0.15703022339027595,0.7359221993331273,0.9127125419385588,0.17679034260543147,0.5974813869318522,0.3833097874696615,-0.21417159946219066,0.6575877666473389,38.94294810295105,1.4068639278411863,1.0630381107330322,binclass,6086,1218,1522,20,2
golf_play_dataset_extended,0.9406392694063926,0.9315068493150684,-0.0091324200913242,0.9408723830749228,0.9317758266249112,0.9145513948228198,0.900791656195024,-0.013759738627795781,0.981276702689118,0.9763759738627796,-0.0049007288263384075,0.1448183993449505,0.163869044060157,0.01905064471520651,0.537548303604126,11.218965768814089,0.4939477443695068,0.4867117404937744,binclass,876,176,219,9,2
hill-valley,0.9423868312757202,0.8930041152263375,-0.04938271604938271,0.9422341876901056,0.8917162017985063,0.9421826310797996,0.8925619834710744,-0.0496206476087252,0.9990516190218128,0.9533938490719416,-0.04565776994987125,0.3018602720551643,0.3785438742368602,0.0766836021816959,0.5448079109191895,9.268364667892456,0.5541143417358398,0.4878358840942383,binclass,969,194,243,100,2
htru,0.979608938547486,0.9810055865921788,0.0013966480446928609,0.9795667990043684,0.9808461102593908,0.9366918669186692,0.934719347193472,-0.001972519725197186,0.987409249092491,0.9879558170581706,0.0005465679656796452,0.0631265934301215,0.0616085908090619,-0.001518002621059604,0.5323352813720703,21.242055892944336,3.0244619846343994,2.147390127182007,binclass,14318,2864,3580,8,2
in_vehicle_coupon_recommendation,0.780449349625542,0.7737485218762318,-0.006700827749310245,0.7784073117522701,0.7718380606661707,0.7695061400008867,0.7631720276885857,-0.006334112312300966,0.8563686280470427,0.8512014008955091,-0.0051672271515336154,0.4626202332822232,0.4694996011703924,0.00687936788816923,0.7596774101257324,46.06681847572327,2.3222880363464355,1.7966723442077637,binclass,10147,2030,2537,21,2
jasmine,0.8257956448911222,0.8324958123953099,0.006700167504187671,0.8236736385438235,0.830927772854532,0.8259803371417027,0.8326580772597697,0.006677740118066988,0.8858162555273731,0.8745033781508833,-0.011312877376489783,0.3838201270905387,0.3845572540364546,0.000737126945915878,1.0045347213745115,83.94332575798035,2.8521487712860107,2.62361216545105,binclass,2387,478,597,144,2
jungle_chess_2pcs_raw_endgame_complete,0.9601740294511378,0.9902945113788488,0.030120481927710996,0.9600929858181042,0.9902907502860454,0.945605036556938,0.9864077423205924,0.04080270576365441,0.9972861426204732,0.9996209222594123,0.002334779638939133,0.1094445958788701,0.0516015698541623,-0.05784302602470779,0.6822841167449951,185.29758524894717,12.847052574157717,8.616498947143555,multiclass,35855,7171,8964,6,3
kdd_ipums_la_97-small,0.8911368015414258,0.8766859344894027,-0.014450867052023142,0.8906250728504117,0.8764837126282911,0.8911368015414258,0.8766859344894027,-0.014450867052023142,0.948719376598691,0.9465995448487344,-0.0021198317499565578,0.2620318195467249,0.2676186280266074,0.005586808479882521,0.6533546447753906,9.88330078125,0.9842097759246826,0.8012616634368896,binclass,4150,830,1038,20,2
law-school-admission-bianry,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.2997894562074718e-05,1.2993896981348888e-05,-3.997580725829725e-09,0.636601448059082,24.49703550338745,4.00120735168457,2.842893600463867,binclass,16640,3328,4160,11,2
led7,0.740625,0.740625,0.0,0.7340405712446606,0.7344028439473028,0.7387037180770313,0.7386593331245221,-4.4384952509135545e-05,0.9595226044004244,0.9590290945042852,-0.000493509896139166,0.776993937894978,0.7784400640818426,0.0014461261868646824,0.6514534950256348,14.30797290802002,0.6514263153076172,0.6048052310943604,multiclass,2560,512,640,7,10
mammography,0.9888243182834152,0.9888243182834152,0.0,0.9880426288676926,0.9879016619731944,0.8159346945960217,0.8065481429325823,-0.00938655166343949,0.98241946840345,0.9831455729625066,0.0007261045590566395,0.0314449558440079,0.0338761582307375,0.0024312023867296,0.6243855953216553,12.561676740646362,1.61999249458313,1.139389991760254,binclass,8946,1790,2237,6,2
mfeat-factors,0.9775,0.9775,0.0,0.9774628833597652,0.977492574033173,0.9775,0.9775,0.0,0.9996458333333332,0.9995902777777778,-5.555555555547542e-05,0.0815147374346061,0.0858900948396252,0.004375357405019098,0.7132666110992432,20.76672840118408,1.2040455341339111,1.022608518600464,multiclass,1600,320,400,216,10
mfeat-karhunen,0.975,0.97,-0.0050000000000000044,0.9748970954986188,0.9699556969393338,0.975,0.97,-0.0050000000000000044,0.999625,0.9995694444444444,-5.5555555555586444e-05,0.1034154846607184,0.1034366112482482,2.11265875297989e-05,0.5367181301116943,9.113251447677612,0.5481383800506592,0.4857487678527832,multiclass,1600,320,400,64,10
mfeat-pixel,0.9725,0.9675,-0.0050000000000000044,0.9724422611343312,0.967433717439272,0.9725,0.9675,-0.0050000000000000044,0.9990763888888888,0.999,-7.638888888883422e-05,0.1193072284339493,0.1286886149674886,0.009381386533539302,1.343003749847412,76.97288393974304,1.5262401103973389,1.3338487148284912,multiclass,1600,320,400,240,10
mice_protein_expression,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.000430273077415,0.00043146778065,1.1947032350000065e-06,0.5355789661407471,10.778267860412598,0.501744270324707,0.470205545425415,multiclass,864,173,216,75,8
mobile_c36_oversampling,0.9943972179289028,0.9942040185471408,-0.00019319938176198814,0.9943915050789932,0.9941983711508204,0.993131249972617,0.9929721156632598,-0.00015913430935721173,0.9993249309792096,0.9992791231433548,-4.580783585483861e-05,0.0239188466026683,0.0248854966757292,0.0009666500730608971,0.6702756881713867,220.55250239372253,16.275747060775757,11.168550968170166,binclass,41408,8282,10352,6,2
national-longitudinal-survey-binary,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0001356987627348,0.0001518081124744,1.610934973960001e-05,0.6071376800537109,9.980347394943236,0.9017648696899414,0.7540075778961182,binclass,3926,786,982,16,2
online_shoppers,0.9051094890510948,0.9042984590429846,-0.0008110300081102251,0.9008488208842648,0.8997367305815303,0.7792354614062766,0.7755486830601642,-0.003686778346112418,0.9323831033755065,0.9307664479303795,-0.0016166554451269022,0.2235676386770813,0.2257094629348586,0.002141824257777314,0.6342113018035889,22.13996934890747,2.064779043197632,1.534772872924805,binclass,9864,1973,2466,14,2
ozone-level-8hr,0.9585798816568049,0.9526627218934912,-0.00591715976331364,0.9514530950290728,0.9438411998460644,0.7010197368421053,0.668717105263158,-0.032302631578947305,0.943157894736842,0.9440131578947368,0.0008552631578948588,0.1258905551201907,0.1259611151701423,7.05600499515957e-05,0.5378777980804443,12.273987770080566,1.3513944149017334,1.2643201351165771,binclass,2027,406,507,72,2
page-blocks,0.9799086757990868,0.9771689497716894,-0.00273972602739736,0.9796501794474878,0.9769755430864684,0.9029675319250268,0.8995303112955375,-0.003437220629489257,0.9920835892345498,0.9928929962404152,0.0008094070058654035,0.087900281713343,0.0886302042092117,0.0007299224958686873,0.6260671615600586,14.60739254951477,0.9607503414154052,0.6715953350067139,multiclass,4378,876,1095,10,5
pc3,0.8913738019169329,0.8977635782747604,0.006389776357827448,0.8610103697565126,0.8493992104215747,0.5379782028469751,0.5,-0.03797820284697506,0.8405249110320284,0.822508896797153,-0.01801601423487542,0.2632758333845115,0.2778711633368486,0.014595329952337088,0.6243147850036621,14.087969303131104,0.4968311786651611,0.4699609279632568,binclass,1250,250,313,37,2
