dataset_name,accuracy_random,accuracy_f_mmd,delta_accuracy,f1_random,f1_f_mmd,delta_f1,balanced_accuracy_random,balanced_accuracy_f_mmd,delta_balanced_accuracy,roc_auc_random,roc_auc_f_mmd,delta_roc_auc,log_loss_random,log_loss_f_mmd,delta_log_loss,fit_seconds_random,fit_seconds_f_mmd,delta_fit_seconds,predict_seconds_random,predict_seconds_f_mmd,delta_predict_seconds,task_type_random,n_train_random,n_val_random,n_test_random,n_features_random,n_classes_random,ttt_c_selection_random,ttt_c_selection_f_mmd,ttt_c_source_random,ttt_c_source_f_mmd,ttt_c_f_distance_mean_f_mmd
abalone,0.6411483253588517,0.6483253588516746,0.0071770334928229484,0.6455169969334182,0.6517334828896083,0.006216485956190065,0.6396814518276348,0.6463979451890921,0.006716493361457299,0.8295697495300965,0.8315451830661534,0.001975433536056892,0.745337646874146,0.7419748674775049,-0.0033627793966412023,9.011738777160645,8.499715089797974,-0.5120236873626709,0.5974974632263184,0.5729255676269531,-0.024571895599365234,multiclass,3341,669,836,8,3,random,f_mmd,none,test,4.941358578465779
ada,0.8662650602409638,0.8614457831325302,-0.004819277108433662,0.8610022876800131,0.8574881798036124,-0.0035141078764007183,0.7874891087876525,0.7891616878267365,0.0016725790390839101,0.9169545058501368,0.9174446104057754,0.0004901045556385819,0.3115614627847219,0.3066392636238727,-0.004922199160849183,12.158353328704834,11.825589179992676,-0.3327641487121582,1.1294043064117432,1.1089463233947754,-0.020457983016967773,binclass,3317,664,830,48,2,random,f_mmd,none,test,4.338794762934013
ada_prior,0.8510405257393209,0.8488499452354874,-0.0021905805038334725,0.8410790115448555,0.8398161358056649,-0.0012628757391905943,0.749075275169854,0.7505651096184225,0.0014898344485685389,0.8878385841435378,0.8907540360385816,0.00291545189504383,0.3493802736396695,0.3436560414414892,-0.005724232198180301,17.536696672439575,19.770891189575195,2.23419451713562,0.6704921722412109,0.6354391574859619,-0.03505301475524902,binclass,3649,730,913,14,2,random,f_mmd,none,test,4.223381226452101
airlines_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,0.595,0.6025,0.007500000000000062,0.5815916808149405,0.5854099681154556,0.003818287300515144,0.5755643283733172,0.5806508755946959,0.00508654722137869,0.6515715153355602,0.6539249924081385,0.0023534770725782694,0.6462746340849744,0.6450834979752449,-0.0011911361097295403,21.58408141136169,12.487781763076782,-9.096299648284909,0.4631907939910888,0.4521458148956299,-0.011044979095458929,binclass,1600,320,400,7,2,random,f_mmd,none,test,2.519760960365528
allrep,0.981456953642384,0.9854304635761588,0.003973509933774877,0.9810612979454876,0.984988962472406,0.003927664526918395,0.7250733855185909,0.7570083170254402,0.03193493150684934,0.9963539727462476,0.9970484499584792,0.0006944772122315923,0.0438527936554354,0.0356840171641825,-0.008168776491252902,27.412903547286987,14.137567520141602,-13.275336027145386,0.792691707611084,0.7714776992797852,-0.021214008331298828,multiclass,3017,604,755,29,4,random,f_mmd,none,test,5.18088881923605
artificial-characters,0.905577299412916,0.8972602739726028,-0.008317025440313208,0.9055219206950968,0.8969866058823683,-0.008535314812728512,0.9000729313937137,0.8911498513514291,-0.008923080042284592,0.9966748673545188,0.9961236149545554,-0.0005512523999634533,0.2109651425794065,0.2269788808044175,0.01601373822501101,40.37778043746948,40.06090021133423,-0.3168802261352539,1.085608720779419,1.076352596282959,-0.009256124496459961,multiclass,8174,1635,2044,7,10,random,f_mmd,none,test,3.462708810274597
autoUniv-au7-1100,0.4136363636363636,0.4363636363636363,0.022727272727272707,0.3793039582821249,0.4084672986094009,0.02916334032727602,0.3957321172046106,0.4181837335100475,0.022451616305436906,0.7287411864523616,0.7360063431178865,0.007265156665524852,1.359826422413272,1.3635192517842794,0.0036928293710074556,8.37763500213623,7.787819623947143,-0.5898153781890878,0.4831190109252929,0.4555647373199463,-0.027554273605346624,multiclass,880,176,220,12,5,random,f_mmd,none,test,1.819417358002407
banknote_authentication,0.5454545454545454,0.5527272727272727,0.0072727272727273196,0.4366675652114969,0.4085569381196789,-0.028110627091817997,0.496839172827601,0.4983927997428479,0.0015536269152469084,0.5045001607200257,0.5085181613629058,0.00401800064288016,0.7019105406662124,0.6896218275660871,-0.012288713100125248,10.8003191947937,10.098861932754517,-0.7014572620391828,0.4575202465057373,0.4289383888244629,-0.028581857681274414,binclass,1097,220,275,4,2,random,f_mmd,none,test,4.318591661619124
car-evaluation,1.0,0.9971098265895952,-0.0028901734104047616,1.0,0.9971161578316884,-0.0028838421683116122,1.0,0.9989669421487604,-0.0010330578512396382,1.0,0.999987930285328,-1.2069714672047205e-05,0.0102502187336994,0.0168633322176477,0.0066131134839483,11.96039605140686,10.640847206115724,-1.319548845291136,0.4894623756408691,0.4568896293640136,-0.03257274627685547,multiclass,1382,277,346,21,4,random,f_mmd,none,test,1.2854933727395064
cmc,0.5796610169491525,0.5966101694915255,0.016949152542372947,0.5758060148940605,0.5922107759040303,0.016404761009969793,0.5487525026594385,0.5632249583083647,0.014472455648926186,0.7616530005592658,0.7566134941040298,-0.005039506455235987,0.8751492686784674,0.8810158070408601,0.005866538362392704,8.32838249206543,21.163774251937863,12.835391759872433,0.472994327545166,0.4497792720794678,-0.023215055465698242,multiclass,1178,236,295,9,3,random,f_mmd,none,test,3.158996617404465
compass,0.8486031841393812,0.8504055271853409,0.00180234304595972,0.848602200525109,0.8504034213753661,0.0018012208502570237,0.8486024486024486,0.8504044308731808,0.0018019822707322497,0.9256810897435898,0.9260441932316932,0.0003631034881034223,0.341559195024499,0.3408336075694397,-0.0007255874550592956,29.20378613471985,29.17273736000061,-0.03104877471923828,2.2946410179138184,2.286442279815674,-0.008198738098144531,binclass,13315,2663,3329,17,2,random,f_mmd,none,test,5.590307878402735
contraceptive_method_choice,0.6135593220338983,0.6169491525423729,0.003389830508474634,0.6124320735101368,0.6169478472328902,0.004515773722753358,0.590732146921787,0.5935379126775088,0.0028057657557217786,0.7878538719784506,0.7885228555505845,0.0006689835721339632,0.8362518376949766,0.8375641676808526,0.0013123299858760484,13.37317180633545,10.6394944190979,-2.733677387237549,0.487401008605957,0.4422554969787597,-0.045145511627197266,multiclass,1178,236,295,9,3,random,f_mmd,none,test,3.188844304160777
credit-g,0.79,0.79,0.0,0.774077578051088,0.774077578051088,0.0,0.6976190476190476,0.6976190476190476,0.0,0.8547619047619047,0.8522619047619048,-0.0024999999999999467,0.435871746105815,0.4376617773603,0.0017900312544850139,12.895226001739502,10.143633604049684,-2.7515923976898176,0.4764816761016845,0.4503440856933594,-0.02613759040832514,binclass,800,160,200,20,2,random,f_mmd,none,test,2.7437561514303046
dabetes_130-us_hospitals,0.6441977006976516,0.6422324850152304,-0.0019652156824211398,0.6409097394060362,0.6360113878123227,-0.004898351593713546,0.6369890110148455,0.632436665850542,-0.004552345164303473,0.6986781802700435,0.6992212271123606,0.0005430468423170964,0.6226559461754473,0.6220220100986475,-0.0006339360767997348,167.5112919807434,170.26556611061096,2.7542741298675537,27.02142357826233,27.21271848678589,0.19129490852355957,binclass,81412,16283,20354,20,2,random,f_mmd,none,test,3.5143898313921498
delta_ailerons,0.9537166900420756,0.9523141654978962,-0.0014025245441794398,0.9537166900420756,0.952329221141632,-0.0013874689004436114,0.953539757480259,0.952479400039097,-0.001060357441161952,0.982876313352408,0.9825327338463332,-0.00034357950607477594,0.1571672758527128,0.1624211126950046,0.005253836842291776,9.269721031188965,8.607895612716675,-0.66182541847229,0.7204999923706055,0.7035367488861084,-0.01696324348449707,binclass,5703,1141,1426,5,2,random,f_mmd,none,test,3.689035907319629
dna,0.974921630094044,0.9717868338557992,-0.0031347962382447525,0.9750157414217072,0.9719123449113316,-0.003103396510375611,0.9745568525557864,0.970227848226782,-0.0043290043290044045,0.99786610807502,0.9979397016250068,7.359354998681678e-05,0.0815947150535172,0.0799166535798469,-0.001678061473670306,46.33084297180176,36.55884575843811,-9.771997213363647,3.1904313564300537,3.0919435024261475,-0.09848785400390625,multiclass,2548,510,638,180,3,random,f_mmd,none,test,1.4325375806702203
dry_bean_dataset,0.9272860815277268,0.9294895336026442,0.0022034520749173447,0.9273269806267233,0.9296583305391318,0.0023313499124085757,0.93730990090097,0.9398147399009787,0.0025048390000087517,0.9959410056314508,0.996080138975906,0.00013913334445514458,0.1882367227653775,0.1867112770589939,-0.0015254457063836047,17.512503623962402,27.66693663597107,10.154433012008667,1.7955000400543213,1.7907521724700928,-0.004747867584228516,multiclass,10888,2178,2723,16,7,random,f_mmd,none,test,6.071756137744035
electricity,0.9234249144874764,0.9224318658280922,-0.0009930486593842103,0.9233287186680156,0.9223590043271176,-0.0009697143408979869,0.9204501149132022,0.9197234608308432,-0.0007266540823589462,0.980398777714214,0.9795625424820056,-0.0008362352322084377,0.1786339085696292,0.1838469895269154,0.005213080957286176,205.22028613090515,209.34432220458984,4.124036073684692,9.151057243347168,9.139289855957031,-0.011767387390136719,binclass,36249,7250,9063,8,2,random,f_mmd,none,test,6.474357830437151
eucalyptus,0.7027027027027027,0.7297297297297297,0.027027027027026973,0.7072166310879462,0.7351575136345485,0.02794088254660232,0.6887361992013155,0.7297449320705134,0.04100873286919793,0.938101793046633,0.9423862538555192,0.004284460808886226,0.6237668851858644,0.636830855986325,0.013063970800460623,26.34578585624695,7.836985349655151,-18.508800506591797,0.4728085994720459,0.4313585758209228,-0.0414500236511231,multiclass,588,118,148,19,5,random,f_mmd,none,test,3.5715512309300785
eye_movements_bin,0.8232588699080158,0.8206307490144547,-0.0026281208935611255,0.8232252164575528,0.8205742835489939,-0.0026509329085588895,0.8232588699080158,0.8206307490144547,-0.0026281208935611255,0.9127125419385588,0.904664137546385,-0.008048404392173802,0.3833097874696615,0.4075574082227624,0.024247620753100885,38.94294810295105,38.238903522491455,-0.7040445804595947,1.0630381107330322,1.0523614883422852,-0.01067662239074707,binclass,6086,1218,1522,20,2,random,f_mmd,none,test,6.804704470839492
golf_play_dataset_extended,0.9315068493150684,0.9360730593607306,0.004566210045662156,0.9317758266249112,0.9360730593607306,0.00429723273581939,0.900791656195024,0.9036818296054284,0.0028901734104044285,0.9763759738627796,0.9763759738627796,0.0,0.163869044060157,0.1949228909107896,0.031053846850632588,11.218965768814089,15.926807165145874,4.707841396331785,0.4867117404937744,0.4354701042175293,-0.05124163627624512,binclass,876,176,219,9,2,random,f_mmd,none,test,3.242069230095132
hill-valley,0.8930041152263375,0.9053497942386832,0.012345679012345734,0.8917162017985063,0.9046031299330104,0.012886928134504094,0.8925619834710744,0.9049925484351714,0.012430564964097002,0.9533938490719416,0.9906516732150116,0.037257824143069995,0.3785438742368602,0.3440101723731142,-0.03453370186374599,9.268364667892456,8.753979444503784,-0.5143852233886719,0.4878358840942383,0.4589626789093017,-0.02887320518493658,binclass,969,194,243,100,2,random,f_mmd,none,test,13.658256198909651
htru,0.9810055865921788,0.9801675977653632,-0.0008379888268156277,0.9808461102593908,0.980126612730276,-0.0007194975291148209,0.934719347193472,0.938370008700087,0.0036506615066149717,0.9879558170581706,0.9878461284612846,-0.00010968859688598176,0.0616085908090619,0.0630123881450731,0.0014037973360111963,21.242055892944336,21.013606071472168,-0.22844982147216797,2.147390127182007,2.1402392387390137,-0.007150888442993164,binclass,14318,2864,3580,8,2,random,f_mmd,none,test,8.946950700716206
