dataset_name,dataset_dir,task_type,n_train,n_val,n_test,n_features,n_classes,accuracy,f1,balanced_accuracy,roc_auc,log_loss,fit_seconds,predict_seconds,status,error,n_train_a,n_train_b,n_holdout_c,n_test_d,ttt_loss,ttt_steps,ttt_lr,ttt_applied,ttt_update_seconds,ttt_split_strategy,ttt_split_reason,ttt_epochs,ttt_chunks_per_epoch,ttt_batch_mode,ttt_val_eval_metric,ttt_val_baseline_metric,ttt_val_best_metric,ttt_val_baseline_accuracy,ttt_val_best_accuracy,ttt_best_epoch,ttt_stopped_early,ttt_oom_fallback,ttt_fallback_reason,ttt_c_selection,ttt_c_source,ttt_c_metric,ttt_c_reserve_ratio,ttt_c_f_distance_mean,ttt_c_f_distance_std,ttt_c_fallback_reason,ttt_c_label_coverage_ok
stage1_graph_scm_0147_seed42,/home/crc00006699/zh/tabiclv2/results/tabiclv2_prior_data/graph_scm_3stage_512_seed42/stage1_graph_scm_0147_seed42,multiclass,345,0,679,98,3,0.9042709867452136,0.8989603323115953,0.8197399527186762,0.9521951426268934,0.257775890171379,8.084779977798462,0.5202584266662598,ok,,345,345,0,679,,30,1e-05,True,8.084418296813965,tabpfn_finetune_epoch_chunks_random,internal validation_split_ratio=0.1 | c_selection=random | c_source=none,30,1,tabpfn_finetuning_api_random,acc,0.9411764705882352,0.9411764705882352,,,0,True,False,,random,none,,,,,,True
stage1_graph_scm_0148_seed42,/home/crc00006699/zh/tabiclv2/results/tabiclv2_prior_data/graph_scm_3stage_512_seed42/stage1_graph_scm_0148_seed42,binclass,381,0,643,17,2,1.0,1.0,1.0,1.0,2.228858874009157e-05,7.836727142333984,0.4452583789825439,ok,,381,381,0,643,,30,1e-05,True,7.83634614944458,tabpfn_finetune_epoch_chunks_random,internal validation_split_ratio=0.1 | c_selection=random | c_source=none,30,1,tabpfn_finetuning_api_random,acc,1.0,1.0,,,0,True,False,,random,none,,,,,,True
stage1_graph_scm_0149_seed42,/home/crc00006699/zh/tabiclv2/results/tabiclv2_prior_data/graph_scm_3stage_512_seed42/stage1_graph_scm_0149_seed42,multiclass,381,0,643,21,4,0.5489891135303266,0.5266749742040291,0.5058159997184387,0.762725968671401,1.0547285173272698,13.841121435165403,0.4399056434631347,ok,,381,381,0,643,,30,1e-05,True,13.840755701065063,tabpfn_finetune_epoch_chunks_random,internal validation_split_ratio=0.1 | c_selection=random | c_source=none,30,1,tabpfn_finetuning_api_random,acc,0.5263157894736842,0.5789473684210527,,,7,True,False,,random,none,,,,,,True
stage1_graph_scm_0150_seed42,/home/crc00006699/zh/tabiclv2/results/tabiclv2_prior_data/graph_scm_3stage_512_seed42/stage1_graph_scm_0150_seed42,multiclass,381,0,643,21,10,0.2363919129082426,0.2115719841519946,0.2349170695673743,0.7744806425444346,1.8516197454898529,9.183722496032717,0.4360530376434326,ok,,381,381,0,643,,30,1e-05,True,9.183357000350952,tabpfn_finetune_epoch_chunks_random,internal validation_split_ratio=0.1 | c_selection=random | c_source=none,30,1,tabpfn_finetuning_api_random,acc,0.2894736842105263,0.3157894736842105,,,2,True,False,,random,none,,,,,,True
stage1_graph_scm_0151_seed42,/home/crc00006699/zh/tabiclv2/results/tabiclv2_prior_data/graph_scm_3stage_512_seed42/stage1_graph_scm_0151_seed42,binclass,381,0,643,21,2,1.0,1.0,1.0,1.0,0.0014113622853399,7.593976974487305,0.4490003585815429,ok,,381,381,0,643,,30,1e-05,True,7.593597173690796,tabpfn_finetune_epoch_chunks_random,internal validation_split_ratio=0.1 | c_selection=random | c_source=none,30,1,tabpfn_finetuning_api_random,acc,1.0,1.0,,,0,True,False,,random,none,,,,,,True
stage1_graph_scm_0152_seed42,/home/crc00006699/zh/tabiclv2/results/tabiclv2_prior_data/graph_scm_3stage_512_seed42/stage1_graph_scm_0152_seed42,binclass,592,0,432,75,2,0.9560185185185184,0.9560362530822047,0.9562849763237192,0.9933491175204476,0.1056221526781518,10.980764627456663,0.4753472805023193,ok,,592,592,0,432,,30,1e-05,True,10.980398654937744,tabpfn_finetune_epoch_chunks_random,internal validation_split_ratio=0.1 | c_selection=random | c_source=none,30,1,tabpfn_finetuning_api_random,acc,0.9491525423728814,0.9661016949152542,,,2,True,False,,random,none,,,,,,True
stage1_graph_scm_0153_seed42,/home/crc00006699/zh/tabiclv2/results/tabiclv2_prior_data/graph_scm_3stage_512_seed42/stage1_graph_scm_0153_seed42,multiclass,592,0,432,79,6,0.9189814814814816,0.9151352573636756,0.8006336350965507,0.9933079377293792,0.2640904103596445,7.973968029022217,0.5548222064971924,ok,,592,592,0,432,,30,1e-05,True,7.973609447479248,tabpfn_finetune_epoch_chunks_random,internal validation_split_ratio=0.1 | c_selection=random | c_source=none,30,1,tabpfn_finetuning_api_random,acc,0.8983050847457628,0.8983050847457628,,,0,True,False,,random,none,,,,,,True
stage1_graph_scm_0154_seed42,/home/crc00006699/zh/tabiclv2/results/tabiclv2_prior_data/graph_scm_3stage_512_seed42/stage1_graph_scm_0154_seed42,multiclass,592,0,432,79,4,0.976851851851852,0.9768734636644356,0.9770336613132414,0.9991328035632498,0.0668264162905968,7.884415626525879,0.4458212852478027,ok,,592,592,0,432,,30,1e-05,True,7.884053707122803,tabpfn_finetune_epoch_chunks_random,internal validation_split_ratio=0.1 | c_selection=random | c_source=none,30,1,tabpfn_finetuning_api_random,acc,0.9661016949152542,0.9661016949152542,,,0,True,False,,random,none,,,,,,True
stage1_graph_scm_0155_seed42,/home/crc00006699/zh/tabiclv2/results/tabiclv2_prior_data/graph_scm_3stage_512_seed42/stage1_graph_scm_0155_seed42,binclass,592,0,432,67,2,1.0,1.0,1.0,1.0,5.346537333308731e-05,8.31791353225708,0.45941162109375,ok,,592,592,0,432,,30,1e-05,True,8.317561149597168,tabpfn_finetune_epoch_chunks_random,internal validation_split_ratio=0.1 | c_selection=random | c_source=none,30,1,tabpfn_finetuning_api_random,acc,1.0,1.0,,,0,True,False,,random,none,,,,,,True
stage1_graph_scm_0156_seed42,/home/crc00006699/zh/tabiclv2/results/tabiclv2_prior_data/graph_scm_3stage_512_seed42/stage1_graph_scm_0156_seed42,multiclass,521,0,503,83,3,0.9900596421471172,0.9899978645785164,0.9831649831649832,0.999691828814029,0.033894851265328,7.953912973403931,0.448462963104248,ok,,521,521,0,503,,30,1e-05,True,7.953553676605225,tabpfn_finetune_epoch_chunks_random,internal validation_split_ratio=0.1 | c_selection=random | c_source=none,30,1,tabpfn_finetuning_api_random,acc,1.0,1.0,,,0,True,False,,random,none,,,,,,True
stage1_graph_scm_0157_seed42,/home/crc00006699/zh/tabiclv2/results/tabiclv2_prior_data/graph_scm_3stage_512_seed42/stage1_graph_scm_0157_seed42,multiclass,521,0,503,83,3,0.9940357852882704,0.994033408874296,0.9945697577276524,0.9999550436471096,0.0109153664718381,8.762600898742676,0.4904267787933349,ok,,521,521,0,503,,30,1e-05,True,8.76221776008606,tabpfn_finetune_epoch_chunks_random,internal validation_split_ratio=0.1 | c_selection=random | c_source=none,30,1,tabpfn_finetuning_api_random,acc,1.0,1.0,,,0,True,False,,random,none,,,,,,True
stage1_graph_scm_0158_seed42,/home/crc00006699/zh/tabiclv2/results/tabiclv2_prior_data/graph_scm_3stage_512_seed42/stage1_graph_scm_0158_seed42,multiclass,521,0,503,83,8,0.5606361829025845,0.5083809316825066,0.4162907122696875,0.8832572509777118,1.1144827505696804,7.870831489562988,0.4486410617828369,ok,,521,521,0,503,,30,1e-05,True,7.870438098907471,tabpfn_finetune_epoch_chunks_random,internal validation_split_ratio=0.1 | c_selection=random | c_source=none,30,1,tabpfn_finetuning_api_random,acc,0.5384615384615384,0.5384615384615384,,,0,True,False,,random,none,,,,,,True
stage1_graph_scm_0159_seed42,/home/crc00006699/zh/tabiclv2/results/tabiclv2_prior_data/graph_scm_3stage_512_seed42/stage1_graph_scm_0159_seed42,binclass,521,0,503,72,2,1.0,1.0,1.0,1.0,1.347738273137394e-05,8.71215295791626,0.6224796772003174,ok,,521,521,0,503,,30,1e-05,True,8.711796045303345,tabpfn_finetune_epoch_chunks_random,internal validation_split_ratio=0.1 | c_selection=random | c_source=none,30,1,tabpfn_finetuning_api_random,acc,1.0,1.0,,,0,True,False,,random,none,,,,,,True
