dataset_name,dataset_dir,task_type,n_train,n_val,n_test,n_features,n_classes,accuracy,f1,balanced_accuracy,roc_auc,log_loss,fit_seconds,predict_seconds,status,error,n_train_a,n_train_b,n_holdout_c,n_test_d,ttt_loss,ttt_steps,ttt_lr,ttt_applied,ttt_update_seconds,ttt_split_strategy,ttt_split_reason,ttt_epochs,ttt_chunks_per_epoch,ttt_batch_mode,ttt_val_eval_metric,ttt_val_baseline_metric,ttt_val_best_metric,ttt_val_baseline_accuracy,ttt_val_best_accuracy,ttt_best_epoch,ttt_stopped_early,ttt_oom_fallback,ttt_fallback_reason,ttt_c_selection,ttt_c_source,ttt_c_metric,ttt_c_f_distance_mean,ttt_c_f_distance_std,ttt_c_fallback_reason,ttt_c_label_coverage_ok,ttt_upper_enabled,ttt_upper_selection,ttt_upper_pool_size,ttt_upper_final_epochs,ttt_upper_shift_score,ttt_upper_alpha,ttt_upper_alpha_reason,ttt_upper_stage1_steps,ttt_upper_stage2_steps,ttt_upper_fallback_reason,ttt_upper_used_test_features
autoUniv-au7-1100,/home/crc00006699/zh/tabiclv2/data200_by_rows/small_lt2000/autoUniv-au7-1100,multiclass,880,176,220,12,5,0.4090909090909091,0.38889254603875467,0.39334366601575677,0.7421192889398621,1.3402214820285259,77.86315107345581,0.8215363025665283,ok,,880,704,0,220,1.3666821122169495,21,1e-05,True,77.80301785469055,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | c_selection=f_hybrid_upper c_source=test c_metric=standardized_l2 | upper_selection=f_hybrid_upper upper_final_epochs=10 rollback_gate=validation | upper_alpha=0.000000 reason=validation_best_accuracy | upper_shift_score=0.415755 actual_upper_final_epochs=10,30,1,epoch_chunk,accuracy,0.5227272727272727,0.5227272727272727,0.5227272727272727,0.5227272727272727,0,True,False,,f_hybrid_upper,test,standardized_l2,3.426819362543377,0.36350141167897054,,True,True,f_hybrid_upper,352,10,0.41575453587853356,0.0,validation_best_accuracy,20,1,,True
baseball,/home/crc00006699/zh/tabiclv2/data200_by_rows/small_lt2000/baseball,multiclass,1072,215,268,16,3,0.9402985074626866,0.9294709011255926,0.5735930735930737,0.9761308529110738,0.13295124835524708,116.89823198318481,0.469890832901001,ok,,1072,857,0,268,0.016562496777623892,23,1e-05,True,116.83823657035828,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | c_selection=f_hybrid_upper c_source=test c_metric=standardized_l2 | upper_selection=f_hybrid_upper upper_final_epochs=10 rollback_gate=validation | upper_alpha=1.000000 reason=validation_best_accuracy | upper_shift_score=0.139734 actual_upper_final_epochs=8,30,1,epoch_chunk,accuracy,0.9488372093023256,0.9627906976744186,0.9488372093023256,0.9627906976744186,4,True,False,,f_hybrid_upper,test,standardized_l2,3.686730156224427,0.9703471591193086,,True,True,f_hybrid_upper,429,8,0.13973408857313455,1.0,validation_best_accuracy,22,1,,True
cmc,/home/crc00006699/zh/tabiclv2/data200_by_rows/small_lt2000/cmc,multiclass,1178,236,295,9,3,0.6033898305084746,0.603394360896538,0.5784569217405039,0.769222731769628,0.8665615793431031,121.34692597389221,0.43265509605407715,ok,,1178,942,0,295,1.0263666808605194,21,1e-05,True,121.30223822593689,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | c_selection=f_hybrid_upper c_source=test c_metric=standardized_l2 | upper_selection=f_hybrid_upper upper_final_epochs=10 rollback_gate=validation | upper_alpha=0.000000 reason=validation_best_accuracy | upper_shift_score=0.227528 actual_upper_final_epochs=10,30,1,epoch_chunk,accuracy,0.5508474576271186,0.5508474576271186,0.5508474576271186,0.5508474576271186,0,True,False,,f_hybrid_upper,test,standardized_l2,2.894212195605042,0.7026528207013342,,True,True,f_hybrid_upper,471,10,0.2275282811007905,0.0,validation_best_accuracy,20,1,,True
credit-g,/home/crc00006699/zh/tabiclv2/data200_by_rows/small_lt2000/credit-g,binclass,800,160,200,20,2,0.785,0.7676703752849511,0.6892857142857143,0.8464285714285714,0.44086422169213063,63.946167945861816,0.8645997047424316,ok,,800,640,0,200,0.5206259191036224,21,1e-05,True,63.87334680557251,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | c_selection=f_hybrid_upper c_source=test c_metric=standardized_l2 | upper_selection=f_hybrid_upper upper_final_epochs=10 rollback_gate=validation | upper_alpha=0.750000 reason=validation_best_accuracy | upper_shift_score=0.276162 actual_upper_final_epochs=10,30,1,epoch_chunk,accuracy,0.75,0.78125,0.75,0.78125,10,True,False,,f_hybrid_upper,test,standardized_l2,4.413545236469232,0.8463451366933347,,True,True,f_hybrid_upper,320,10,0.27616203082172236,0.75,validation_best_accuracy,20,1,,True
eucalyptus,/home/crc00006699/zh/tabiclv2/data200_by_rows/small_lt2000/eucalyptus,multiclass,588,118,148,19,5,0.7364864864864865,0.7402095066246009,0.7268924873576037,0.9435029694274476,0.5869195393313941,42.07512331008911,0.6678194999694824,ok,,588,470,0,148,0.7736488282680511,23,1e-05,True,41.99813437461853,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | c_selection=f_hybrid_upper c_source=test c_metric=standardized_l2 | upper_selection=f_hybrid_upper upper_final_epochs=10 rollback_gate=validation | upper_alpha=0.000000 reason=validation_best_accuracy | upper_shift_score=0.080393 actual_upper_final_epochs=8,30,1,epoch_chunk,accuracy,0.7372881355932204,0.7372881355932204,0.7372881355932204,0.7372881355932204,0,True,False,,f_hybrid_upper,test,standardized_l2,4.14067652758919,0.6287747085794801,,True,True,f_hybrid_upper,235,8,0.08039302541964403,0.0,validation_best_accuracy,22,1,,True
hill-valley,/home/crc00006699/zh/tabiclv2/data200_by_rows/small_lt2000/hill-valley,binclass,969,194,243,100,2,0.9794238683127572,0.9794134081776917,0.9793388429752066,0.9997967755046742,0.07196686229647534,108.7806806564331,1.170760154724121,ok,,969,775,0,243,0.7644467055797577,23,1e-05,True,108.58597159385681,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | c_selection=f_hybrid_upper c_source=test c_metric=standardized_l2 | upper_selection=f_hybrid_upper upper_final_epochs=10 rollback_gate=validation | upper_alpha=1.000000 reason=validation_best_accuracy | upper_shift_score=0.052024 actual_upper_final_epochs=8,30,1,epoch_chunk,accuracy,0.9072164948453608,0.9484536082474226,0.9072164948453608,0.9484536082474226,13,True,False,,f_hybrid_upper,test,standardized_l2,8.32876942411787,7.345728178680009,,True,True,f_hybrid_upper,388,8,0.05202399493567474,1.0,validation_best_accuracy,22,1,,True
maternal_health_risk,/home/crc00006699/zh/tabiclv2/data200_by_rows/small_lt2000/maternal_health_risk,multiclass,811,163,203,6,3,0.8768472906403941,0.8748005893782885,0.8794702134668967,0.9616534889516254,0.3418063944020407,62.4383590221405,0.6233725547790527,ok,,811,648,0,203,0.7360495328903198,21,1e-05,True,62.39998960494995,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | c_selection=f_hybrid_upper c_source=test c_metric=standardized_l2 | upper_selection=f_hybrid_upper upper_final_epochs=10 rollback_gate=validation | upper_alpha=1.000000 reason=validation_best_accuracy | upper_shift_score=0.244221 actual_upper_final_epochs=10,30,1,epoch_chunk,accuracy,0.8159509202453987,0.8404907975460123,0.8159509202453987,0.8404907975460123,8,True,False,,f_hybrid_upper,test,standardized_l2,2.472705369716823,0.6953009212057291,,True,True,f_hybrid_upper,324,10,0.24422056959758595,1.0,validation_best_accuracy,20,1,,True
one-hundred-plants-margin,/home/crc00006699/zh/tabiclv2/data200_by_rows/small_lt2000/one-hundred-plants-margin,multiclass,1280,256,320,64,100,0.903125,0.9008283730158727,0.9041666666666667,0.9990319982962638,0.3318854571431564,1.4517498016357422,7.074153184890747,ok,,1280,1024,0,320,,0,1e-05,False,0.797621488571167,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | c_selection=f_hybrid_upper c_source=test c_metric=standardized_l2 | upper_selection=f_hybrid_upper upper_final_epochs=10 rollback_gate=validation | TTT training skipped because n_classes=100 exceeds model max_classes=10,0,0,epoch_chunk,,,,,,0,False,False,,f_hybrid_upper,test,standardized_l2,,,,True,False,,0,0,,,,0,0,,False
one-hundred-plants-texture,/home/crc00006699/zh/tabiclv2/data200_by_rows/small_lt2000/one-hundred-plants-texture,multiclass,1279,256,320,64,100,0.928125,0.9280704365079364,0.93,0.9995710794100813,0.22606494072507552,1.2680516242980957,6.977975845336914,ok,,1279,1023,0,320,,0,1e-05,False,0.6312656402587891,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | c_selection=f_hybrid_upper c_source=test c_metric=standardized_l2 | upper_selection=f_hybrid_upper upper_final_epochs=10 rollback_gate=validation | TTT training skipped because n_classes=100 exceeds model max_classes=10,0,0,epoch_chunk,,,,,,0,False,False,,f_hybrid_upper,test,standardized_l2,,,,True,False,,0,0,,,,0,0,,False
pc3,/home/crc00006699/zh/tabiclv2/data200_by_rows/small_lt2000/pc3,binclass,1250,250,313,37,2,0.9009584664536742,0.8751254944350869,0.5710075622775801,0.8311832740213524,0.27002648031555826,154.96164083480835,0.7633562088012695,ok,,1250,1000,0,313,0.3501398116350174,23,1e-05,True,154.86525106430054,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | c_selection=f_hybrid_upper c_source=test c_metric=standardized_l2 | upper_selection=f_hybrid_upper upper_final_epochs=10 rollback_gate=validation | upper_alpha=1.000000 reason=validation_best_accuracy | upper_shift_score=0.031117 actual_upper_final_epochs=8,30,1,epoch_chunk,accuracy,0.884,0.892,0.884,0.892,6,True,False,,f_hybrid_upper,test,standardized_l2,4.607501137306257,2.9422492601103176,,True,True,f_hybrid_upper,500,8,0.031116516456726126,1.0,validation_best_accuracy,22,1,,True
semeion,/home/crc00006699/zh/tabiclv2/data200_by_rows/small_lt2000/semeion,multiclass,1274,255,319,256,10,0.9717868338557993,0.9717806117069189,0.971875,0.9995423707117256,0.09003879331035726,195.64368343353271,3.9114465713500977,ok,,1274,1019,0,319,0.12100223451852798,21,1e-05,True,195.03616428375244,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | c_selection=f_hybrid_upper c_source=test c_metric=standardized_l2 | upper_selection=f_hybrid_upper upper_final_epochs=10 rollback_gate=validation | upper_alpha=1.000000 reason=validation_best_accuracy | upper_shift_score=0.354820 actual_upper_final_epochs=10,30,1,epoch_chunk,accuracy,0.9568627450980393,0.9686274509803922,0.9568627450980393,0.9686274509803922,13,True,False,,f_hybrid_upper,test,standardized_l2,16.02587187207919,0.8761785407713142,,True,True,f_hybrid_upper,510,10,0.35481964593660936,1.0,validation_best_accuracy,20,1,,True
statlog,/home/crc00006699/zh/tabiclv2/data200_by_rows/small_lt2000/statlog,binclass,800,160,200,20,2,0.725,0.7101761956130888,0.6321428571428571,0.7616666666666667,0.518938753675652,61.842286586761475,0.8487443923950195,ok,,800,640,0,200,0.49831730127334595,21,1e-05,True,61.76254320144653,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | c_selection=f_hybrid_upper c_source=test c_metric=standardized_l2 | upper_selection=f_hybrid_upper upper_final_epochs=10 rollback_gate=validation | upper_alpha=0.750000 reason=validation_best_accuracy | upper_shift_score=0.211205 actual_upper_final_epochs=10,30,1,epoch_chunk,accuracy,0.775,0.78125,0.775,0.78125,3,True,False,,f_hybrid_upper,test,standardized_l2,4.197400207085217,0.796937714930497,,True,True,f_hybrid_upper,320,10,0.21120519082738265,0.75,validation_best_accuracy,20,1,,True
svmguide3,/home/crc00006699/zh/tabiclv2/data200_by_rows/small_lt2000/svmguide3,binclass,994,199,249,22,2,0.891566265060241,0.8809269532161098,0.7754934210526316,0.9300073099415205,0.2713046460565125,100.82167029380798,1.008528232574463,ok,,994,795,0,249,0.24305713176727295,23,1e-05,True,100.72637391090393,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | c_selection=f_hybrid_upper c_source=test c_metric=standardized_l2 | upper_selection=f_hybrid_upper upper_final_epochs=10 rollback_gate=validation | upper_alpha=0.000000 reason=validation_best_accuracy | upper_shift_score=0.104849 actual_upper_final_epochs=8,30,1,epoch_chunk,accuracy,0.8592964824120602,0.8592964824120602,0.8592964824120602,0.8592964824120602,0,True,False,,f_hybrid_upper,test,standardized_l2,3.811726425007396,1.262132952310795,,True,True,f_hybrid_upper,398,8,0.10484888237543298,0.0,validation_best_accuracy,22,1,,True
