dataset_name,dataset_dir,task_type,n_train,n_val,n_test,n_features,n_classes,accuracy,f1,balanced_accuracy,roc_auc,log_loss,fit_seconds,predict_seconds,status,error,n_train_a,n_train_b,n_holdout_c,n_test_d,ttt_loss,ttt_steps,ttt_lr,ttt_applied,ttt_update_seconds,ttt_epochs,ttt_chunks_per_epoch,ttt_val_eval_metric,ttt_val_baseline_metric,ttt_val_best_metric,ttt_val_baseline_accuracy,ttt_val_best_accuracy,ttt_best_epoch,ttt_stopped_early,ttt_oom_fallback,ttt_fallback_reason,ttt_split_strategy,ttt_split_reason
FOREX_audcad-day-High,/home/crc00006699/zh/tabiclv2/data172/FOREX_audcad-day-High,binclass,1467,294,367,10,2,0.7356948228882834,0.7356477044165978,0.7355343670171687,0.8229073843046397,0.5271807060416972,31.04273796081543,0.2543327808380127,ok,,1467,1173,0,367,0.5972822308540344,72,5e-06,True,30.616663932800293,30,8,accuracy,0.7006802721088435,0.7108843537414966,0.7006802721088435,0.7108843537414966,1,True,False,,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split
FOREX_audcad-hour-High,/home/crc00006699/zh/tabiclv2/data172/FOREX_audcad-hour-High,binclass,35060,7012,8765,10,2,0.7066742726754136,0.7067119788815767,0.7065792368589261,0.7747728037101389,0.58176555545767,1744.8573219776154,16.862645149230957,ok,,35060,28048,0,8765,0.484932541847229,3740,5e-06,True,1727.6235344409945,30,187,accuracy,0.7067883628066173,0.713063320022818,0.7067883628066173,0.713063320022818,12,True,False,,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split
FOREX_audchf-day-High,/home/crc00006699/zh/tabiclv2/data172/FOREX_audchf-day-High,binclass,1466,294,367,10,2,0.7465940054495913,0.7465940054495913,0.7467326085665063,0.8221944989009684,0.5250750530006002,34.30169653892517,0.2547063827514648,ok,,1466,1172,0,367,0.638582706451416,80,5e-06,True,33.850879430770874,30,8,accuracy,0.7108843537414966,0.7210884353741497,0.7108843537414966,0.7210884353741497,2,True,False,,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split
FOREX_audjpy-day-High,/home/crc00006699/zh/tabiclv2/data172/FOREX_audjpy-day-High,binclass,1465,293,367,10,2,0.773841961852861,0.7716267445072332,0.7711045716663694,0.8514654301171155,0.5001249448702797,46.87231278419495,0.2498054504394531,ok,,1465,1172,0,367,0.6040972471237183,112,5e-06,True,46.40747618675232,30,8,accuracy,0.7474402730375427,0.7713310580204779,0.7474402730375427,0.7713310580204779,6,True,False,,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split
FOREX_audjpy-hour-High,/home/crc00006699/zh/tabiclv2/data172/FOREX_audjpy-hour-High,binclass,35060,7012,8765,10,2,0.7042783799201369,0.7043444511108213,0.7044230620708287,0.7754314265443758,0.5787722923023028,2349.135861158371,15.68073272705078,ok,,35060,28048,0,8765,0.5307682752609253,5236,5e-06,True,2333.0894832611084,30,187,accuracy,0.6759840273816314,0.6966628636622932,0.6759840273816314,0.6966628636622932,20,True,False,,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split
FOREX_audsgd-hour-High,/home/crc00006699/zh/tabiclv2/data172/FOREX_audsgd-hour-High,binclass,35060,7012,8765,10,2,0.6944666286366229,0.6945146650830238,0.6948677133204263,0.7553406710824065,0.5911336881562314,2637.531101703644,16.111948251724243,ok,,35060,28048,0,8765,0.6054326295852661,5610,5e-06,True,2621.0364224910736,30,187,accuracy,0.651312036508842,0.6982316029663435,0.651312036508842,0.6982316029663435,30,False,False,,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split
FOREX_audusd-hour-High,/home/crc00006699/zh/tabiclv2/data172/FOREX_audusd-hour-High,binclass,35060,7012,8765,10,2,0.6907016543069024,0.6908795294972171,0.6903387831923626,0.7601039679991072,0.5819014726645001,2555.4806005954742,15.568819522857666,ok,,35060,28048,0,8765,0.5794228315353394,5610,5e-06,True,2539.5426149368286,30,187,accuracy,0.6430405019965773,0.6922418710781517,0.6430405019965773,0.6922418710781517,29,False,False,,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split
FOREX_cadjpy-day-High,/home/crc00006699/zh/tabiclv2/data172/FOREX_cadjpy-day-High,binclass,1467,294,367,10,2,0.7084468664850136,0.7078569633190047,0.7085709194583036,0.7662152530292231,0.5816112781702162,38.48873329162598,0.2502796649932861,ok,,1467,1173,0,367,0.6241804957389832,88,5e-06,True,38.01542115211487,30,8,accuracy,0.7040816326530612,0.7210884353741497,0.7040816326530612,0.7210884353741497,3,True,False,,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split
FOREX_cadjpy-hour-High,/home/crc00006699/zh/tabiclv2/data172/FOREX_cadjpy-hour-High,binclass,35060,7012,8765,10,2,0.6927552766685682,0.6919893988207869,0.6948962699773858,0.759384774557818,0.5926349876336895,1303.688503742218,15.634421825408936,ok,,35060,28048,0,8765,0.6021308898925781,2805,5e-06,True,1287.661037683487,30,187,accuracy,0.6697090701654307,0.6979463776383343,0.6697090701654307,0.6979463776383343,7,True,False,,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split
Firm-Teacher_Clave-Direction_Classification,/home/crc00006699/zh/tabiclv2/data172/Firm-Teacher_Clave-Direction_Classification,multiclass,8640,1728,2160,16,4,0.8398148148148148,0.8254759727523263,0.6201082276359211,0.9543225085039196,0.3949709621239549,178.526123046875,1.6721651554107666,ok,,8640,6912,0,2160,0.5751215219497681,374,5e-06,True,176.62712812423706,30,47,accuracy,0.8454861111111112,0.8454861111111112,0.8454861111111112,0.8454861111111112,0,True,False,,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split
