dataset_name,dataset_dir,task_type,n_train,n_val,n_test,n_features,n_classes,accuracy,f1,balanced_accuracy,roc_auc,log_loss,fit_seconds,predict_seconds,status,error,n_train_a,n_train_b,n_holdout_c,n_test_d,ttt_loss,ttt_l2_sp_lambda,ttt_l2_sp_loss,ttt_ce_loss,ttt_total_loss,ttt_steps,ttt_lr,ttt_applied,ttt_update_seconds,ttt_split_strategy,ttt_split_reason,ttt_epochs,ttt_chunks_per_epoch,ttt_batch_mode,ttt_val_eval_metric,ttt_val_baseline_metric,ttt_val_best_metric,ttt_val_baseline_accuracy,ttt_val_best_accuracy,ttt_best_epoch,ttt_stopped_early,ttt_oom_fallback,ttt_fallback_reason
mfeat-fourier,/home/crc00006699/zh/tabiclv2/decrease_dataset/mfeat-fourier,multiclass,1600,320,400,76,10,0.92,0.919276344013186,0.92,0.9954444444444444,0.2072447989267578,38.34061098098755,2.2901058197021484,ok,,1600,1280,0,400,0.2011974081397056,0.0001,0.059135477989912,0.2011914923787117,0.2011974081397056,21,1e-05,True,38.014392375946045,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.90625,0.915625,0.90625,0.915625,13,True,False,
mobile_c36_oversampling,/home/crc00006699/zh/tabiclv2/decrease_dataset/mobile_c36_oversampling,binclass,41408,8282,10352,6,2,0.9940108191653788,0.9940049835225144,0.9927696379874408,0.9993873250852628,0.0228135791327752,92.25637125968932,41.71100616455078,ok,,41408,33126,0,10352,0.0520381480455398,0.0001,0.1404640674591064,0.0520240999758243,0.0520381480455398,48,1e-05,True,91.96939468383788,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,4,epoch_chunk,accuracy,0.9942042984786283,0.9949287611687998,0.9942042984786283,0.9949287611687998,4,True,False,
pc4,/home/crc00006699/zh/tabiclv2/decrease_dataset/pc4,binclass,1166,234,292,37,2,0.9075342465753424,0.9045311583625552,0.7562934027777778,0.9623480902777778,0.2003573619293501,25.30332350730896,1.776036262512207,ok,,1166,932,0,292,0.1267676241695881,0.0001,0.0437352433800697,0.1267632469534874,0.1267676241695881,16,1e-05,True,25.181594133377075,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.9188034188034188,0.9273504273504274,0.9188034188034188,0.9273504273504274,8,True,False,
pol,/home/crc00006699/zh/tabiclv2/decrease_dataset/pol,binclass,8065,1613,2017,26,2,0.9940505701536936,0.9940505672289106,0.9940510602985826,0.9997551795743074,0.0208126549885194,8.407292604446411,7.861371040344238,ok,,8065,6452,0,2017,,0.0001,,,,0,1e-05,False,6.913957118988037,full_train_epoch_chunks,"full train set chunked per epoch | validation=dataset_val_split | TTT OOM; used original model parameters for inference: OutOfMemoryError: CUDA out of memory. Tried to allocate 808.00 MiB. GPU 0 has a total capacity of 23.57 GiB of which 695.38 MiB is free. Process 73754 has 3.10 GiB memory in use. Process 96281 has 12.58 GiB memory in use. Process 1755 has 7.18 GiB memory in use. Of the allocated memory 5.51 GiB is allocated by PyTorch, and 1.35 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation. See documentation for Memory Management (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",0,0,,,,,,,0,False,True,"TTT OOM; used original model parameters for inference: OutOfMemoryError: CUDA out of memory. Tried to allocate 808.00 MiB. GPU 0 has a total capacity of 23.57 GiB of which 695.38 MiB is free. Process 73754 has 3.10 GiB memory in use. Process 96281 has 12.58 GiB memory in use. Process 1755 has 7.18 GiB memory in use. Of the allocated memory 5.51 GiB is allocated by PyTorch, and 1.35 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation. See documentation for Memory Management (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)"
predict_students_dropout_and_academic_success,/home/crc00006699/zh/tabiclv2/decrease_dataset/predict_students_dropout_and_academic_success,multiclass,3539,708,885,34,3,0.784180790960452,0.7794576833420611,0.7129971553616642,0.8937000467739601,0.5516342522167802,27.61020064353943,3.05515193939209,ok,,3539,2831,0,885,0.5441630184650421,0.0001,0.0341517329216003,0.5441596210002899,0.5441630184650421,14,1e-05,True,27.285460710525516,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.8036723163841808,0.806497175141243,0.8036723163841808,0.806497175141243,6,True,False,
rice_cammeo_and_osmancik,/home/crc00006699/zh/tabiclv2/decrease_dataset/rice_cammeo_and_osmancik,binclass,3048,610,762,7,2,0.9304461942257218,0.930143932752019,0.925289863229583,0.978464287724433,0.1857178878880844,20.38650393486023,2.227252721786499,ok,,3048,2438,0,762,0.1621734946966171,0.0001,0.0228013470768928,0.1621712148189544,0.1621734946966171,12,1e-05,True,20.332514762878414,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.9295081967213116,0.9344262295081968,0.9295081967213116,0.9344262295081968,4,True,False,
ringnorm,/home/crc00006699/zh/tabiclv2/decrease_dataset/ringnorm,binclass,5920,1184,1480,20,2,0.9783783783783784,0.9783745075281124,0.9782869540919475,0.9971710397752904,0.0605127676014534,28.291741847991943,3.64833402633667,ok,,5920,4736,0,1480,0.046720266342163,0.0001,0.0277779716998338,0.0467174872756004,0.046720266342163,12,1e-05,True,27.9753201007843,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.981418918918919,0.983108108108108,0.981418918918919,0.983108108108108,4,True,False,
segment,/home/crc00006699/zh/tabiclv2/decrease_dataset/segment,multiclass,1848,370,462,17,7,0.9545454545454546,0.9545478826122294,0.9545454545454544,0.9972014517469064,0.1378838675916211,10.749404668807983,1.5300981998443604,ok,,1848,1478,0,462,0.1191734671592712,0.0001,0.0146958455443382,0.1191719993948936,0.1191734671592712,10,1e-05,True,10.683920860290527,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.9486486486486486,0.954054054054054,0.9486486486486486,0.954054054054054,2,True,False,
shill-bidding,/home/crc00006699/zh/tabiclv2/decrease_dataset/shill-bidding,binclass,5056,1012,1265,3,2,0.8371541501976285,0.8557639478029698,0.7317225654604296,0.8778852068790286,0.2675900406007144,19.097248077392575,0.8346817493438721,ok,,5056,4044,0,1265,0.2262421548366546,0.0001,0.0115179987624287,0.2262410074472427,0.2262421548366546,13,1e-05,True,19.03940224647522,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.8893280632411067,0.8903162055335968,0.8893280632411067,0.8903162055335968,5,True,False,
shrutime,/home/crc00006699/zh/tabiclv2/decrease_dataset/shrutime,binclass,8000,1600,2000,10,2,0.868,0.8557838780480471,0.7185029802256273,0.8796765879614235,0.309470286409444,38.44347381591797,5.733888387680054,ok,,8000,6400,0,2000,0.3385589122772217,0.0001,0.0356888733804225,0.3385553359985351,0.3385589122772217,17,1e-05,True,38.31683349609375,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.8625,0.868125,0.8625,0.868125,9,True,False,
splice,/home/crc00006699/zh/tabiclv2/decrease_dataset/splice,multiclass,2552,511,638,60,3,0.9592476489028212,0.959210519048096,0.9517119368727686,0.9968627562299854,0.0963728978078284,34.86603021621704,3.884233474731445,ok,,2552,2041,0,638,0.0949645787477493,0.0001,0.0377163402736187,0.0949608087539672,0.0949645787477493,15,1e-05,True,34.48958468437195,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.9686888454011742,0.9726027397260274,0.9686888454011742,0.9726027397260274,7,True,False,
water_quality,/home/crc00006699/zh/tabiclv2/decrease_dataset/water_quality,binclass,6396,1280,1600,20,2,0.91,0.8992994505494505,0.6858134813000821,0.9123455881213288,0.2140087859792815,36.49477219581604,5.744922161102295,ok,,6396,5116,0,1600,0.2341480255126953,0.0001,0.0560394637286663,0.2341424226760864,0.2341480255126953,18,1e-05,True,36.378416776657104,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.89609375,0.9,0.89609375,0.9,10,True,False,
waveform_database_generator_version_1,/home/crc00006699/zh/tabiclv2/decrease_dataset/waveform_database_generator_version_1,multiclass,4000,800,1000,21,3,0.868,0.867547206914667,0.8678933755122525,0.97278238319063,0.2936574045786359,38.124842405319214,4.292914867401123,ok,,4000,3200,0,1000,0.2595458030700683,0.0001,0.048511266708374,0.2595409452915191,0.2595458030700683,20,1e-05,True,37.98913931846619,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.85625,0.8625,0.85625,0.8625,12,True,False,
wine,/home/crc00006699/zh/tabiclv2/decrease_dataset/wine,binclass,2043,409,511,4,2,0.7788649706457925,0.7779671571723652,0.7789905024509804,0.882375919117647,0.4313193573052338,16.01355218887329,0.4628043174743652,ok,,2043,1634,0,511,0.4607264548540115,0.0001,0.0251581370830535,0.4607239514589309,0.4607264548540115,12,1e-05,True,15.979872703552246,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.823960880195599,0.8264058679706602,0.823960880195599,0.8264058679706602,4,True,False,
wine-quality-red,/home/crc00006699/zh/tabiclv2/decrease_dataset/wine-quality-red,multiclass,1279,256,320,4,6,0.675,0.6598341154078093,0.3876940359477124,0.8430126282626902,0.8022122456071804,10.934285163879396,1.408393383026123,ok,,1279,1023,0,320,0.7881563901901245,0.0001,0.0264324229210615,0.7881537675857544,0.7881563901901245,12,1e-05,True,10.896633386611938,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.6484375,0.65234375,0.6484375,0.65234375,4,True,False,
