dataset_name,dataset_dir,task_type,n_train,n_val,n_test,n_features,n_classes,accuracy,f1,balanced_accuracy,roc_auc,log_loss,fit_seconds,predict_seconds,status,error,n_train_a,n_train_b,n_holdout_c,n_test_d,ttt_loss,ttt_wise_ft,ttt_wise_alpha,ttt_wise_applied,ttt_steps,ttt_lr,ttt_applied,ttt_update_seconds,ttt_split_strategy,ttt_split_reason,ttt_epochs,ttt_chunks_per_epoch,ttt_batch_mode,ttt_val_eval_metric,ttt_val_baseline_metric,ttt_val_best_metric,ttt_val_baseline_accuracy,ttt_val_best_accuracy,ttt_best_epoch,ttt_stopped_early,ttt_oom_fallback,ttt_fallback_reason,ttt_c_selection,ttt_c_source,ttt_c_metric,ttt_c_f_distance_mean,ttt_c_f_distance_std,ttt_c_fallback_reason,ttt_c_label_coverage_ok
FOREX_audchf-day-High,/home/crc00006699/zh/tabiclv2/data184/FOREX_audchf-day-High,binclass,1466,294,367,10,2,0.7520435967302452,0.752017822593216,0.7522574704449594,0.8404473355908036,0.49581346908906687,5.794851064682007,0.5029134750366211,ok,,1466,1172,0,367,0.5296081900596619,True,0.1,True,16,1e-05,True,5.759206771850586,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | c_selection=f_mmd c_source=test c_metric=standardized_l2 | f_mmd_reserved_context=5% source=test | wise_ft=alpha0.1 rows=1833<2000,30,1,epoch_chunk,accuracy,0.6972789115646258,0.7278911564625851,0.6972789115646258,0.7278911564625851,8,True,False,,f_mmd,test,standardized_l2,4.134880364480623,0.7823959004217242,,True
FOREX_audjpy-hour-High,/home/crc00006699/zh/tabiclv2/data184/FOREX_audjpy-hour-High,binclass,35060,7012,8765,10,2,0.7223046206503138,0.7223172314558788,0.7221023446019685,0.8017992482573624,0.5389598197886117,54.597227811813354,24.367626905441284,ok,,35060,28048,0,8765,0.5533594191074371,True,0.1,False,45,1e-05,True,54.326844453811646,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | c_selection=f_mmd c_source=test c_metric=standardized_l2 | f_mmd_reserved_context=5% source=test | wise_ft_skipped rows=43825>=2000,30,3,epoch_chunk,accuracy,0.7136337706788363,0.7166286366229321,0.7136337706788363,0.7166286366229321,7,True,False,,f_mmd,test,standardized_l2,5.089266052391651,6.349091081745396,,True
FOREX_audusd-hour-High,/home/crc00006699/zh/tabiclv2/data184/FOREX_audusd-hour-High,binclass,35060,7012,8765,10,2,0.7080433542498574,0.7079228629620823,0.706643242900374,0.7885401175800197,0.5525969221993433,108.91586256027222,24.314420223236084,ok,,35060,28048,0,8765,0.5335427522659302,True,0.1,False,90,1e-05,True,108.58742046356201,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | c_selection=f_mmd c_source=test c_metric=standardized_l2 | f_mmd_reserved_context=5% source=test | wise_ft_skipped rows=43825>=2000,30,3,epoch_chunk,accuracy,0.7042213348545351,0.7176269252709641,0.7042213348545351,0.7176269252709641,24,False,False,,f_mmd,test,standardized_l2,4.531512580978124,3.440223443204409,,True
FOREX_cadjpy-hour-High,/home/crc00006699/zh/tabiclv2/data184/FOREX_cadjpy-hour-High,binclass,35060,7012,8765,10,2,0.7139760410724473,0.7140104771729698,0.7137454518118047,0.7909043430407573,0.5528789373296243,54.8040132522583,24.368603944778442,ok,,35060,28048,0,8765,0.5572434961795807,True,0.1,False,45,1e-05,True,54.52166390419006,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | c_selection=f_mmd c_source=test c_metric=standardized_l2 | f_mmd_reserved_context=5% source=test | wise_ft_skipped rows=43825>=2000,30,3,epoch_chunk,accuracy,0.713063320022818,0.7166286366229321,0.713063320022818,0.7166286366229321,7,True,False,,f_mmd,test,standardized_l2,5.198503829667066,5.089079415366325,,True
Fitness_Club_c,/home/crc00006699/zh/tabiclv2/data184/Fitness_Club_c,binclass,1200,240,300,6,2,0.8033333333333333,0.7961465279630122,0.7378673957621326,0.8225458751774541,0.45435447734717643,4.522816181182861,0.323030948638916,ok,,1200,960,0,300,0.4718550443649292,True,0.1,True,12,1e-05,True,4.488667726516724,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | c_selection=f_mmd c_source=test c_metric=standardized_l2 | f_mmd_reserved_context=5% source=test | wise_ft=alpha0.1 rows=1500<2000,30,1,epoch_chunk,accuracy,0.7666666666666667,0.775,0.7666666666666667,0.775,4,True,False,,f_mmd,test,standardized_l2,3.6226329049964088,1.7583273291903965,,True
GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM-2_001,/home/crc00006699/zh/tabiclv2/data184/GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM-2_001,binclass,1280,256,320,20,2,0.68125,0.6810506566604128,0.68125,0.7580078124999999,0.573896793109674,4.1680073738098145,0.5393662452697754,ok,,1280,1024,0,320,0.4807535409927368,True,0.1,True,8,1e-05,True,4.108508825302124,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | c_selection=f_mmd c_source=test c_metric=standardized_l2 | f_mmd_reserved_context=5% source=test | wise_ft=alpha0.1 rows=1600<2000,30,1,epoch_chunk,accuracy,0.68359375,0.68359375,0.68359375,0.68359375,0,True,False,,f_mmd,test,standardized_l2,2.80196601154119,0.5769098553408307,,True
GesturePhaseSegmentationProcessed,/home/crc00006699/zh/tabiclv2/data184/GesturePhaseSegmentationProcessed,multiclass,7898,1580,1975,32,5,0.8415189873417721,0.8409024737403173,0.8244615512673523,0.9716144382717937,0.4406845303489241,28.04865336418152,4.135475158691406,ok,,7898,6318,0,1975,0.604706883430481,True,0.1,False,21,1e-05,True,27.828134775161743,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | c_selection=f_mmd c_source=test c_metric=standardized_l2 | f_mmd_reserved_context=5% source=test | wise_ft_skipped rows=9873>=2000,30,1,epoch_chunk,accuracy,0.7803797468354431,0.8094936708860759,0.7803797468354431,0.8094936708860759,13,True,False,,f_mmd,test,standardized_l2,8.950639236500637,6.886046474480635,,True
Heart-Disease-Dataset-(Comprehensive),/home/crc00006699/zh/tabiclv2/data184/Heart-Disease-Dataset-(Comprehensive),binclass,952,191,238,11,2,0.9537815126050421,0.9536614172576187,0.9511664407505172,0.9830919597631448,0.1521415118434778,3.233405351638794,0.7758979797363281,ok,,952,761,0,238,0.2527061104774475,True,0.1,True,8,1e-05,True,3.2019524574279785,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | c_selection=f_mmd c_source=test c_metric=standardized_l2 | f_mmd_reserved_context=5% source=test | wise_ft=alpha0.1 rows=1190<2000,30,1,epoch_chunk,accuracy,0.9109947643979057,0.9109947643979057,0.9109947643979057,0.9109947643979057,0,True,False,,f_mmd,test,standardized_l2,2.5050201986315566,0.7008210997003148,,True
Insurance,/home/crc00006699/zh/tabiclv2/data184/Insurance,binclass,18838,3768,4710,10,2,0.7575371549893843,0.6530303380048618,0.5,0.4995726019570732,0.5559471030015984,16.188310384750366,8.952754974365234,ok,,18838,15070,0,4710,0.5607541799545288,True,0.1,False,16,1e-05,True,15.987735271453857,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | c_selection=f_mmd c_source=test c_metric=standardized_l2 | f_mmd_reserved_context=5% source=test | wise_ft_skipped rows=23548>=2000,30,2,epoch_chunk,accuracy,0.7579617834394905,0.7579617834394905,0.7579617834394905,0.7579617834394905,0,True,False,,f_mmd,test,standardized_l2,2.527252546147456,0.3423164239347711,,True
Is-this-a-good-customer,/home/crc00006699/zh/tabiclv2/data184/Is-this-a-good-customer,binclass,1378,276,345,13,2,0.881159420289855,0.8282083919519438,0.49836065573770494,0.7390163934426229,0.3256844290727039,3.8117222785949707,0.48897790908813477,ok,,1378,1102,0,345,0.3676595836877823,True,0.1,True,8,1e-05,True,3.768411636352539,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | c_selection=f_mmd c_source=test c_metric=standardized_l2 | f_mmd_reserved_context=5% source=test | wise_ft=alpha0.1 rows=1723<2000,30,1,epoch_chunk,accuracy,0.9130434782608695,0.9130434782608695,0.9130434782608695,0.9130434782608695,0,True,False,,f_mmd,test,standardized_l2,3.3798427330960905,3.1452585709159706,,True
KDD,/home/crc00006699/zh/tabiclv2/data184/KDD,binclass,4025,805,1007,45,2,0.8063555114200596,0.8056626196247347,0.8071823095435358,0.9061230125853159,0.3683104858130494,8.313275575637817,2.3305907249450684,ok,,4025,3220,0,1007,0.38427498936653137,True,0.1,False,8,1e-05,True,8.125374555587769,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | c_selection=f_mmd c_source=test c_metric=standardized_l2 | f_mmd_reserved_context=5% source=test | wise_ft_skipped rows=5032>=2000,30,1,epoch_chunk,accuracy,0.8111801242236025,0.8111801242236025,0.8111801242236025,0.8111801242236025,0,True,False,,f_mmd,test,standardized_l2,7.59935332944652,16.051517797129183,,True
Long,/home/crc00006699/zh/tabiclv2/data184/Long,binclass,3581,717,896,19,2,0.9944196428571429,0.9944294891772115,0.9949162312654843,0.9998957490126817,0.013304767659154686,4.775632858276367,1.3548860549926758,ok,,3581,2864,0,896,0.010772323235869408,True,0.1,False,8,1e-05,True,4.7040510177612305,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | c_selection=f_mmd c_source=test c_metric=standardized_l2 | f_mmd_reserved_context=5% source=test | wise_ft_skipped rows=4477>=2000,30,1,epoch_chunk,accuracy,0.9944211994421199,0.9944211994421199,0.9944211994421199,0.9944211994421199,0,True,False,,f_mmd,test,standardized_l2,7.3699055922994745,18.074806337481736,,True
