dataset_name,dataset_dir,task_type,n_train,n_val,n_test,n_features,n_classes,accuracy,f1,balanced_accuracy,roc_auc,log_loss,fit_seconds,predict_seconds,status,error,n_train_a,n_train_b,n_holdout_c,n_test_d,ttt_loss,ttt_steps,ttt_lr,ttt_applied,ttt_update_seconds,ttt_split_strategy,ttt_split_reason,ttt_epochs,ttt_chunks_per_epoch,ttt_batch_mode,ttt_val_eval_metric,ttt_val_baseline_metric,ttt_val_best_metric,ttt_val_baseline_accuracy,ttt_val_best_accuracy,ttt_best_epoch,ttt_stopped_early,ttt_oom_fallback,ttt_fallback_reason,ttt_c_selection,ttt_c_source,ttt_c_metric,ttt_c_reserve_ratio,ttt_c_f_distance_mean,ttt_c_f_distance_std,ttt_c_fallback_reason,ttt_c_label_coverage_ok
stage2_graph_scm_0126_seed42,/home/crc00006699/zh/tabiclv2/results/tabiclv2_prior_data/graph_scm_3stage_512_seed42/stage2_graph_scm_0126_seed42,multiclass,881,0,222,25,4,0.9324324324324325,0.9290239134373671,0.896969696969697,0.9780243060864053,0.2034000339382459,13.582887172698975,0.48392701148986816,ok,,881,881,0,222,,30,1e-05,True,13.582484483718872,tabpfn_finetune_epoch_chunks_f_mmd,internal validation_split_ratio=0.1 | c_selection=f_mmd | c_source=test | c_metric=standardized_l2 | c_reserve_ratio=0.1124055414,30,1,tabpfn_finetuning_api_f_mmd,acc,0.9090909090909091,0.9204545454545454,,,2,True,False,,f_mmd,test,standardized_l2,0.1124055414,2.302045221320744,0.5872133933421704,,True
stage2_graph_scm_0127_seed42,/home/crc00006699/zh/tabiclv2/results/tabiclv2_prior_data/graph_scm_3stage_512_seed42/stage2_graph_scm_0127_seed42,multiclass,745,0,183,77,7,0.5901639344262295,0.5800699343893786,0.5331082461903212,0.8649682114141449,1.1849593046385105,20.292125463485718,0.973090648651123,ok,,745,745,0,183,,30,1e-05,True,20.291747093200684,tabpfn_finetune_epoch_chunks_f_mmd,internal validation_split_ratio=0.1 | c_selection=f_mmd | c_source=test | c_metric=standardized_l2 | c_reserve_ratio=0.1124055414,30,1,tabpfn_finetuning_api_f_mmd,acc,0.5,0.5945945945945946,,,4,True,False,,f_mmd,test,standardized_l2,0.1124055414,3.42317756698003,0.7471496068980485,,True
stage2_graph_scm_0128_seed42,/home/crc00006699/zh/tabiclv2/results/tabiclv2_prior_data/graph_scm_3stage_512_seed42/stage2_graph_scm_0128_seed42,binclass,859,0,219,58,2,1.0,1.0,1.0,1.0,0.0015390244745621827,28.08014464378357,3.368137836456299,ok,,859,859,0,219,,30,1e-05,True,27.892112970352173,tabpfn_finetune_epoch_chunks_f_mmd,internal validation_split_ratio=0.1 | c_selection=f_mmd | c_source=test | c_metric=standardized_l2 | c_reserve_ratio=0.1124055414,30,1,tabpfn_finetuning_api_f_mmd,acc,1.0,1.0,,,0,True,False,,f_mmd,test,standardized_l2,0.1124055414,2.4261401384085506,2.171553131221099,,True
stage2_graph_scm_0129_seed42,/home/crc00006699/zh/tabiclv2/results/tabiclv2_prior_data/graph_scm_3stage_512_seed42/stage2_graph_scm_0129_seed42,multiclass,958,0,244,13,3,0.7377049180327869,0.6855984380539589,0.5864753857888869,0.8452386770860327,0.6753636384958104,10.403256177902222,0.439805269241333,ok,,958,958,0,244,,30,1e-05,True,10.402819633483887,tabpfn_finetune_epoch_chunks_f_mmd,internal validation_split_ratio=0.1 | c_selection=f_mmd | c_source=test | c_metric=standardized_l2 | c_reserve_ratio=0.1124055414,30,1,tabpfn_finetuning_api_f_mmd,acc,0.7157894736842105,0.7157894736842105,,,0,True,False,,f_mmd,test,standardized_l2,0.1124055414,2.201263538068379,0.27340691615773693,,True
stage2_graph_scm_0130_seed42,/home/crc00006699/zh/tabiclv2/results/tabiclv2_prior_data/graph_scm_3stage_512_seed42/stage2_graph_scm_0130_seed42,binclass,4711,0,1132,52,2,1.0,1.0,1.0,1.0,1.3150921061673652e-05,14.513313293457031,1.585928201675415,ok,,4711,4711,0,1132,,30,1e-05,True,14.5129075050354,tabpfn_finetune_epoch_chunks_f_mmd,internal validation_split_ratio=0.1 | c_selection=f_mmd | c_source=test | c_metric=standardized_l2 | c_reserve_ratio=0.1124055414,30,1,tabpfn_finetuning_api_f_mmd,acc,1.0,1.0,,,0,True,False,,f_mmd,test,standardized_l2,0.1124055414,6.277762919067174,3.5911282570435272,,True
stage2_graph_scm_0131_seed42,/home/crc00006699/zh/tabiclv2/results/tabiclv2_prior_data/graph_scm_3stage_512_seed42/stage2_graph_scm_0131_seed42,multiclass,2745,0,716,88,4,0.7122905027932961,0.6759300499716614,0.5028543230965865,0.8438303700973957,0.7647715787794438,21.823683500289917,1.7698118686676025,ok,,2745,2745,0,716,,30,1e-05,True,21.823295831680298,tabpfn_finetune_epoch_chunks_f_mmd,internal validation_split_ratio=0.1 | c_selection=f_mmd | c_source=test | c_metric=standardized_l2 | c_reserve_ratio=0.1124055414,30,1,tabpfn_finetuning_api_f_mmd,acc,0.6715328467153284,0.6861313868613139,,,3,True,False,,f_mmd,test,standardized_l2,0.1124055414,1.7974974261691865,1.654031090853193,,True
stage2_graph_scm_0132_seed42,/home/crc00006699/zh/tabiclv2/results/tabiclv2_prior_data/graph_scm_3stage_512_seed42/stage2_graph_scm_0132_seed42,multiclass,522,0,132,24,7,0.9696969696969697,0.969656020621672,0.9768183135323095,0.9994486643436868,0.09018425447687295,7.544431924819946,0.44814491271972656,ok,,522,522,0,132,,30,1e-05,True,7.544071674346924,tabpfn_finetune_epoch_chunks_f_mmd,internal validation_split_ratio=0.1 | c_selection=f_mmd | c_source=test | c_metric=standardized_l2 | c_reserve_ratio=0.1124055414,30,1,tabpfn_finetuning_api_f_mmd,acc,1.0,1.0,,,0,True,False,,f_mmd,test,standardized_l2,0.1124055414,4.233930374077323,1.8469439343118383,,True
stage2_graph_scm_0133_seed42,/home/crc00006699/zh/tabiclv2/results/tabiclv2_prior_data/graph_scm_3stage_512_seed42/stage2_graph_scm_0133_seed42,multiclass,4702,0,1248,27,10,0.45753205128205127,0.3876674888997771,0.2202065683436892,0.8230547002127819,1.4013999512810078,34.94267511367798,1.0966801643371582,ok,,4702,4702,0,1248,,30,1e-05,True,34.942246437072754,tabpfn_finetune_epoch_chunks_f_mmd,internal validation_split_ratio=0.1 | c_selection=f_mmd | c_source=test | c_metric=standardized_l2 | c_reserve_ratio=0.1124055414,30,1,tabpfn_finetuning_api_f_mmd,acc,0.4319148936170213,0.474468085106383,,,19,True,False,,f_mmd,test,standardized_l2,0.1124055414,2.807117629885504,2.8929832575155534,,True
stage2_graph_scm_0134_seed42,/home/crc00006699/zh/tabiclv2/results/tabiclv2_prior_data/graph_scm_3stage_512_seed42/stage2_graph_scm_0134_seed42,multiclass,949,0,235,46,3,0.8553191489361702,0.8174055829228243,0.4615384615384615,0.9131147197230146,0.3064994885504374,12.026863813400269,0.4703202247619629,ok,,949,949,0,235,,30,1e-05,True,12.026460886001587,tabpfn_finetune_epoch_chunks_f_mmd,internal validation_split_ratio=0.1 | c_selection=f_mmd | c_source=test | c_metric=standardized_l2 | c_reserve_ratio=0.1124055414,30,1,tabpfn_finetuning_api_f_mmd,acc,0.8723404255319149,0.8936170212765957,,,3,True,False,,f_mmd,test,standardized_l2,0.1124055414,3.3577661864794592,2.768296752911033,,True
stage2_graph_scm_0135_seed42,/home/crc00006699/zh/tabiclv2/results/tabiclv2_prior_data/graph_scm_3stage_512_seed42/stage2_graph_scm_0135_seed42,multiclass,430,0,107,56,7,0.5233644859813084,0.43251420716658917,0.3178667262969589,0.7219420285065301,1.4206187484797563,11.97775650024414,0.4540386199951172,ok,,430,430,0,107,,30,1e-05,True,11.977355003356934,tabpfn_finetune_epoch_chunks_f_mmd,internal validation_split_ratio=0.1 | c_selection=f_mmd | c_source=test | c_metric=standardized_l2 | c_reserve_ratio=0.1124055414,30,1,tabpfn_finetuning_api_f_mmd,acc,0.37209302325581395,0.46511627906976744,,,4,True,False,,f_mmd,test,standardized_l2,0.1124055414,1.5425517230742685,0.07796478876343914,,True
