model,comparison,left_method,right_method,dataset_name,stage,metric,left_value,right_value,delta
tabicl-v2,ft_minus_infer,ft,infer,stage1_graph_scm_0062_seed42,stage1,accuracy,1.0,1.0,0.0
tabicl-v2,ft_minus_infer,ft,infer,stage1_graph_scm_0063_seed42,stage1,accuracy,0.9871589085072231,0.9871589085072232,-1.1102230246251565e-16
tabicl-v2,ft_minus_infer,ft,infer,stage1_graph_scm_0064_seed42,stage1,accuracy,0.9915254237288136,0.9915254237288136,0.0
tabicl-v2,ft_minus_infer,ft,infer,stage1_graph_scm_0065_seed42,stage1,accuracy,0.8728813559322034,0.8728813559322034,0.0
tabicl-v2,ft_minus_infer,ft,infer,stage1_graph_scm_0066_seed42,stage1,accuracy,0.9936440677966102,0.9936440677966102,0.0
tabicl-v2,ft_minus_infer,ft,infer,stage1_graph_scm_0067_seed42,stage1,accuracy,0.989406779661017,0.989406779661017,0.0
tabicl-v2,ft_minus_infer,ft,infer,stage1_graph_scm_0068_seed42,stage1,accuracy,0.7263681592039801,0.7263681592039801,0.0
tabicl-v2,ft_minus_infer,ft,infer,stage1_graph_scm_0069_seed42,stage1,accuracy,1.0,1.0,0.0
tabicl-v2,ft_minus_infer,ft,infer,stage1_graph_scm_0070_seed42,stage1,accuracy,0.9402985074626866,0.9402985074626866,0.0
tabicl-v2,ft_minus_infer,ft,infer,stage1_graph_scm_0071_seed42,stage1,accuracy,0.9154228855721394,0.9154228855721394,0.0
tabicl-v2,ft_minus_infer,ft,infer,stage1_graph_scm_0072_seed42,stage1,accuracy,0.6774668630338734,0.6730486008836525,0.004418262150220897
tabicl-v2,ft_minus_infer,ft,infer,stage1_graph_scm_0073_seed42,stage1,accuracy,0.47128129602356406,0.471281296023564,5.551115123125783e-17
tabicl-v2,ft_minus_infer,ft,infer,stage1_graph_scm_0074_seed42,stage1,accuracy,0.9823269513991163,0.9823269513991164,-1.1102230246251565e-16
tabicl-v2,ft_minus_infer,ft,infer,stage1_graph_scm_0075_seed42,stage1,accuracy,0.4698085419734904,0.4698085419734904,0.0
tabicl-v2,ft_minus_infer,ft,infer,stage1_graph_scm_0076_seed42,stage1,accuracy,0.5295138888888888,0.53125,-0.0017361111111111605
tabicl-v2,ft_minus_infer,ft,infer,stage1_graph_scm_0077_seed42,stage1,accuracy,0.2864583333333333,0.2881944444444444,-0.001736111111111105
tabicl-v2,ft_minus_infer,ft,infer,stage1_graph_scm_0078_seed42,stage1,accuracy,0.9184027777777778,0.9184027777777778,0.0
tabicl-v2,ft_minus_infer,ft,infer,stage1_graph_scm_0079_seed42,stage1,accuracy,0.9965277777777778,0.9965277777777778,0.0
tabicl-v2,ft_minus_infer,ft,infer,stage1_graph_scm_0080_seed42,stage1,accuracy,0.8434343434343434,0.8434343434343434,0.0
tabicl-v2,ft_minus_infer,ft,infer,stage1_graph_scm_0081_seed42,stage1,accuracy,0.9116161616161617,0.9090909090909092,0.002525252525252486
tabicl-v2,ft_minus_infer,ft,infer,stage1_graph_scm_0082_seed42,stage1,accuracy,0.7146464646464646,0.7171717171717171,-0.002525252525252486
tabicl-v2,ft_minus_infer,ft,infer,stage1_graph_scm_0083_seed42,stage1,accuracy,0.9747474747474747,0.9747474747474748,-1.1102230246251565e-16
tabicl-v2,ft_minus_infer,ft,infer,stage1_graph_scm_0084_seed42,stage1,accuracy,0.9568480300187617,0.9568480300187616,1.1102230246251565e-16
tabicl-v2,ft_minus_infer,ft,infer,stage1_graph_scm_0085_seed42,stage1,accuracy,0.34896810506566606,0.3470919324577861,0.0018761726078799779
tabicl-v2,ft_minus_infer,ft,infer,stage1_graph_scm_0086_seed42,stage1,accuracy,0.9831144465290806,0.9831144465290806,0.0
tabicl-v2,ft_minus_infer,ft,infer,stage1_graph_scm_0087_seed42,stage1,accuracy,0.40337711069418386,0.4033771106941838,5.551115123125783e-17
tabicl-v2,ft_minus_infer,ft,infer,stage1_graph_scm_0088_seed42,stage1,accuracy,0.3619631901840491,0.3542944785276073,0.0076687116564417845
tabicl-v2,ft_minus_infer,ft,infer,stage1_graph_scm_0089_seed42,stage1,accuracy,0.7147239263803681,0.7147239263803681,0.0
tabicl-v2,ft_minus_infer,ft,infer,stage1_graph_scm_0090_seed42,stage1,accuracy,0.25,0.25,0.0
tabicl-v2,ft_minus_infer,ft,infer,stage1_graph_scm_0091_seed42,stage1,accuracy,0.9570552147239264,0.9570552147239264,0.0
tabicl-v2,ft_minus_infer,ft,infer,stage1_graph_scm_0092_seed42,stage1,accuracy,1.0,1.0,0.0
tabicl-v2,ft_minus_infer,ft,infer,stage1_graph_scm_0093_seed42,stage1,accuracy,0.7804878048780488,0.7804878048780488,0.0
tabicl-v2,ft_minus_infer,ft,infer,stage1_graph_scm_0094_seed42,stage1,accuracy,0.3231707317073171,0.3231707317073171,0.0
tabicl-v2,ft_minus_infer,ft,infer,stage1_graph_scm_0095_seed42,stage1,accuracy,0.5,0.5,0.0
tabicl-v2,ft_minus_infer,ft,infer,stage1_graph_scm_0096_seed42,stage1,accuracy,0.5705521472392638,0.5674846625766872,0.0030674846625766694
tabicl-v2,ft_minus_infer,ft,infer,stage1_graph_scm_0097_seed42,stage1,accuracy,0.9631901840490797,0.9631901840490796,1.1102230246251565e-16
tabicl-v2,ft_minus_infer,ft,infer,stage1_graph_scm_0098_seed42,stage1,accuracy,0.4785276073619632,0.4785276073619632,0.0
tabicl-v2,ft_minus_infer,ft,infer,stage1_graph_scm_0099_seed42,stage1,accuracy,0.9815950920245399,0.98159509202454,-1.1102230246251565e-16
tabicl-v2,ft_minus_infer,ft,infer,stage1_graph_scm_0100_seed42,stage1,accuracy,0.9117647058823529,0.9117647058823528,1.1102230246251565e-16
