model,comparison,left_method,right_method,scope,metric,paired_rows,right_mean,left_mean,delta_mean,delta_pp,bootstrap_ci95_low,bootstrap_ci95_high,bootstrap_ci95_low_pp,bootstrap_ci95_high_pp,wins,losses,ties,negative_transfer_rate
tabicl-v2,faware_ft_minus_ft,faware_ft,ft,stage2,accuracy,171,0.8309703053018968,0.8311201085451103,0.00014980324321367208,0.014980324321367207,-0.0004804835381351323,0.0008583365213487335,-0.04804835381351323,0.08583365213487334,23,20,128,0.11695906432748537
tabicl-v2,faware_ft_minus_ft,faware_ft,ft,stage3,accuracy,170,0.8227077870194401,0.8229777500375612,0.00026996301812119705,0.026996301812119705,-8.363520705580712e-05,0.000662692352604013,-0.008363520705580711,0.06626923526040131,22,26,122,0.15294117647058825
tabicl-v2,faware_ft_minus_ft,faware_ft,ft,overall,balanced_accuracy,512,0.7651969098467535,0.7651589817473567,-3.792809939672949e-05,-0.0037928099396729487,-0.0002998606293280451,0.00021939076542752673,-0.02998606293280451,0.02193907654275267,67,64,381,0.125
tabicl-v2,faware_ft_minus_ft,faware_ft,ft,stage1,balanced_accuracy,171,0.7554592947013178,0.7554775532677649,1.825856644716488e-05,0.001825856644716488,-0.00021918782729965906,0.0002467485593934957,-0.021918782729965905,0.02467485593934957,15,14,142,0.08187134502923976
tabicl-v2,faware_ft_minus_ft,faware_ft,ft,stage2,balanced_accuracy,171,0.7683382051082229,0.7678149335115186,-0.0005232715967041775,-0.05232715967041775,-0.0011504872882931432,3.7680219995372222e-06,-0.11504872882931433,0.00037680219995372223,20,26,125,0.15204678362573099
tabicl-v2,faware_ft_minus_ft,faware_ft,ft,stage3,balanced_accuracy,170,0.7718320316123904,0.7722257847964071,0.00039375318401660967,0.03937531840166097,-1.625680106152135e-05,0.0008817943228856447,-0.001625680106152135,0.08817943228856448,32,24,114,0.1411764705882353
tabpfn-v3,ft_minus_infer,ft,infer,overall,accuracy,512,0.8139014458044543,0.8148429615279678,0.0009415157235134453,0.09415157235134453,0.00021307473587866334,0.0016793556167146058,0.021307473587866336,0.1679355616714606,166,122,224,0.23828125
tabpfn-v3,ft_minus_infer,ft,infer,stage1,accuracy,171,0.7991816790198704,0.801075161340485,0.0018934823206146112,0.18934823206146112,0.0005624828704905929,0.003290310311061434,0.05624828704905929,0.3290310311061434,65,35,71,0.2046783625730994
tabpfn-v3,ft_minus_infer,ft,infer,stage2,accuracy,171,0.8255783535773309,0.826068127102141,0.0004897735248100901,0.04897735248100901,-0.000728492272221219,0.0017090391568618496,-0.0728492272221219,0.17090391568618496,47,42,82,0.24561403508771928
tabpfn-v3,ft_minus_infer,ft,infer,stage3,accuracy,170,0.816962203986819,0.8174005528154734,0.000438348828654471,0.0438348828654471,-0.0006816587433570544,0.00159852158148591,-0.06816587433570544,0.159852158148591,54,45,71,0.2647058823529412
tabpfn-v3,ft_minus_infer,ft,infer,overall,balanced_accuracy,512,0.7549178371866219,0.7567054730534166,0.0017876358667948643,0.17876358667948644,0.0007075699728493895,0.0029030020576589896,0.07075699728493895,0.29030020576589893,181,134,197,0.26171875
tabpfn-v3,ft_minus_infer,ft,infer,stage1,balanced_accuracy,171,0.7446839337638905,0.7480448267947541,0.003360893030863638,0.33608930308636376,0.0014801981707693922,0.005496395950482133,0.14801981707693923,0.5496395950482134,72,37,62,0.21637426900584794
tabpfn-v3,ft_minus_infer,ft,infer,stage2,balanced_accuracy,171,0.7579146056912475,0.7597767590986139,0.0018621534073663775,0.18621534073663776,0.00014872755914926723,0.0038687756427582113,0.014872755914926723,0.38687756427582115,57,42,72,0.24561403508771928
tabpfn-v3,ft_minus_infer,ft,infer,stage3,balanced_accuracy,170,0.7621975434865986,0.7623277118563729,0.00013016836977434093,0.013016836977434092,-0.0017102195754565006,0.0020924932511801114,-0.17102195754565006,0.20924932511801114,52,55,63,0.3235294117647059
tabpfn-v3,faware_ft_best_minus_ft,faware_ft,ft,overall,accuracy,512,0.8148429615279678,0.8149421368300436,9.917530207579061e-05,0.00991753020757906,-0.0006058176075846419,0.0008069338366052264,-0.06058176075846419,0.08069338366052264,108,104,300,0.203125
