dataset,model,method,reference_method,metric,shared_status_ok,method_mean,reference_mean,delta,wins,losses,ties
OpenML-CC18,TabICLv2,ln_head_embedding,FT,accuracy,64,0.8868270960890178,0.888616102082782,-0.0017890059937642616,8,14,42
OpenML-CC18,TabICLv2,ln_head_embedding,FT,balanced_accuracy,64,0.8367578185676678,0.8393938807866242,-0.0026360622189563927,7,15,42
OpenML-CC18,TabICLv2,ln_head_embedding,FT,f1,64,0.8823393326164741,0.8842143597195347,-0.0018750271030605354,10,14,40
OpenML-CC18,TabICLv2,ln_head_embedding,FT,roc_auc,64,0.9299162020046376,0.9304197731758568,-0.0005035711712190263,11,26,27
OpenML-CC18,TabICLv2,ln_head_embedding,FT,log_loss,64,0.25852931720573424,0.2558591011730413,0.0026702160326929976,19,36,9
OpenML-CC18,TabICLv2,Last-block,Infer,accuracy,65,0.8885170702463417,0.8884764374141297,4.063283221202521e-05,4,3,58
OpenML-CC18,TabICLv2,Last-block,Infer,balanced_accuracy,65,0.8389917271046733,0.8389876344380859,4.092666587405771e-06,4,3,58
OpenML-CC18,TabICLv2,Last-block,Infer,f1,65,0.8840681800276669,0.8840645315430268,3.648484640181518e-06,3,7,55
OpenML-CC18,TabICLv2,Last-block,Infer,roc_auc,65,0.930949585933305,0.9309361294802242,1.3456453080799098e-05,6,4,55
OpenML-CC18,TabICLv2,Last-block,Infer,log_loss,65,0.2552109838131595,0.25529730171216025,-8.631789900080656e-05,14,14,37
OpenML-CC18,TabICLv2,Last-block,FT,accuracy,64,0.8868912208975124,0.888616102082782,-0.001724881185269693,9,10,45
OpenML-CC18,TabICLv2,Last-block,FT,balanced_accuracy,64,0.8365934981893659,0.8393938807866242,-0.002800382597258436,8,12,44
OpenML-CC18,TabICLv2,Last-block,FT,f1,64,0.882372834050295,0.8842143597195347,-0.0018415256692396647,9,12,43
OpenML-CC18,TabICLv2,Last-block,FT,roc_auc,64,0.9298715894558889,0.9304197731758568,-0.0005481837199678204,10,24,30
OpenML-CC18,TabICLv2,Last-block,FT,log_loss,64,0.25879605528962557,0.2558591011730413,0.0029369541165843098,20,34,10
Graph-SCM,TabICLv2,FT,Infer,accuracy,512,0.8199752850109925,0.819710736634899,0.0002645483760934969,63,41,408
Graph-SCM,TabICLv2,FT,Infer,balanced_accuracy,512,0.7651969098467535,0.7648437259187999,0.0003531839279536526,78,41,393
Graph-SCM,TabICLv2,FT,Infer,f1,512,0.8049957086720616,0.8046077764655326,0.00038793220652886916,75,53,384
Graph-SCM,TabICLv2,FT,Infer,roc_auc,512,0.9217767379237625,0.9217094795354948,6.725838826753005e-05,140,72,300
Graph-SCM,TabICLv2,FT,Infer,log_loss,512,0.442150684898748,0.442815479418301,-0.0006647945195531162,252,136,124
Graph-SCM,TabICLv2,F-aware FT,FT,accuracy,512,0.8201278563578862,0.8199752850109925,0.00015257134689382383,57,55,400
Graph-SCM,TabICLv2,F-aware FT,FT,balanced_accuracy,512,0.7651589817473567,0.7651969098467535,-3.7928099396726615e-05,67,64,381
Graph-SCM,TabICLv2,F-aware FT,FT,f1,512,0.8049977677625334,0.8049957086720616,2.059090471860311e-06,71,64,377
Graph-SCM,TabICLv2,F-aware FT,FT,roc_auc,512,0.9217454654315393,0.9217767379237625,-3.127249222303354e-05,94,104,314
Graph-SCM,TabICLv2,F-aware FT,FT,log_loss,512,0.44201955910274654,0.442150684898748,-0.00013112579600137463,146,144,222
data184,TabPFNv3,FT,Infer,accuracy,183,0.855762232261294,0.8556809404353444,8.129182594959472e-05,78,78,27
data184,TabPFNv3,FT,Infer,balanced_accuracy,183,0.7802574245640006,0.7802266484557818,3.077610821888934e-05,76,89,18
data184,TabPFNv3,FT,Infer,f1,183,0.8471113735867242,0.8472008491816749,-8.94755949506747e-05,82,84,17
data184,TabPFNv3,FT,Infer,roc_auc,183,0.9019151504990602,0.9035267396407461,-0.0016115891416857142,51,125,7
data184,TabPFNv3,FT,Infer,log_loss,183,0.32789292450419866,0.3236390748384359,0.004253849665762835,56,127,0
data184,TabPFNv3,F-aware FT,FT,accuracy,183,0.8551655522039101,0.855762232261294,-0.0005966800573839835,64,90,29
data184,TabPFNv3,F-aware FT,FT,balanced_accuracy,183,0.7790453365727944,0.7802574245640006,-0.0012120879912060748,82,82,19
data184,TabPFNv3,F-aware FT,FT,f1,183,0.8463551952005393,0.8471113735867242,-0.0007561783861847565,72,94,17
data184,TabPFNv3,F-aware FT,FT,roc_auc,183,0.9018196946721075,0.9019151504990602,-9.545582695278667e-05,80,98,5
data184,TabPFNv3,F-aware FT,FT,log_loss,183,0.3295837427890108,0.32789292450419866,0.0016908182848121203,69,112,2
data184,TabPFNv3,LoRA,Infer,accuracy,178,0.8521634669451005,0.8541149994002823,-0.0019515324551820637,61,92,25
data184,TabPFNv3,LoRA,Infer,balanced_accuracy,178,0.7770861307401549,0.7802934628538536,-0.0032073321136988414,67,94,17
data184,TabPFNv3,LoRA,Infer,f1,178,0.8434506906441815,0.8456407760586252,-0.0021900854144439436,60,103,15
data184,TabPFNv3,LoRA,Infer,roc_auc,178,0.9005545247549713,0.9026122785060621,-0.0020577537510906825,49,125,4
data184,TabPFNv3,LoRA,Infer,log_loss,178,0.33254402280936146,0.32643276813295263,0.006111254676408761,39,139,0
data184,TabPFNv3,LoRA,FT,accuracy,178,0.8521634669451005,0.8541258679036172,-0.0019624009585166974,68,81,29
data184,TabPFNv3,LoRA,FT,balanced_accuracy,178,0.7770861307401549,0.7802695959241751,-0.0031834651840203097,77,85,16
data184,TabPFNv3,LoRA,FT,f1,178,0.8434506906441815,0.8454538368121874,-0.0020031461680059294,78,86,14
data184,TabPFNv3,LoRA,FT,roc_auc,178,0.9005545247549713,0.9009757107390935,-0.00042118598412211645,98,75,5
data184,TabPFNv3,LoRA,FT,log_loss,178,0.33254402280936146,0.3309273415327811,0.0016166812765803977,99,79,0
data184,TabPFNv3,ln_head_embedding,Infer,accuracy,182,0.8533606470081038,0.8556882440235111,-0.002327597015407283,61,96,25
data184,TabPFNv3,ln_head_embedding,Infer,balanced_accuracy,182,0.7772788126394629,0.7808673468311409,-0.003588534191677779,66,100,16
data184,TabPFNv3,ln_head_embedding,Infer,f1,182,0.8447003255766281,0.8472641197905625,-0.002563794213934368,61,107,14
data184,TabPFNv3,ln_head_embedding,Infer,roc_auc,182,0.9009797412319804,0.9033260255627897,-0.0023462843308093154,48,130,4
data184,TabPFNv3,ln_head_embedding,Infer,log_loss,182,0.33011475976419125,0.3234330670853169,0.006681692678874394,39,143,0
data184,TabPFNv3,ln_head_embedding,FT,accuracy,182,0.8533606470081038,0.8557272854180787,-0.0023666384099748543,69,86,27
data184,TabPFNv3,ln_head_embedding,FT,balanced_accuracy,182,0.7772788126394629,0.7807635938544962,-0.003484781215033234,75,91,16
data184,TabPFNv3,ln_head_embedding,FT,f1,182,0.8447003255766281,0.8471073870412604,-0.002407061464632295,74,94,14
data184,TabPFNv3,ln_head_embedding,FT,roc_auc,182,0.9009797412319804,0.9016799407658602,-0.0007001995338800003,97,80,5
data184,TabPFNv3,ln_head_embedding,FT,log_loss,182,0.33011475976419125,0.32782179233571834,0.0022929674284728604,99,83,0
