dataset_name,dataset_dir,task_type,n_train,n_val,n_test,n_features,n_classes,accuracy,f1,balanced_accuracy,roc_auc,log_loss,fit_seconds,predict_seconds,status,error,n_train_a,n_train_b,n_holdout_c,n_test_d,ttt_loss,ttt_steps,ttt_lr,ttt_applied,ttt_update_seconds,ttt_split_strategy,ttt_split_reason,ttt_epochs,ttt_chunks_per_epoch,ttt_batch_mode,ttt_val_baseline_accuracy,ttt_val_best_roc_auc,ttt_best_epoch,ttt_stopped_early,ttt_oom_fallback,ttt_fallback_reason,ttt_val_eval_metric,ttt_val_baseline_metric,ttt_val_best_metric,ttt_val_best_accuracy
FICO-HELOC-cleaned,/home/crc00006699/zh/tabiclv2/data172/FICO-HELOC-cleaned,binclass,7896,1580,1975,23,2,0.7427848101265823,0.7427848101265823,0.7423514354155454,0.8209202519527157,0.5207473881316148,173.35073590278623,1.4155256748199463,ok,,7896,6316,0,1975,,120,5e-06,True,173.35038542747498,tabpfn_finetune_epoch_chunks,dataset_val_split,30,4,tabpfn_finetuning_api,,,0,False,False,,,,,
FOREX_audcad-day-High,/home/crc00006699/zh/tabiclv2/data172/FOREX_audcad-day-High,binclass,1467,294,367,10,2,0.7493188010899182,0.7491958524013144,0.7490494861284382,0.8344323649973266,0.5037358450140096,29.32784652709961,0.4401955604553222,ok,,1467,1173,0,367,,30,5e-06,True,29.327508687973022,tabpfn_finetune_epoch_chunks,dataset_val_split,30,1,tabpfn_finetuning_api,,,0,False,False,,,,,
FOREX_audcad-hour-High,/home/crc00006699/zh/tabiclv2/data172/FOREX_audcad-hour-High,binclass,35060,7012,8765,10,2,0.7143183114660582,0.7143612535934681,0.7142666825917985,0.7895505027307745,0.5602170828996126,838.8912181854248,8.694922685623169,ok,,35060,28048,0,8765,,450,5e-06,True,838.890816450119,tabpfn_finetune_epoch_chunks,dataset_val_split,30,15,tabpfn_finetuning_api,,,0,False,False,,,,,
FOREX_audchf-day-High,/home/crc00006699/zh/tabiclv2/data172/FOREX_audchf-day-High,binclass,1466,294,367,10,2,0.771117166212534,0.7707190203375246,0.7717430048119764,0.8387393809778412,0.4984918300045662,43.50904130935669,0.5041823387145996,ok,,1466,1172,0,367,,30,5e-06,True,43.50873017311096,tabpfn_finetune_epoch_chunks,dataset_val_split,30,1,tabpfn_finetuning_api,,,0,False,False,,,,,
FOREX_audjpy-day-High,/home/crc00006699/zh/tabiclv2/data172/FOREX_audjpy-day-High,binclass,1465,293,367,10,2,0.776566757493188,0.7761071005542206,0.775384935497295,0.8525355210748469,0.4788445978938618,55.62220478057861,0.5373713970184326,ok,,1465,1172,0,367,,30,5e-06,True,55.62178325653076,tabpfn_finetune_epoch_chunks,dataset_val_split,30,1,tabpfn_finetuning_api,,,0,False,False,,,,,
FOREX_audjpy-hour-High,/home/crc00006699/zh/tabiclv2/data172/FOREX_audjpy-hour-High,binclass,35060,7012,8765,10,2,0.7220764403879064,0.7218559036100821,0.7213188754773956,0.8015775589094887,0.5405947191814847,652.3032698631287,8.73100209236145,ok,,35060,28048,0,8765,,450,5e-06,True,652.3028883934021,tabpfn_finetune_epoch_chunks,dataset_val_split,30,15,tabpfn_finetuning_api,,,0,False,False,,,,,
FOREX_audsgd-hour-High,/home/crc00006699/zh/tabiclv2/data172/FOREX_audsgd-hour-High,binclass,35060,7012,8765,10,2,0.7115801483171705,0.7116228493511193,0.7115170476242886,0.7888173533742556,0.5530815617741702,946.9087250232697,8.67085862159729,ok,,35060,28048,0,8765,,450,5e-06,True,946.9079837799072,tabpfn_finetune_epoch_chunks,dataset_val_split,30,15,tabpfn_finetuning_api,,,0,False,False,,,,,
FOREX_audusd-hour-High,/home/crc00006699/zh/tabiclv2/data172/FOREX_audusd-hour-High,binclass,35060,7012,8765,10,2,0.711123787792356,0.7110830992497099,0.7099717926245337,0.7889377618414705,0.5530039417821923,488.0260064601898,8.721430540084839,ok,,35060,28048,0,8765,,450,5e-06,True,488.02562832832336,tabpfn_finetune_epoch_chunks,dataset_val_split,30,15,tabpfn_finetuning_api,,,0,False,False,,,,,
FOREX_cadjpy-day-High,/home/crc00006699/zh/tabiclv2/data172/FOREX_cadjpy-day-High,binclass,1467,294,367,10,2,0.7193460490463215,0.7191959499973437,0.7194107864100736,0.7912508909479686,0.5531605436229445,21.953678846359253,0.4700157642364502,ok,,1467,1173,0,367,,30,5e-06,True,21.95327925682068,tabpfn_finetune_epoch_chunks,dataset_val_split,30,1,tabpfn_finetuning_api,,,0,False,False,,,,,
FOREX_cadjpy-hour-High,/home/crc00006699/zh/tabiclv2/data172/FOREX_cadjpy-hour-High,binclass,35060,7012,8765,10,2,0.7177410154021677,0.7173938305682567,0.7166136894039323,0.7904363476780663,0.5554948361270396,858.3019833564758,8.720503568649292,ok,,35060,28048,0,8765,,450,5e-06,True,858.3016483783722,tabpfn_finetune_epoch_chunks,dataset_val_split,30,15,tabpfn_finetuning_api,,,0,False,False,,,,,
Firm-Teacher_Clave-Direction_Classification,/home/crc00006699/zh/tabiclv2/data172/Firm-Teacher_Clave-Direction_Classification,multiclass,8640,1728,2160,16,4,0.8814814814814815,0.880761471659231,0.8103640662163902,0.972160509251848,0.3102722945977647,118.87868309020996,1.4319884777069092,ok,,8640,6912,0,2160,,120,5e-06,True,118.87832236289978,tabpfn_finetune_epoch_chunks,dataset_val_split,30,4,tabpfn_finetuning_api,,,0,False,False,,,,,
Fitness_Club_c,/home/crc00006699/zh/tabiclv2/data172/Fitness_Club_c,binclass,1200,240,300,6,2,0.7933333333333333,0.7905229075603044,0.743099006256901,0.8268047741731953,0.4531317347291748,22.753589153289795,0.4419858455657959,ok,,1200,960,0,300,,30,5e-06,True,22.753084897994995,tabpfn_finetune_epoch_chunks,dataset_val_split,30,1,tabpfn_finetuning_api,,,0,False,False,,,,,
GAMETES_Epistasis_2-Way_20atts_0.1H_EDM-1_1,/home/crc00006699/zh/tabiclv2/data172/GAMETES_Epistasis_2-Way_20atts_0.1H_EDM-1_1,binclass,1280,256,320,20,2,0.684375,0.680098187684968,0.684375,0.7557421875000001,0.582129771413103,55.60184168815613,0.5307352542877197,ok,,1280,1024,0,320,,30,5e-06,True,55.60151720046997,tabpfn_finetune_epoch_chunks,dataset_val_split,30,1,tabpfn_finetuning_api,,,0,False,False,,,,,
