dataset_name,dataset_dir,task_type,n_train,n_val,n_test,n_features,n_classes,accuracy,f1,balanced_accuracy,roc_auc,log_loss,fit_seconds,predict_seconds,status,error,n_train_a,n_train_b,n_holdout_c,n_test_d,ttt_loss,ttt_wise_ft,ttt_wise_alpha,ttt_wise_applied,ttt_steps,ttt_lr,ttt_applied,ttt_update_seconds,ttt_split_strategy,ttt_split_reason,ttt_epochs,ttt_chunks_per_epoch,ttt_batch_mode,ttt_val_eval_metric,ttt_val_baseline_metric,ttt_val_best_metric,ttt_val_baseline_accuracy,ttt_val_best_accuracy,ttt_best_epoch,ttt_stopped_early,ttt_oom_fallback,ttt_fallback_reason,ttt_c_selection,ttt_c_source,ttt_c_metric,ttt_c_f_distance_mean,ttt_c_f_distance_std,ttt_c_fallback_reason,ttt_c_label_coverage_ok
stage1_graph_scm_0135_seed42,/home/crc00006699/zh/tabiclv2/results/tabiclv2_prior_data/graph_scm_3stage_512_seed42/stage1_graph_scm_0135_seed42,multiclass,752,76,272,88,3,0.9705882352941176,0.9691301820592194,0.8366796039209833,0.9937332506126699,0.08148911128135747,7.270366191864014,0.8686683177947998,ok,,752,676,0,272,0.050583360716700554,True,0.1,True,8,1e-05,True,7.05870246887207,full_train_epoch_chunks,full train set chunked per epoch | validation=auto_stratified_validation | wise_ft=alpha0.1 rows=1024<2000,30,1,epoch_chunk,accuracy,0.9736842105263158,0.9736842105263158,0.9736842105263158,0.9736842105263158,0,True,False,,random,none,standardized_l2,,,,True
stage1_graph_scm_0136_seed42,/home/crc00006699/zh/tabiclv2/results/tabiclv2_prior_data/graph_scm_3stage_512_seed42/stage1_graph_scm_0136_seed42,multiclass,771,78,253,43,7,0.9881422924901185,0.9881849824445372,0.9896825396825397,0.9999642519313297,0.028084510977114875,6.696834564208984,1.186880350112915,ok,,771,693,0,253,0.009406877215951681,True,0.1,True,11,1e-05,True,6.585391998291016,full_train_epoch_chunks,full train set chunked per epoch | validation=auto_stratified_validation | wise_ft=alpha0.1 rows=1024<2000,30,1,epoch_chunk,accuracy,0.9358974358974359,0.9487179487179487,0.9358974358974359,0.9487179487179487,3,True,False,,random,none,standardized_l2,,,,True
stage1_graph_scm_0137_seed42,/home/crc00006699/zh/tabiclv2/results/tabiclv2_prior_data/graph_scm_3stage_512_seed42/stage1_graph_scm_0137_seed42,multiclass,771,78,253,43,5,1.0,1.0,1.0,1.0,0.0005617518751595247,5.0078513622283936,1.2043097019195557,ok,,771,693,0,253,0.0002274461367051117,True,0.1,True,8,1e-05,True,4.895678758621216,full_train_epoch_chunks,full train set chunked per epoch | validation=auto_stratified_validation | wise_ft=alpha0.1 rows=1024<2000,30,1,epoch_chunk,accuracy,1.0,1.0,1.0,1.0,0,True,False,,random,none,standardized_l2,,,,True
stage1_graph_scm_0138_seed42,/home/crc00006699/zh/tabiclv2/results/tabiclv2_prior_data/graph_scm_3stage_512_seed42/stage1_graph_scm_0138_seed42,multiclass,771,78,253,42,5,0.525691699604743,0.49023865777159487,0.42503932774964975,0.7649776119798777,1.265783951051884,8.172199487686157,1.1667811870574951,ok,,771,693,0,253,1.3383342027664185,True,0.1,True,14,1e-05,True,8.055892944335938,full_train_epoch_chunks,full train set chunked per epoch | validation=auto_stratified_validation | wise_ft=alpha0.1 rows=1024<2000,30,1,epoch_chunk,accuracy,0.4358974358974359,0.5128205128205128,0.4358974358974359,0.5128205128205128,6,True,False,,random,none,standardized_l2,,,,True
stage1_graph_scm_0139_seed42,/home/crc00006699/zh/tabiclv2/results/tabiclv2_prior_data/graph_scm_3stage_512_seed42/stage1_graph_scm_0139_seed42,multiclass,771,78,253,43,9,0.6837944664031621,0.6746320222432957,0.5080658786936723,0.9443056670467853,0.842276135623101,7.976854562759399,1.1975362300872803,ok,,771,693,0,253,0.8867604434490204,True,0.1,True,13,1e-05,True,7.86014723777771,full_train_epoch_chunks,full train set chunked per epoch | validation=auto_stratified_validation | wise_ft=alpha0.1 rows=1024<2000,30,1,epoch_chunk,accuracy,0.6666666666666666,0.6923076923076923,0.6666666666666666,0.6923076923076923,5,True,False,,random,none,standardized_l2,,,,True
stage1_graph_scm_0140_seed42,/home/crc00006699/zh/tabiclv2/results/tabiclv2_prior_data/graph_scm_3stage_512_seed42/stage1_graph_scm_0140_seed42,binclass,678,68,346,5,2,1.0,1.0,1.0,1.0,7.970837349173504e-07,2.797865629196167,0.34589672088623047,ok,,678,610,0,346,7.269812272170384e-07,True,0.1,True,8,1e-05,True,2.771763801574707,full_train_epoch_chunks,full train set chunked per epoch | validation=auto_stratified_validation | wise_ft=alpha0.1 rows=1024<2000,30,1,epoch_chunk,accuracy,1.0,1.0,1.0,1.0,0,True,False,,random,none,standardized_l2,,,,True
stage1_graph_scm_0141_seed42,/home/crc00006699/zh/tabiclv2/results/tabiclv2_prior_data/graph_scm_3stage_512_seed42/stage1_graph_scm_0141_seed42,multiclass,678,68,346,5,5,0.861271676300578,0.8566826626256279,0.709103987855433,0.9652181158644032,0.33410299269510146,2.7180628776550293,0.5421600341796875,ok,,678,610,0,346,0.36316218972206116,True,0.1,True,8,1e-05,True,2.691934108734131,full_train_epoch_chunks,full train set chunked per epoch | validation=auto_stratified_validation | wise_ft=alpha0.1 rows=1024<2000,30,1,epoch_chunk,accuracy,0.8235294117647058,0.8235294117647058,0.8235294117647058,0.8235294117647058,0,True,False,,random,none,standardized_l2,,,,True
stage1_graph_scm_0142_seed42,/home/crc00006699/zh/tabiclv2/results/tabiclv2_prior_data/graph_scm_3stage_512_seed42/stage1_graph_scm_0142_seed42,multiclass,678,68,346,5,8,0.43641618497109824,0.40461726825365024,0.3962028493428299,0.8305276693854524,1.3703573679223768,4.318307638168335,0.5383715629577637,ok,,678,610,0,346,1.2725179195404053,True,0.1,True,14,1e-05,True,4.288700819015503,full_train_epoch_chunks,full train set chunked per epoch | validation=auto_stratified_validation | wise_ft=alpha0.1 rows=1024<2000,30,1,epoch_chunk,accuracy,0.45588235294117646,0.47058823529411764,0.45588235294117646,0.47058823529411764,6,True,False,,random,none,standardized_l2,,,,True
stage1_graph_scm_0143_seed42,/home/crc00006699/zh/tabiclv2/results/tabiclv2_prior_data/graph_scm_3stage_512_seed42/stage1_graph_scm_0143_seed42,multiclass,678,68,346,5,3,0.884393063583815,0.8751438443803092,0.7718797521246135,0.9526142881805436,0.32502975352501345,2.752763271331787,0.5047380924224854,ok,,678,610,0,346,0.3509330004453659,True,0.1,True,8,1e-05,True,2.726332902908325,full_train_epoch_chunks,full train set chunked per epoch | validation=auto_stratified_validation | wise_ft=alpha0.1 rows=1024<2000,30,1,epoch_chunk,accuracy,0.8676470588235294,0.8676470588235294,0.8676470588235294,0.8676470588235294,0,True,False,,random,none,standardized_l2,,,,True
stage1_graph_scm_0144_seed42,/home/crc00006699/zh/tabiclv2/results/tabiclv2_prior_data/graph_scm_3stage_512_seed42/stage1_graph_scm_0144_seed42,binclass,345,35,679,98,2,0.9189985272459499,0.9142007940593861,0.7909233017297039,0.9419410745233969,0.2040550415270003,8.440258502960205,0.9125103950500488,ok,,345,310,0,679,0.30046676099300385,True,0.1,True,11,1e-05,True,8.241568565368652,full_train_epoch_chunks,full train set chunked per epoch | validation=auto_stratified_validation | wise_ft=alpha0.1 rows=1024<2000,30,1,epoch_chunk,accuracy,0.7714285714285715,0.8,0.7714285714285715,0.8,3,True,False,,random,none,standardized_l2,,,,True
