dataset_name,dataset_dir,task_type,n_train,n_val,n_test,n_features,n_classes,accuracy,f1,balanced_accuracy,roc_auc,log_loss,fit_seconds,predict_seconds,status,error,n_train_a,n_train_b,n_holdout_c,n_test_d,ttt_loss,ttt_steps,ttt_lr,ttt_applied,ttt_update_seconds,ttt_split_strategy,ttt_split_reason,ttt_epochs,ttt_chunks_per_epoch,ttt_batch_mode,ttt_val_eval_metric,ttt_val_baseline_metric,ttt_val_best_metric,ttt_val_baseline_accuracy,ttt_val_best_accuracy,ttt_best_epoch,ttt_stopped_early,ttt_oom_fallback,ttt_fallback_reason,ttt_c_selection,ttt_c_source,ttt_c_metric,ttt_c_f_distance_mean,ttt_c_f_distance_std,ttt_c_fallback_reason,ttt_c_label_coverage_ok
Waterstress,/home/crc00006699/zh/tabiclv2/data200/Waterstress,binclass,950,190,238,22,2,0.8067226890756303,0.8066544414375919,0.8079179922234005,0.8916931778013433,0.4144493818291329,7.322964668273926,1.5612165927886963,ok,,950,760,0,238,0.3688320517539978,8,1e-05,True,7.196196794509888,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.7947368421052632,0.7947368421052632,0.7947368421052632,0.7947368421052632,0,True,False,,random,none,tabicl_encoded_l2,,,,True
Wilt,/home/crc00006699/zh/tabiclv2/data200/Wilt,binclass,3856,772,965,5,2,0.9927461139896372,0.9926443320683423,0.9508277866711602,0.9918063863846996,0.0310534965325373,12.456512689590454,1.037004470825195,ok,,3856,3084,0,965,0.0225821025669574,12,1e-05,True,12.41341996192932,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.9870466321243524,0.9883419689119172,0.9870466321243524,0.9883419689119172,4,True,False,,random,none,tabicl_encoded_l2,,,,True
abalone,/home/crc00006699/zh/tabiclv2/data200/abalone,multiclass,3341,669,836,8,3,0.6399521531100478,0.6431705858214943,0.6376237081217667,0.8334731108268132,0.7380788172361263,13.472686529159546,1.5136232376098633,ok,,3341,2672,0,836,0.6221417784690857,13,1e-05,True,13.30302667617798,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.6890881913303438,0.6920777279521674,0.6890881913303438,0.6920777279521674,5,True,False,,random,none,tabicl_encoded_l2,,,,True
accelerometer,/home/crc00006699/zh/tabiclv2/data200/accelerometer,multiclass,122403,24481,30601,4,4,0.7463808372275416,0.7448951184526472,0.8097794117647059,0.9306473256549324,0.5288365659033949,390.4961161613464,239.60512566566467,ok,,122403,97922,0,30601,0.5822473168373108,210,1e-05,True,389.7103917598725,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,10,epoch_chunk,accuracy,0.7431477472325477,0.7456394755116212,0.7431477472325477,0.7456394755116212,13,True,False,,random,none,tabicl_encoded_l2,,,,True
ada,/home/crc00006699/zh/tabiclv2/data200/ada,binclass,3317,664,830,48,2,0.8626506024096385,0.8577022271436191,0.7850852626338063,0.9187593353248692,0.3039243488474311,13.59889268875122,2.164856433868408,ok,,3317,2653,0,830,0.2810867130756378,8,1e-05,True,13.402904748916626,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.8704819277108434,0.8704819277108434,0.8704819277108434,0.8704819277108434,0,True,False,,random,none,tabicl_encoded_l2,,,,True
ada_agnostic,/home/crc00006699/zh/tabiclv2/data200/ada_agnostic,binclass,3649,730,913,48,2,0.8510405257393209,0.8468122884102592,0.7756033187346683,0.908336651211775,0.3179948788223006,15.796697854995728,2.642111301422119,ok,,3649,2919,0,913,0.6095903813838959,10,1e-05,True,15.572705268859863,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.8095890410958904,0.8561643835616438,0.8095890410958904,0.8561643835616438,2,True,False,,random,none,tabicl_encoded_l2,,,,True
ada_prior,/home/crc00006699/zh/tabiclv2/data200/ada_prior,binclass,3649,730,913,14,2,0.8565169769989047,0.848435421569549,0.7630360514249753,0.9000333928410886,0.3308290570368519,20.70216989517212,1.651228666305542,ok,,3649,2919,0,913,0.3156378716230392,16,1e-05,True,20.61352491378784,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.8397260273972603,0.8410958904109589,0.8397260273972603,0.8410958904109589,8,True,False,,random,none,tabicl_encoded_l2,,,,True
adult,/home/crc00006699/zh/tabiclv2/data200/adult,binclass,32561,6513,16281,14,2,0.8749462563724587,0.871272019687423,0.8006809826072174,0.92974802305321,0.2727229752424976,121.08641815185548,28.8518979549408,ok,,32561,26048,0,16281,0.2949319332838058,69,1e-05,True,120.46107459068298,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,3,epoch_chunk,accuracy,0.8661139259941655,0.8767081222171043,0.8661139259941655,0.8767081222171043,15,True,False,,random,none,tabicl_encoded_l2,,,,True
airlines_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,/home/crc00006699/zh/tabiclv2/data200/airlines_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,binclass,1600,320,400,7,2,0.6025,0.5905317440915487,0.583991294665452,0.6761058811620609,0.6308478968139154,11.495614290237429,1.00116229057312,ok,,1600,1280,0,400,0.6367464065551758,14,1e-05,True,11.452040433883669,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.65625,0.66875,0.65625,0.66875,6,True,False,,random,none,tabicl_encoded_l2,,,,True
allbp,/home/crc00006699/zh/tabiclv2/data200/allbp,multiclass,3017,604,755,29,3,0.9774834437086092,0.975153287094861,0.643059402893198,0.9900542673068916,0.060128511042717,10.967990398406982,2.229686975479126,ok,,3017,2413,0,755,0.0601167064160108,8,1e-05,True,10.73438310623169,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.9817880794701986,0.9817880794701986,0.9817880794701986,0.9817880794701986,0,True,False,,random,none,tabicl_encoded_l2,,,,True
