dataset_name,dataset_dir,task_type,n_train,n_val,n_test,n_features,n_classes,accuracy,f1,balanced_accuracy,roc_auc,log_loss,fit_seconds,predict_seconds,status,error,n_train_a,n_train_b,n_holdout_c,n_test_d,ttt_loss,ttt_steps,ttt_lr,ttt_applied,ttt_update_seconds,ttt_split_strategy,ttt_split_reason,ttt_epochs,ttt_chunks_per_epoch,ttt_batch_mode,ttt_val_eval_metric,ttt_val_baseline_metric,ttt_val_best_metric,ttt_val_baseline_accuracy,ttt_val_best_accuracy,ttt_best_epoch,ttt_stopped_early,ttt_oom_fallback,ttt_fallback_reason,ttt_c_selection,ttt_c_source,ttt_c_metric,ttt_c_reserve_ratio,ttt_c_f_distance_mean,ttt_c_f_distance_std,ttt_c_fallback_reason,ttt_c_label_coverage_ok
online_shoppers,/home/crc00006699/zh/tabiclv2/data184/online_shoppers,binclass,9864,1973,2466,14,2,0.9055150040551501,0.9017211616052606,0.7837512938268131,0.9311332415511855,0.22635417061292035,27.5431387424469,1.520906686782837,ok,,9864,7891,0,2466,,30,1e-05,True,27.5427143573761,tabpfn_finetune_epoch_chunks_f_mmd,dataset_val_split | c_selection=f_mmd | c_source=test | c_metric=standardized_l2 | c_reserve_ratio=0.05,30,1,tabpfn_finetuning_api_f_mmd,acc,0.9001520527116067,0.9026862645717182,,,6,True,False,,f_mmd,test,standardized_l2,0.05,3.6123550045943875,2.2877424179317614,,True
ozone-level-8hr,/home/crc00006699/zh/tabiclv2/data184/ozone-level-8hr,binclass,2027,406,507,72,2,0.9546351084812623,0.9455028296657255,0.6697697368421053,0.9425657894736841,0.1274911731958848,13.683030128479004,1.2296788692474365,ok,,2027,1621,0,507,,30,1e-05,True,13.682658910751343,tabpfn_finetune_epoch_chunks_f_mmd,dataset_val_split | c_selection=f_mmd | c_source=test | c_metric=standardized_l2 | c_reserve_ratio=0.05,30,1,tabpfn_finetuning_api_f_mmd,acc,0.9507389162561576,0.9556650246305419,,,4,True,False,,f_mmd,test,standardized_l2,0.05,3.7602223562148827,0.9378070589744115,,True
page-blocks,/home/crc00006699/zh/tabiclv2/data184/page-blocks,multiclass,4378,876,1095,10,5,0.9799086757990868,0.9796501794474878,0.9029675319250267,0.9931552615657608,0.09135521479803504,15.307677268981934,0.6443378925323486,ok,,4378,3502,0,1095,,30,1e-05,True,15.307295799255371,tabpfn_finetune_epoch_chunks_f_mmd,dataset_val_split | c_selection=f_mmd | c_source=test | c_metric=standardized_l2 | c_reserve_ratio=0.05,30,1,tabpfn_finetuning_api_f_mmd,acc,0.9714611872146118,0.973744292237443,,,7,True,False,,f_mmd,test,standardized_l2,0.05,206.56257001847192,27.311700503881553,,True
pc3,/home/crc00006699/zh/tabiclv2/data184/pc3,binclass,1250,250,313,37,2,0.8913738019169329,0.8718064290538436,0.5795151245551602,0.8335186832740213,0.27362897253438545,13.920789241790771,0.4385087490081787,ok,,1250,1000,0,313,,30,1e-05,True,13.920429944992065,tabpfn_finetune_epoch_chunks_f_mmd,dataset_val_split | c_selection=f_mmd | c_source=test | c_metric=standardized_l2 | c_reserve_ratio=0.05,30,1,tabpfn_finetuning_api_f_mmd,acc,0.892,0.908,,,7,True,False,,f_mmd,test,standardized_l2,0.05,11.670120732183827,18.552186057997343,,True
pendigits,/home/crc00006699/zh/tabiclv2/data184/pendigits,multiclass,8793,1759,2199,16,10,0.9972714870395635,0.997273276642423,0.9972681553840104,0.9997140108603466,0.014036678661980495,14.046578884124756,1.3767070770263672,ok,,8793,7034,0,2199,,30,1e-05,True,14.046226263046265,tabpfn_finetune_epoch_chunks_f_mmd,dataset_val_split | c_selection=f_mmd | c_source=test | c_metric=standardized_l2 | c_reserve_ratio=0.05,30,1,tabpfn_finetuning_api_f_mmd,acc,0.9977259806708357,0.9977259806708357,,,0,True,False,,f_mmd,test,standardized_l2,0.05,2.452164893334547,0.5092612150003182,,True
pol,/home/crc00006699/zh/tabiclv2/data184/pol,binclass,8065,1613,2017,26,2,0.991571641051066,0.9915715540380223,0.9915733596048264,0.9997945081567481,0.019919730449996963,19.62340021133423,1.4890868663787842,ok,,8065,6452,0,2017,,30,1e-05,True,19.623045444488525,tabpfn_finetune_epoch_chunks_f_mmd,dataset_val_split | c_selection=f_mmd | c_source=test | c_metric=standardized_l2 | c_reserve_ratio=0.05,30,1,tabpfn_finetuning_api_f_mmd,acc,0.9894606323620583,0.990700557966522,,,3,True,False,,f_mmd,test,standardized_l2,0.05,7.343504204160318,2.726870135818938,,True
rice_cammeo_and_osmancik,/home/crc00006699/zh/tabiclv2/data184/rice_cammeo_and_osmancik,binclass,3048,610,762,7,2,0.9330708661417323,0.9327800107613767,0.9279703945516969,0.9780280857770023,0.18450406767412336,7.742843866348267,0.5563383102416992,ok,,3048,2438,0,762,,30,1e-05,True,7.742460489273071,tabpfn_finetune_epoch_chunks_f_mmd,dataset_val_split | c_selection=f_mmd | c_source=test | c_metric=standardized_l2 | c_reserve_ratio=0.05,30,1,tabpfn_finetuning_api_f_mmd,acc,0.9327868852459016,0.9327868852459016,,,0,True,False,,f_mmd,test,standardized_l2,0.05,3.8045834458047594,0.943029575717375,,True
rl,/home/crc00006699/zh/tabiclv2/data184/rl,binclass,3976,796,994,12,2,0.8943661971830986,0.8943481258104583,0.8943661971830985,0.9488399208126019,0.2894310738116214,17.201277494430542,0.6592659950256348,ok,,3976,3180,0,994,,30,1e-05,True,17.200913429260254,tabpfn_finetune_epoch_chunks_f_mmd,dataset_val_split | c_selection=f_mmd | c_source=test | c_metric=standardized_l2 | c_reserve_ratio=0.05,30,1,tabpfn_finetuning_api_f_mmd,acc,0.8743718592964824,0.8894472361809045,,,8,True,False,,f_mmd,test,standardized_l2,0.05,5.271763022459871,1.4412817311230666,,True
segment,/home/crc00006699/zh/tabiclv2/data184/segment,multiclass,1848,370,462,17,7,0.9329004329004329,0.9330699668396419,0.9329004329004329,0.995414097686825,0.1758976814157141,7.7549989223480225,0.5437936782836914,ok,,1848,1478,0,462,,30,1e-05,True,7.754637718200684,tabpfn_finetune_epoch_chunks_f_mmd,dataset_val_split | c_selection=f_mmd | c_source=test | c_metric=standardized_l2 | c_reserve_ratio=0.05,30,1,tabpfn_finetuning_api_f_mmd,acc,0.9486486486486486,0.9486486486486486,,,0,True,False,,f_mmd,test,standardized_l2,0.05,5.893529068765413,9.402798278109909,,True
semeion,/home/crc00006699/zh/tabiclv2/data184/semeion,multiclass,1274,255,319,256,10,0.9623824451410659,0.9623740940355361,0.9623991935483872,0.998953142757234,0.1471974716137028,30.621326684951782,1.1839656829833984,ok,,1274,1019,0,319,,30,1e-05,True,30.620965242385864,tabpfn_finetune_epoch_chunks_f_mmd,dataset_val_split | c_selection=f_mmd | c_source=test | c_metric=standardized_l2 | c_reserve_ratio=0.05,30,1,tabpfn_finetuning_api_f_mmd,acc,0.9372549019607843,0.9568627450980393,,,4,True,False,,f_mmd,test,standardized_l2,0.05,1.5199568110473987,0.06834426628263092,,True
shrutime,/home/crc00006699/zh/tabiclv2/data184/shrutime,binclass,8000,1600,2000,10,2,0.8655,0.855097251214224,0.7238015144150828,0.8790410516487169,0.31249638411605885,12.179257154464722,1.1057970523834229,ok,,8000,6400,0,2000,,30,1e-05,True,12.178807735443115,tabpfn_finetune_epoch_chunks_f_mmd,dataset_val_split | c_selection=f_mmd | c_source=test | c_metric=standardized_l2 | c_reserve_ratio=0.05,30,1,tabpfn_finetuning_api_f_mmd,acc,0.87,0.87,,,0,True,False,,f_mmd,test,standardized_l2,0.05,2.195346667965043,0.37331748120064173,,True
