dataset_name,dataset_dir,task_type,n_train,n_val,n_test,n_features,n_classes,accuracy,f1,balanced_accuracy,roc_auc,log_loss,fit_seconds,predict_seconds,status,error,n_train_a,n_train_b,n_holdout_c,n_test_d,ttt_loss,ttt_steps,ttt_lr,ttt_applied,ttt_update_seconds,ttt_split_strategy,ttt_split_reason,ttt_epochs,ttt_chunks_per_epoch,ttt_batch_mode,ttt_val_eval_metric,ttt_val_baseline_metric,ttt_val_best_metric,ttt_val_baseline_accuracy,ttt_val_best_accuracy,ttt_best_epoch,ttt_stopped_early,ttt_oom_fallback,ttt_fallback_reason,ttt_c_selection,ttt_c_source,ttt_c_metric,ttt_c_reserve_ratio,ttt_c_f_distance_mean,ttt_c_f_distance_std,ttt_c_fallback_reason,ttt_c_label_coverage_ok
spambase,/home/crc00006699/zh/tabiclv2/data184/spambase,binclass,3680,736,921,57,2,0.9576547231270358,0.957644474401364,0.955426701027874,0.9909703091521274,0.1186971316471305,12.864884853363035,1.329097032546997,ok,,3680,2944,0,921,,30,1e-05,True,12.864448308944702,tabpfn_finetune_epoch_chunks_random,dataset_val_split | c_selection=random | c_source=none,30,1,tabpfn_finetuning_api_random,acc,0.9619565217391304,0.9619565217391304,,,0,True,False,,random,none,,,,,,True
sports_articles_for_objectivity_analysis,/home/crc00006699/zh/tabiclv2/data184/sports_articles_for_objectivity_analysis,binclass,800,160,200,59,2,0.845,0.8425608503788404,0.8197066120159637,0.9032466832056952,0.3744814965375516,12.417716026306152,0.4946367740631103,ok,,800,640,0,200,,30,1e-05,True,12.417320013046265,tabpfn_finetune_epoch_chunks_random,dataset_val_split | c_selection=random | c_source=none,30,1,tabpfn_finetuning_api_random,acc,0.8375,0.85,,,3,True,False,,random,none,,,,,,True
steel_plates_faults,/home/crc00006699/zh/tabiclv2/data184/steel_plates_faults,multiclass,1552,311,389,27,7,0.8406169665809768,0.8407789123274074,0.8721605514368671,0.9802323798768292,0.3874117375214187,16.160257577896118,0.4828066825866699,ok,,1552,1241,0,389,,30,1e-05,True,16.15981698036194,tabpfn_finetune_epoch_chunks_random,dataset_val_split | c_selection=random | c_source=none,30,1,tabpfn_finetuning_api_random,acc,0.7942122186495176,0.8295819935691319,,,7,True,False,,random,none,,,,,,True
sylvine,/home/crc00006699/zh/tabiclv2/data184/sylvine,binclass,4099,820,1025,20,2,0.9707317073170731,0.9707316516010556,0.9707335830896686,0.9979250426413256,0.0591895418581999,13.087030172348022,0.7867140769958496,ok,,4099,3279,0,1025,,30,1e-05,True,13.086652755737305,tabpfn_finetune_epoch_chunks_random,dataset_val_split | c_selection=random | c_source=none,30,1,tabpfn_finetuning_api_random,acc,0.9780487804878047,0.9817073170731708,,,3,True,False,,random,none,,,,,,True
telco-customer-churn,/home/crc00006699/zh/tabiclv2/data184/telco-customer-churn,binclass,5634,1127,1409,18,2,0.8048261178140526,0.7949110424513848,0.7091955359218787,0.8510501433775091,0.4102857647623726,14.75683069229126,0.982614040374756,ok,,5634,4507,0,1409,,30,1e-05,True,14.75640082359314,tabpfn_finetune_epoch_chunks_random,dataset_val_split | c_selection=random | c_source=none,30,1,tabpfn_finetuning_api_random,acc,0.8127772848269743,0.8136645962732919,,,2,True,False,,random,none,,,,,,True
thyroid-ann,/home/crc00006699/zh/tabiclv2/data184/thyroid-ann,multiclass,3017,604,755,21,3,0.9880794701986756,0.9878644042103668,0.9025536620921932,0.9988082912598836,0.0350326041404768,18.675710916519165,0.7466878890991211,ok,,3017,2413,0,755,,30,1e-05,True,18.67526078224182,tabpfn_finetune_epoch_chunks_random,dataset_val_split | c_selection=random | c_source=none,30,1,tabpfn_finetuning_api_random,acc,0.9917218543046358,1.0,,,8,True,False,,random,none,,,,,,True
turiye_student_evaluation,/home/crc00006699/zh/tabiclv2/data184/turiye_student_evaluation,multiclass,4656,932,1164,32,5,0.520618556701031,0.4905814305075623,0.4098288722232384,0.7639629592675881,1.1903069145655911,39.82311797142029,1.085352897644043,ok,,4656,3724,0,1164,,30,1e-05,True,39.82272076606751,tabpfn_finetune_epoch_chunks_random,dataset_val_split | c_selection=random | c_source=none,30,1,tabpfn_finetuning_api_random,acc,0.5075107296137339,0.5225321888412017,,,20,True,False,,random,none,,,,,,True
vehicle,/home/crc00006699/zh/tabiclv2/data184/vehicle,multiclass,676,136,170,18,4,0.8941176470588236,0.8926598118922366,0.8947510822510822,0.9740865688131312,0.2606973422620132,9.822251558303831,0.4800269603729248,ok,,676,540,0,170,,30,1e-05,True,9.821743488311768,tabpfn_finetune_epoch_chunks_random,dataset_val_split | c_selection=random | c_source=none,30,1,tabpfn_finetuning_api_random,acc,0.9044117647058824,0.9117647058823528,,,2,True,False,,random,none,,,,,,True
water_quality,/home/crc00006699/zh/tabiclv2/data184/water_quality,binclass,6396,1280,1600,20,2,0.905,0.8929228733167178,0.6686247461987942,0.9085405074474184,0.2177451742327535,11.503594398498535,1.0424232482910156,ok,,6396,5116,0,1600,,30,1e-05,True,11.503148794174194,tabpfn_finetune_epoch_chunks_random,dataset_val_split | c_selection=random | c_source=none,30,1,tabpfn_finetuning_api_random,acc,0.89453125,0.89453125,,,0,True,False,,random,none,,,,,,True
waveform_database_generator_version_1,/home/crc00006699/zh/tabiclv2/data184/waveform_database_generator_version_1,multiclass,4000,800,1000,21,3,0.868,0.8677767786832707,0.8679073738174763,0.9725033201972788,0.2927088258116233,23.85536742210388,0.8200488090515137,ok,,4000,3200,0,1000,,30,1e-05,True,23.85487461090088,tabpfn_finetune_epoch_chunks_random,dataset_val_split | c_selection=random | c_source=none,30,1,tabpfn_finetuning_api_random,acc,0.85375,0.86375,,,13,True,False,,random,none,,,,,,True
