dataset_name,dataset_dir,task_type,n_train,n_val,n_test,n_features,n_classes,accuracy,f1,balanced_accuracy,roc_auc,log_loss,fit_seconds,predict_seconds,status,error,n_train_a,n_train_b,n_holdout_c,n_test_d,ttt_loss,ttt_wise_ft,ttt_wise_alpha,ttt_wise_applied,ttt_steps,ttt_lr,ttt_applied,ttt_update_seconds,ttt_split_strategy,ttt_split_reason,ttt_epochs,ttt_chunks_per_epoch,ttt_batch_mode,ttt_val_eval_metric,ttt_val_baseline_metric,ttt_val_best_metric,ttt_val_baseline_accuracy,ttt_val_best_accuracy,ttt_best_epoch,ttt_stopped_early,ttt_oom_fallback,ttt_fallback_reason,ttt_c_selection,ttt_c_source,ttt_c_metric,ttt_c_f_distance_mean,ttt_c_f_distance_std,ttt_c_fallback_reason,ttt_c_label_coverage_ok
OpenML-ID-1494,/home/crc00006699/zh/tabiclv2/openml_cc18/OpenML-ID-1494,binclass,844,169,211,41,2,0.8862559241706162,0.8854084739220404,0.8656941649899397,0.9449698189134808,0.2757235112521622,8.618683099746704,1.20395827293396,ok,,844,675,0,211,0.2797557264566421,True,0.1,True,15,1e-05,True,8.506940126419067,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | c_selection=f_mmd c_source=test c_metric=tabicl_encoded_l2 | f_mmd_reserved_context=5% source=test | wise_ft=alpha0.1 rows=1055<2000,30,1,epoch_chunk,accuracy,0.8875739644970414,0.893491124260355,0.8875739644970414,0.893491124260355,7,True,False,,f_mmd,test,tabicl_encoded_l2,209.3776233008436,98.5148520606827,,True
OpenML-ID-1497,/home/crc00006699/zh/tabiclv2/openml_cc18/OpenML-ID-1497,multiclass,4364,873,1092,24,4,0.9935897435897436,0.9935906981990156,0.9885848278705422,0.999955449453928,0.0138765987289042,11.477253198623655,1.817471027374268,ok,,4364,3491,0,1092,0.0207289438694715,True,0.1,False,13,1e-05,True,11.320096254348757,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | c_selection=f_mmd c_source=test c_metric=tabicl_encoded_l2 | f_mmd_reserved_context=5% source=test | wise_ft_skipped rows=5456>=2000,30,1,epoch_chunk,accuracy,0.986254295532646,0.9873997709049256,0.986254295532646,0.9873997709049256,5,True,False,,f_mmd,test,tabicl_encoded_l2,3.902360006073192,0.3937255949408618,,True
OpenML-ID-15,/home/crc00006699/zh/tabiclv2/openml_cc18/OpenML-ID-15,binclass,559,112,140,9,2,0.9571428571428572,0.9573446961202065,0.957427536231884,0.9932065217391304,0.1089100023545271,2.984906911849976,0.4577715396881103,ok,,559,447,0,140,0.0180468270555138,True,0.1,True,8,1e-05,True,2.950072288513184,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | c_selection=f_mmd c_source=test c_metric=tabicl_encoded_l2 | f_mmd_reserved_context=5% source=test | wise_ft=alpha0.1 rows=699<2000,30,1,epoch_chunk,accuracy,0.9464285714285714,0.9464285714285714,0.9464285714285714,0.9464285714285714,0,True,False,,f_mmd,test,tabicl_encoded_l2,49.61779511332055,5.867138571764884,,True
OpenML-ID-1501,/home/crc00006699/zh/tabiclv2/openml_cc18/OpenML-ID-1501,multiclass,1274,255,319,256,10,0.9686520376175548,0.9686948325435536,0.9686491935483872,0.9993351769635208,0.1005940037255934,20.338370084762573,3.828068256378174,ok,,1274,1019,0,319,0.1179171353578567,True,0.1,True,8,1e-05,True,19.598129749298096,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | c_selection=f_mmd c_source=test c_metric=tabicl_encoded_l2 | f_mmd_reserved_context=5% source=test | wise_ft=alpha0.1 rows=1593<2000,30,1,epoch_chunk,accuracy,0.9568627450980391,0.9568627450980391,0.9568627450980391,0.9568627450980391,0,True,False,,f_mmd,test,tabicl_encoded_l2,0.2648053887345589,0.0122711737950587,,True
OpenML-ID-151,/home/crc00006699/zh/tabiclv2/openml_cc18/OpenML-ID-151,binclass,36249,7250,9063,8,2,0.9403067416970098,0.9402871453172742,0.9385934942981924,0.986982865674141,0.1447770893134508,106.86044907569884,25.793503284454346,ok,,36249,28999,0,9063,0.2770401537418365,True,0.1,False,90,1e-05,True,106.56966829299928,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | c_selection=f_mmd c_source=test c_metric=tabicl_encoded_l2 | f_mmd_reserved_context=5% source=test | wise_ft_skipped rows=45312>=2000,30,3,epoch_chunk,accuracy,0.9136551724137932,0.9355862068965516,0.9136551724137932,0.9355862068965516,28,False,False,,f_mmd,test,tabicl_encoded_l2,1.7063941575723094,0.0073616509811566,,True
OpenML-ID-1510,/home/crc00006699/zh/tabiclv2/openml_cc18/OpenML-ID-1510,binclass,455,91,114,30,2,0.9912280701754386,0.991205475258566,0.988095238095238,0.9973544973544972,0.0485935039104017,4.002386569976807,0.6315968036651611,ok,,455,364,0,114,0.0774063393473625,True,0.1,True,8,1e-05,True,3.923342227935791,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | c_selection=f_mmd c_source=test c_metric=tabicl_encoded_l2 | f_mmd_reserved_context=5% source=test | wise_ft=alpha0.1 rows=569<2000,30,1,epoch_chunk,accuracy,0.956043956043956,0.956043956043956,0.956043956043956,0.956043956043956,0,True,False,,f_mmd,test,tabicl_encoded_l2,656984277.3249519,104784.93479503626,,True
OpenML-ID-1590,/home/crc00006699/zh/tabiclv2/openml_cc18/OpenML-ID-1590,binclass,39073,7815,9769,14,2,0.8779813696386529,0.8738732168209044,0.8031238981176007,0.930666350556284,0.2730303579699442,96.48424339294434,30.852195501327515,ok,,39073,31258,0,9769,0.3209782689809799,True,0.1,False,80,1e-05,True,95.98674964904784,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | c_selection=f_mmd c_source=test c_metric=tabicl_encoded_l2 | f_mmd_reserved_context=5% source=test | wise_ft_skipped rows=48842>=2000,30,4,epoch_chunk,accuracy,0.8715291106845809,0.8754958413307742,0.8715291106845809,0.8754958413307742,12,True,False,,f_mmd,test,tabicl_encoded_l2,2.384544281928039e+18,0.0,,True
OpenML-ID-16,/home/crc00006699/zh/tabiclv2/openml_cc18/OpenML-ID-16,multiclass,1600,320,400,64,10,0.975,0.975015727207024,0.975,0.9996875,0.0937531085140163,10.538035869598389,1.269972801208496,ok,,1600,1280,0,400,0.0069376935716718,True,0.1,False,12,1e-05,True,10.33281707763672,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | c_selection=f_mmd c_source=test c_metric=tabicl_encoded_l2 | f_mmd_reserved_context=5% source=test | wise_ft_skipped rows=2000>=2000,30,1,epoch_chunk,accuracy,0.978125,0.98125,0.978125,0.98125,4,True,False,,f_mmd,test,tabicl_encoded_l2,42.786702093275856,0.3289202027447271,,True
OpenML-ID-18,/home/crc00006699/zh/tabiclv2/openml_cc18/OpenML-ID-18,multiclass,1600,320,400,6,10,0.79,0.7849966613664234,0.79,0.9775416666666666,0.491220283999132,9.020178079605104,0.5056443214416504,ok,,1600,1280,0,400,0.4966610223054886,True,0.1,False,29,1e-05,True,8.985011577606201,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | c_selection=f_mmd c_source=test c_metric=tabicl_encoded_l2 | f_mmd_reserved_context=5% source=test | wise_ft_skipped rows=2000>=2000,30,1,epoch_chunk,accuracy,0.74375,0.771875,0.74375,0.771875,21,True,False,,f_mmd,test,tabicl_encoded_l2,8340565407071.249,2946934.6569803683,,True
OpenML-ID-182,/home/crc00006699/zh/tabiclv2/openml_cc18/OpenML-ID-182,multiclass,5144,1029,1286,36,6,0.9432348367029548,0.9422143080541336,0.927157808313351,0.9969758120220988,0.1284731956451482,19.36333465576172,2.643057584762573,ok,,5144,4115,0,1286,0.1794974133372306,True,0.1,False,17,1e-05,True,19.094338417053223,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | c_selection=f_mmd c_source=test c_metric=tabicl_encoded_l2 | f_mmd_reserved_context=5% source=test | wise_ft_skipped rows=6430>=2000,30,1,epoch_chunk,accuracy,0.93488824101069,0.9378036929057336,0.93488824101069,0.9378036929057336,9,True,False,,f_mmd,test,tabicl_encoded_l2,4.532523396655528,0.7969942473949877,,True
