dataset_name,dataset_dir,task_type,n_train,n_val,n_test,n_features,n_classes,accuracy,f1,balanced_accuracy,roc_auc,log_loss,fit_seconds,predict_seconds,status,error,n_train_a,n_train_b,n_holdout_c,n_test_d,ttt_loss,ttt_wise_ft,ttt_wise_alpha,ttt_wise_applied,ttt_steps,ttt_lr,ttt_applied,ttt_update_seconds,ttt_split_strategy,ttt_split_reason,ttt_epochs,ttt_chunks_per_epoch,ttt_batch_mode,ttt_val_eval_metric,ttt_val_baseline_metric,ttt_val_best_metric,ttt_val_baseline_accuracy,ttt_val_best_accuracy,ttt_best_epoch,ttt_stopped_early,ttt_oom_fallback,ttt_fallback_reason,ttt_c_selection,ttt_c_source,ttt_c_metric,ttt_c_f_distance_mean,ttt_c_f_distance_std,ttt_c_fallback_reason,ttt_c_label_coverage_ok
stage2_graph_scm_0144_seed42,/home/crc00006699/zh/tabiclv2/results/tabiclv2_prior_data/graph_scm_3stage_512_seed42/stage2_graph_scm_0144_seed42,binclass,7084,709,1693,61,2,1.0,1.0,1.0,1.0,9.173651122525022e-07,18.828027725219727,5.929240465164185,ok,,7084,6375,0,1693,1.041889220232406e-06,True,0.1,False,8,1e-05,True,18.238861322402954,full_train_epoch_chunks,full train set chunked per epoch | validation=auto_stratified_validation | wise_ft_skipped rows=8777>=2000,30,1,epoch_chunk,accuracy,1.0,1.0,1.0,1.0,0,True,False,,random,none,standardized_l2,,,,True
stage2_graph_scm_0145_seed42,/home/crc00006699/zh/tabiclv2/results/tabiclv2_prior_data/graph_scm_3stage_512_seed42/stage2_graph_scm_0145_seed42,multiclass,483,49,124,56,4,0.7983870967741935,0.7462715422006185,0.26519607843137255,0.8227391010025524,0.5622363971601021,5.221879243850708,0.926713228225708,ok,,483,434,0,124,0.4922637939453125,True,0.1,True,8,1e-05,True,5.097908020019531,full_train_epoch_chunks,full train set chunked per epoch | validation=auto_stratified_validation | wise_ft=alpha0.1 rows=607<2000,30,1,epoch_chunk,accuracy,0.8367346938775511,0.8367346938775511,0.8367346938775511,0.8367346938775511,0,True,False,,random,none,standardized_l2,,,,True
stage2_graph_scm_0146_seed42,/home/crc00006699/zh/tabiclv2/results/tabiclv2_prior_data/graph_scm_3stage_512_seed42/stage2_graph_scm_0146_seed42,multiclass,4239,424,1025,4,6,0.9014634146341464,0.9003190745801112,0.8992431184353155,0.990838562053095,0.20733913001616236,6.4679388999938965,1.1515672206878662,ok,,4239,3815,0,1025,0.20999781042337418,True,0.1,False,14,1e-05,True,6.420563459396362,full_train_epoch_chunks,full train set chunked per epoch | validation=auto_stratified_validation | wise_ft_skipped rows=5264>=2000,30,1,epoch_chunk,accuracy,0.8726415094339622,0.8891509433962265,0.8726415094339622,0.8891509433962265,6,True,False,,random,none,standardized_l2,,,,True
stage2_graph_scm_0147_seed42,/home/crc00006699/zh/tabiclv2/results/tabiclv2_prior_data/graph_scm_3stage_512_seed42/stage2_graph_scm_0147_seed42,multiclass,1379,138,364,61,4,0.9423076923076923,0.9431631392503322,0.9204368011890747,0.9889797195178813,0.16335251813159035,7.267431020736694,1.8836956024169922,ok,,1379,1241,0,364,0.121368158608675,True,0.1,True,8,1e-05,True,7.088600158691406,full_train_epoch_chunks,full train set chunked per epoch | validation=auto_stratified_validation | wise_ft=alpha0.1 rows=1743<2000,30,1,epoch_chunk,accuracy,0.9420289855072463,0.9420289855072463,0.9420289855072463,0.9420289855072463,0,True,False,,random,none,standardized_l2,,,,True
stage2_graph_scm_0148_seed42,/home/crc00006699/zh/tabiclv2/results/tabiclv2_prior_data/graph_scm_3stage_512_seed42/stage2_graph_scm_0148_seed42,multiclass,1223,123,325,36,8,0.6215384615384615,0.569755413764098,0.5804667928582319,0.9018801074398135,0.9232191327533663,7.167095422744751,1.5093262195587158,ok,,1223,1100,0,325,0.9189521372318268,True,0.1,True,8,1e-05,True,7.057449579238892,full_train_epoch_chunks,full train set chunked per epoch | validation=auto_stratified_validation | wise_ft=alpha0.1 rows=1548<2000,30,1,epoch_chunk,accuracy,0.5609756097560976,0.5609756097560976,0.5609756097560976,0.5609756097560976,0,True,False,,random,none,standardized_l2,,,,True
stage2_graph_scm_0149_seed42,/home/crc00006699/zh/tabiclv2/results/tabiclv2_prior_data/graph_scm_3stage_512_seed42/stage2_graph_scm_0149_seed42,multiclass,7487,749,1957,4,4,0.9739397036280021,0.9737915376514245,0.9598798813143933,0.9944156876939045,0.0897232371930937,10.37533974647522,4.42977499961853,ok,,7487,6738,0,1957,0.085562814027071,True,0.1,False,8,1e-05,True,10.318679809570312,full_train_epoch_chunks,full train set chunked per epoch | validation=auto_stratified_validation | wise_ft_skipped rows=9444>=2000,30,1,epoch_chunk,accuracy,0.9692923898531375,0.9692923898531375,0.9692923898531375,0.9692923898531375,0,True,False,,random,none,standardized_l2,,,,True
stage2_graph_scm_0150_seed42,/home/crc00006699/zh/tabiclv2/results/tabiclv2_prior_data/graph_scm_3stage_512_seed42/stage2_graph_scm_0150_seed42,multiclass,1920,192,474,94,3,1.0,1.0,1.0,1.0,4.3005892787871066e-07,14.708219289779663,3.3560097217559814,ok,,1920,1728,0,474,1.0594077934911184e-06,True,0.1,False,8,1e-05,True,14.411666870117188,full_train_epoch_chunks,full train set chunked per epoch | validation=auto_stratified_validation | wise_ft_skipped rows=2394>=2000,30,1,epoch_chunk,accuracy,1.0,1.0,1.0,1.0,0,True,False,,random,none,standardized_l2,,,,True
stage2_graph_scm_0151_seed42,/home/crc00006699/zh/tabiclv2/results/tabiclv2_prior_data/graph_scm_3stage_512_seed42/stage2_graph_scm_0151_seed42,multiclass,1106,111,294,16,4,1.0,1.0,1.0,1.0,1.6203200037721648e-06,6.207919359207153,0.9352931976318359,ok,,1106,995,0,294,2.5303519350927672e-06,True,0.1,True,8,1e-05,True,6.137996196746826,full_train_epoch_chunks,full train set chunked per epoch | validation=auto_stratified_validation | wise_ft=alpha0.1 rows=1400<2000,30,1,epoch_chunk,accuracy,1.0,1.0,1.0,1.0,0,True,False,,random,none,standardized_l2,,,,True
stage2_graph_scm_0152_seed42,/home/crc00006699/zh/tabiclv2/results/tabiclv2_prior_data/graph_scm_3stage_512_seed42/stage2_graph_scm_0152_seed42,multiclass,1113,112,273,80,3,0.9706959706959707,0.9705378864819265,0.9730217207767288,0.9964814196877964,0.09777660278636398,19.3202064037323,2.104795455932617,ok,,1113,1001,0,273,0.07948051393032074,True,0.1,True,16,1e-05,True,19.09472370147705,full_train_epoch_chunks,full train set chunked per epoch | validation=auto_stratified_validation | wise_ft=alpha0.1 rows=1386<2000,30,1,epoch_chunk,accuracy,0.9375,0.9464285714285714,0.9375,0.9464285714285714,8,True,False,,random,none,standardized_l2,,,,True
stage2_graph_scm_0153_seed42,/home/crc00006699/zh/tabiclv2/results/tabiclv2_prior_data/graph_scm_3stage_512_seed42/stage2_graph_scm_0153_seed42,multiclass,1591,160,421,92,3,0.5391923990498813,0.4606825269432169,0.38948785666200614,0.6270778003309297,0.9300715486516351,21.710248947143555,2.8550188541412354,ok,,1591,1431,0,421,0.8750629723072052,True,0.1,False,15,1e-05,True,21.426748037338257,full_train_epoch_chunks,full train set chunked per epoch | validation=auto_stratified_validation | wise_ft_skipped rows=2012>=2000,30,1,epoch_chunk,accuracy,0.55625,0.59375,0.55625,0.59375,7,True,False,,random,none,standardized_l2,,,,True
stage2_graph_scm_0154_seed42,/home/crc00006699/zh/tabiclv2/results/tabiclv2_prior_data/graph_scm_3stage_512_seed42/stage2_graph_scm_0154_seed42,multiclass,3825,383,932,30,6,0.5718884120171673,0.49983099790047897,0.4417387579928391,0.8318002327162212,1.1375491561327957,27.112114191055298,3.2822000980377197,ok,,3825,3442,0,932,1.1930973529815674,True,0.1,False,21,1e-05,True,26.951088190078735,full_train_epoch_chunks,full train set chunked per epoch | validation=auto_stratified_validation | wise_ft_skipped rows=4757>=2000,30,1,epoch_chunk,accuracy,0.5195822454308094,0.5378590078328982,0.5195822454308094,0.5378590078328982,13,True,False,,random,none,standardized_l2,,,,True
stage2_graph_scm_0155_seed42,/home/crc00006699/zh/tabiclv2/results/tabiclv2_prior_data/graph_scm_3stage_512_seed42/stage2_graph_scm_0155_seed42,multiclass,5030,503,1300,63,10,0.8376923076923077,0.8358100768414163,0.8038882036343946,0.9911876295908856,0.3721784017901717,40.12929129600525,7.0295250415802,ok,,5030,4527,0,1300,0.39238160848617554,True,0.1,False,18,1e-05,True,39.692439794540405,full_train_epoch_chunks,full train set chunked per epoch | validation=auto_stratified_validation | wise_ft_skipped rows=6330>=2000,30,1,epoch_chunk,accuracy,0.8389662027833003,0.8548707753479126,0.8389662027833003,0.8548707753479126,10,True,False,,random,none,standardized_l2,,,,True
stage2_graph_scm_0156_seed42,/home/crc00006699/zh/tabiclv2/results/tabiclv2_prior_data/graph_scm_3stage_512_seed42/stage2_graph_scm_0156_seed42,multiclass,8199,820,2033,66,9,0.9950811608460404,0.9950724230151531,0.9926330023449671,0.9999122358398966,0.023287547603573464,29.9616596698761,12.591011762619019,ok,,8199,7379,0,2033,0.018485975451767445,True,0.1,False,8,1e-05,True,29.372572898864746,full_train_epoch_chunks,full train set chunked per epoch | validation=auto_stratified_validation | wise_ft_skipped rows=10232>=2000,30,1,epoch_chunk,accuracy,0.9902439024390244,0.9902439024390244,0.9902439024390244,0.9902439024390244,0,True,False,,random,none,standardized_l2,,,,True
stage2_graph_scm_0157_seed42,/home/crc00006699/zh/tabiclv2/results/tabiclv2_prior_data/graph_scm_3stage_512_seed42/stage2_graph_scm_0157_seed42,binclass,1018,102,255,82,2,1.0,1.0,1.0,1.0,7.826432404167992e-05,10.540124654769897,1.6151034832000732,ok,,1018,916,0,255,0.002226470271125436,True,0.1,True,8,1e-05,True,10.323083639144897,full_train_epoch_chunks,full train set chunked per epoch | validation=auto_stratified_validation | wise_ft=alpha0.1 rows=1273<2000,30,1,epoch_chunk,accuracy,1.0,1.0,1.0,1.0,0,True,False,,random,none,standardized_l2,,,,True
stage2_graph_scm_0158_seed42,/home/crc00006699/zh/tabiclv2/results/tabiclv2_prior_data/graph_scm_3stage_512_seed42/stage2_graph_scm_0158_seed42,multiclass,802,81,192,26,4,0.609375,0.5459442110177405,0.3727393870169427,0.7563494793969807,0.9671996701103754,14.71501612663269,1.837158441543579,ok,,802,721,0,192,1.0538643598556519,True,0.1,True,22,1e-05,True,14.640601634979248,full_train_epoch_chunks,full train set chunked per epoch | validation=auto_stratified_validation | wise_ft=alpha0.1 rows=994<2000,30,1,epoch_chunk,accuracy,0.5555555555555556,0.6049382716049383,0.5555555555555556,0.6049382716049383,14,True,False,,random,none,standardized_l2,,,,True
stage2_graph_scm_0159_seed42,/home/crc00006699/zh/tabiclv2/results/tabiclv2_prior_data/graph_scm_3stage_512_seed42/stage2_graph_scm_0159_seed42,multiclass,3537,354,862,73,4,0.3851508120649652,0.2713481281619674,0.2666162814891668,0.6041341023924027,1.303274658175756,24.327824592590332,4.774969577789307,ok,,3537,3183,0,862,1.2905221581459045,True,0.1,False,11,1e-05,True,23.917579174041748,full_train_epoch_chunks,full train set chunked per epoch | validation=auto_stratified_validation | wise_ft_skipped rows=4399>=2000,30,1,epoch_chunk,accuracy,0.3672316384180791,0.3700564971751412,0.3672316384180791,0.3700564971751412,3,True,False,,random,none,standardized_l2,,,,True
stage2_graph_scm_0160_seed42,/home/crc00006699/zh/tabiclv2/results/tabiclv2_prior_data/graph_scm_3stage_512_seed42/stage2_graph_scm_0160_seed42,multiclass,1095,110,270,75,3,1.0,1.0,1.0,1.0,7.632050351370232e-05,10.192558765411377,1.7856762409210205,ok,,1095,985,0,270,5.455488917505136e-06,True,0.1,True,8,1e-05,True,9.986193418502808,full_train_epoch_chunks,full train set chunked per epoch | validation=auto_stratified_validation | wise_ft=alpha0.1 rows=1365<2000,30,1,epoch_chunk,accuracy,1.0,1.0,1.0,1.0,0,True,False,,random,none,standardized_l2,,,,True
