dataset_name,dataset_dir,task_type,n_train,n_val,n_test,n_features,n_classes,accuracy,f1,balanced_accuracy,roc_auc,log_loss,fit_seconds,predict_seconds,status,error,n_train_a,n_train_b,n_holdout_c,n_test_d,ttt_loss,ttt_steps,ttt_lr,ttt_applied,ttt_update_seconds,ttt_split_strategy,ttt_split_reason,ttt_epochs,ttt_chunks_per_epoch,ttt_batch_mode,ttt_val_eval_metric,ttt_val_baseline_metric,ttt_val_best_metric,ttt_val_baseline_accuracy,ttt_val_best_accuracy,ttt_best_epoch,ttt_stopped_early,ttt_oom_fallback,ttt_fallback_reason,model_family,peft_method,peft_targets,peft_trainable_params,peft_trainable_ratio,peft_rank
OpenML-ID-1486,/home/crc00006699/zh/tabiclv2/openml_cc18/OpenML-ID-1486,binclass,27572,5515,6893,118,2,0.9747569998549253,0.9748101197888208,0.9712067818860906,0.9967794890667244,0.0658545951874146,3.904212474822998,72.71410012245178,ok,,27572,0,0,6893,,0,1e-05,False,0.0,,"TTT OOM; used original model parameters for inference: OutOfMemoryError: CUDA out of memory. Tried to allocate 546.00 MiB. GPU 0 has a total capacity of 23.57 GiB of which 356.00 MiB is free. Process 63823 has 23.21 GiB memory in use. Of the allocated memory 20.07 GiB is allocated by PyTorch, and 2.82 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation. See documentation for Memory Management (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",0,0,,,,,,,0,False,True,"TTT OOM; used original model parameters for inference: OutOfMemoryError: CUDA out of memory. Tried to allocate 546.00 MiB. GPU 0 has a total capacity of 23.57 GiB of which 356.00 MiB is free. Process 63823 has 23.21 GiB memory in use. Of the allocated memory 20.07 GiB is allocated by PyTorch, and 2.82 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation. See documentation for Memory Management (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",tabpfnv3,ln_head_embedding,tabpfnv3_all,558976,0.0105163299465408,
OpenML-ID-1489,/home/crc00006699/zh/tabiclv2/openml_cc18/OpenML-ID-1489,binclass,4323,865,1081,5,2,0.8982423681776133,0.897348029017534,0.8689489157183676,0.9564966059424908,0.2467681406273176,6.175963401794434,1.8514997959136963,ok,,4323,3458,0,1081,,30,1e-05,True,6.175427913665772,tabpfn_finetune_epoch_chunks,dataset_val_split,30,1,tabpfn_finetuning_api,acc,0.923699421965318,0.923699421965318,,,0,True,False,,tabpfnv3,ln_head_embedding,tabpfnv3_all,558976,0.0105163299465408,
OpenML-ID-1497,/home/crc00006699/zh/tabiclv2/openml_cc18/OpenML-ID-1497,multiclass,4364,873,1092,24,4,0.9835164835164836,0.983522452035007,0.9844800041228612,0.9997518861919747,0.0362746952767899,7.563396692276001,2.478684902191162,ok,,4364,3491,0,1092,,30,1e-05,True,7.562986850738525,tabpfn_finetune_epoch_chunks,dataset_val_split,30,1,tabpfn_finetuning_api,acc,0.979381443298969,0.979381443298969,,,0,True,False,,tabpfnv3,ln_head_embedding,tabpfnv3_all,558976,0.0105163299465408,
OpenML-ID-1501,/home/crc00006699/zh/tabiclv2/openml_cc18/OpenML-ID-1501,multiclass,1274,255,319,256,10,0.9592476489028212,0.9591750396857232,0.959375,0.9987356849374944,0.1639136888035217,19.16865181922913,4.377939224243164,ok,,1274,1019,0,319,,30,1e-05,True,19.1683349609375,tabpfn_finetune_epoch_chunks,dataset_val_split,30,1,tabpfn_finetuning_api,acc,0.9372549019607844,0.9372549019607844,,,0,True,False,,tabpfnv3,ln_head_embedding,tabpfnv3_all,558976,0.0105163299465408,
OpenML-ID-1510,/home/crc00006699/zh/tabiclv2/openml_cc18/OpenML-ID-1510,binclass,455,91,114,30,2,0.9649122807017544,0.9649122807017544,0.9623015873015872,0.9953703703703703,0.0799412128451846,5.28143310546875,1.7082138061523438,ok,,455,364,0,114,,30,1e-05,True,5.281144618988037,tabpfn_finetune_epoch_chunks,dataset_val_split,30,1,tabpfn_finetuning_api,acc,0.978021978021978,0.978021978021978,,,0,True,False,,tabpfnv3,ln_head_embedding,tabpfnv3_all,558976,0.0105163299465408,
OpenML-ID-16,/home/crc00006699/zh/tabiclv2/openml_cc18/OpenML-ID-16,multiclass,1600,320,400,64,10,0.9775,0.9773634363932296,0.9775,0.9994166666666666,0.1129948361074758,6.678203821182251,1.820353984832764,ok,,1600,1280,0,400,,30,1e-05,True,6.677900791168213,tabpfn_finetune_epoch_chunks,dataset_val_split,30,1,tabpfn_finetuning_api,acc,0.98125,0.98125,,,0,True,False,,tabpfnv3,ln_head_embedding,tabpfnv3_all,558976,0.0105163299465408,
OpenML-ID-182,/home/crc00006699/zh/tabiclv2/openml_cc18/OpenML-ID-182,multiclass,5144,1029,1286,36,6,0.9339035769828928,0.932181158591753,0.9117736218139976,0.9957700017295776,0.1533894792561412,9.287035703659058,3.589200973510742,ok,,5144,4115,0,1286,,30,1e-05,True,9.286582231521606,tabpfn_finetune_epoch_chunks,dataset_val_split,30,1,tabpfn_finetuning_api,acc,0.933916423712342,0.933916423712342,,,0,True,False,,tabpfnv3,ln_head_embedding,tabpfnv3_all,558976,0.0105163299465408,
OpenML-ID-22,/home/crc00006699/zh/tabiclv2/openml_cc18/OpenML-ID-22,multiclass,1600,320,400,47,10,0.845,0.8417816619029515,0.845,0.9834375,0.2457754616888135,9.648321866989136,1.8109610080718996,ok,,1600,1280,0,400,,30,1e-05,True,9.647996425628662,tabpfn_finetune_epoch_chunks,dataset_val_split,30,1,tabpfn_finetuning_api,acc,0.84375,0.846875,,,6,True,False,,tabpfnv3,ln_head_embedding,tabpfnv3_all,558976,0.0105163299465408,
OpenML-ID-23381,/home/crc00006699/zh/tabiclv2/openml_cc18/OpenML-ID-23381,binclass,400,80,100,12,2,0.66,0.5921413721413722,0.5985221674876847,0.6473727422003284,0.6476667878483131,5.466739892959595,1.726769208908081,ok,,400,320,0,100,,30,1e-05,True,5.46624493598938,tabpfn_finetune_epoch_chunks,dataset_val_split,30,1,tabpfn_finetuning_api,acc,0.575,0.575,,,0,True,False,,tabpfnv3,ln_head_embedding,tabpfnv3_all,558976,0.0105163299465408,
OpenML-ID-28,/home/crc00006699/zh/tabiclv2/openml_cc18/OpenML-ID-28,multiclass,4496,900,1124,64,10,0.994661921708185,0.9946656144721172,0.9946583789358592,0.99998944015832,0.0131248561116114,11.243617296218872,3.9828014373779297,ok,,4496,3596,0,1124,,30,1e-05,True,11.24331545829773,tabpfn_finetune_epoch_chunks,dataset_val_split,30,1,tabpfn_finetuning_api,acc,0.9933333333333332,0.9933333333333332,,,0,True,False,,tabpfnv3,ln_head_embedding,tabpfnv3_all,558976,0.0105163299465408,
